




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	Client Text Box Input (Zea mays)
Reference List:	background_Maize_all_GWAS_mappable_genes.txt (Zea mays)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	background_Maize_all_GWAS_mappable_genes.txt - REFLIST (34395)	Client Text Box Input (210)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
sucrose-phosphate synthase activity (GO:0046524)	6	2	.04	+	54.60	5.48E-04	2.87E-02
voltage-gated chloride channel activity (GO:0005247)	8	2	.05	+	40.95	1.01E-03	4.46E-02
hydroquinone:oxygen oxidoreductase activity (GO:0052716)	21	4	.13	+	31.20	7.45E-06	6.55E-04
oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor (GO:0016682)	34	5	.21	+	24.09	1.95E-06	1.85E-04
oxidoreductase activity, acting on diphenols and related substances as donors (GO:0016679)	36	5	.22	+	22.75	2.61E-06	2.38E-04
protein serine/threonine/tyrosine kinase activity (GO:0004712)	27	3	.16	+	18.20	5.89E-04	2.96E-02
copper ion binding (GO:0005507)	56	6	.34	+	17.55	1.21E-06	1.20E-04
calcium/calmodulin-dependent protein kinase activity (GO:0004683)	53	5	.32	+	15.45	1.83E-05	1.50E-03
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	53	5	.32	+	15.45	1.83E-05	1.45E-03
serine-type carboxypeptidase activity (GO:0004185)	48	4	.29	+	13.65	2.13E-04	1.31E-02
serine-type exopeptidase activity (GO:0070008)	57	4	.35	+	11.49	4.14E-04	2.32E-02
carboxypeptidase activity (GO:0004180)	60	4	.37	+	10.92	5.04E-04	2.76E-02
manganese ion binding (GO:0030145)	63	4	.38	+	10.40	6.07E-04	2.99E-02
lactoperoxidase activity (GO:0140825)	121	5	.74	+	6.77	9.06E-04	4.06E-02
protein serine/threonine phosphatase activity (GO:0004722)	219	9	1.34	+	6.73	8.89E-06	7.55E-04
serine hydrolase activity (GO:0017171)	196	8	1.20	+	6.69	2.96E-05	2.28E-03
serine-type peptidase activity (GO:0008236)	196	8	1.20	+	6.69	2.96E-05	2.21E-03
phosphoprotein phosphatase activity (GO:0004721)	263	9	1.61	+	5.60	3.77E-05	2.73E-03
GTPase activity (GO:0003924)	238	8	1.45	+	5.51	1.16E-04	7.49E-03
molecular transducer activity (GO:0060089)	181	6	1.11	+	5.43	8.94E-04	4.07E-02
protein kinase activity (GO:0004672)	1408	40	8.60	+	4.65	3.78E-16	9.31E-13
protein serine/threonine kinase activity (GO:0004674)	1068	29	6.52	+	4.45	1.98E-11	3.48E-09
guanyl ribonucleotide binding (GO:0032561)	313	8	1.91	+	4.19	7.22E-04	3.49E-02
GTP binding (GO:0005525)	313	8	1.91	+	4.19	7.22E-04	3.42E-02
guanyl nucleotide binding (GO:0019001)	313	8	1.91	+	4.19	7.22E-04	3.35E-02
phosphatase activity (GO:0016791)	434	11	2.65	+	4.15	8.12E-05	5.40E-03
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	1583	40	9.67	+	4.14	1.81E-14	1.49E-11
kinase activity (GO:0016301)	1761	40	10.75	+	3.72	5.52E-13	2.26E-10
phosphoric ester hydrolase activity (GO:0042578)	494	11	3.02	+	3.65	2.50E-04	1.50E-02
transferase activity, transferring phosphorus-containing groups (GO:0016772)	1985	40	12.12	+	3.30	2.24E-11	3.45E-09
catalytic activity, acting on a protein (GO:0140096)	3326	59	20.31	+	2.91	2.79E-14	1.71E-11
purine ribonucleoside triphosphate binding (GO:0035639)	3083	53	18.82	+	2.82	2.87E-12	8.83E-10
purine ribonucleotide binding (GO:0032555)	3172	53	19.37	+	2.74	8.49E-12	2.32E-09
ribonucleotide binding (GO:0032553)	3211	53	19.60	+	2.70	1.35E-11	2.55E-09
purine nucleotide binding (GO:0017076)	3308	54	20.20	+	2.67	1.24E-11	2.55E-09
carbohydrate derivative binding (GO:0097367)	3254	53	19.87	+	2.67	2.22E-11	3.65E-09
ATP binding (GO:0005524)	2779	45	16.97	+	2.65	1.27E-09	1.49E-07
adenyl ribonucleotide binding (GO:0032559)	2868	45	17.51	+	2.57	3.38E-09	3.78E-07
adenyl nucleotide binding (GO:0030554)	3004	46	18.34	+	2.51	4.64E-09	4.97E-07
nucleotide binding (GO:0000166)	3541	54	21.62	+	2.50	1.61E-10	2.20E-08
nucleoside phosphate binding (GO:1901265)	3548	54	21.66	+	2.49	2.82E-10	3.66E-08
anion binding (GO:0043168)	3695	56	22.56	+	2.48	1.23E-10	1.78E-08
transmembrane transporter activity (GO:0022857)	1329	20	8.11	+	2.46	2.03E-04	1.28E-02
heterocyclic compound binding (GO:1901363)	3700	55	22.59	+	2.43	3.07E-10	3.78E-08
transporter activity (GO:0005215)	1385	20	8.46	+	2.37	5.20E-04	2.78E-02
oxidoreductase activity (GO:0016491)	1538	22	9.39	+	2.34	2.64E-04	1.55E-02
ion binding (GO:0043167)	7313	92	44.65	+	2.06	2.29E-13	1.13E-10
small molecule binding (GO:0036094)	7452	92	45.50	+	2.02	7.07E-13	2.49E-10
hydrolase activity (GO:0016787)	3420	40	20.88	+	1.92	6.31E-05	4.32E-03
catalytic activity (GO:0003824)	10384	119	63.40	+	1.88	2.34E-15	2.88E-12
transferase activity (GO:0016740)	4605	50	28.12	+	1.78	3.90E-05	2.75E-03
metal ion binding (GO:0046872)	4134	43	25.24	+	1.70	4.06E-04	2.32E-02
cation binding (GO:0043169)	4147	43	25.32	+	1.70	5.83E-04	2.99E-02
binding (GO:0005488)	12413	113	75.79	+	1.49	1.62E-07	1.67E-05
molecular_function (GO:0003674)	18910	163	115.46	+	1.41	1.05E-11	2.35E-09
Unclassified (UNCLASSIFIED)	15485	47	94.54	-	.50	1.05E-11	2.59E-09
