




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	Client Text Box Input (Zea mays)
Reference List:	background_Maize_all_GWAS_mappable_genes.txt (Zea mays)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	background_Maize_all_GWAS_mappable_genes.txt - REFLIST (34395)	Client Text Box Input (313)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
dipeptide transmembrane transporter activity (GO:0071916)	6	3	.05	+	54.94	1.46E-05	8.78E-04
tripeptide transmembrane transporter activity (GO:0042937)	6	3	.05	+	54.94	1.46E-05	8.58E-04
ubiquinol:oxygen oxidoreductase activity (GO:0102721)	5	2	.05	+	43.96	8.11E-04	2.73E-02
alternative oxidase activity (GO:0009916)	5	2	.05	+	43.96	8.11E-04	2.70E-02
superoxide-generating NADPH oxidase activity (GO:0106292)	5	2	.05	+	43.96	8.11E-04	2.66E-02
cellulase activity (GO:0008810)	23	8	.21	+	38.22	1.87E-11	7.69E-09
superoxide-generating NAD(P)H oxidase activity (GO:0016175)	6	2	.05	+	36.63	1.21E-03	3.82E-02
metal ion sequestering activity (GO:0140487)	9	3	.08	+	36.63	6.02E-05	2.91E-03
iron ion sequestering activity (GO:0140315)	9	3	.08	+	36.63	6.02E-05	2.85E-03
UDP-galactose transmembrane transporter activity (GO:0005459)	13	4	.12	+	33.81	4.51E-06	2.85E-04
dihydrolipoyllysine-residue acetyltransferase activity (GO:0004742)	7	2	.06	+	31.40	1.68E-03	4.99E-02
S-acetyltransferase activity (GO:0016418)	7	2	.06	+	31.40	1.68E-03	4.93E-02
molecular sequestering activity (GO:0140313)	11	3	.10	+	29.97	1.17E-04	4.87E-03
MAP kinase activity (GO:0004707)	18	4	.16	+	24.42	1.86E-05	1.07E-03
calcium/calmodulin-dependent protein kinase activity (GO:0004683)	53	10	.48	+	20.73	4.66E-11	1.64E-08
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	53	10	.48	+	20.73	4.66E-11	1.43E-08
manganese ion transmembrane transporter activity (GO:0005384)	23	4	.21	+	19.11	5.20E-05	2.56E-03
pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	29	5	.26	+	18.95	6.00E-06	3.69E-04
iron ion transmembrane transporter activity (GO:0005381)	19	3	.17	+	17.35	6.49E-04	2.25E-02
nucleotide-sugar transmembrane transporter activity (GO:0005338)	37	5	.34	+	14.85	2.07E-05	1.16E-03
nitrate transmembrane transporter activity (GO:0015112)	26	3	.24	+	12.68	1.66E-03	4.99E-02
amino acid transmembrane transporter activity (GO:0015171)	81	9	.74	+	12.21	5.61E-08	4.76E-06
serine-type carboxypeptidase activity (GO:0004185)	48	5	.44	+	11.45	7.51E-05	3.36E-03
kinase binding (GO:0019900)	40	4	.36	+	10.99	4.75E-04	1.75E-02
oligopeptide transmembrane transporter activity (GO:0035673)	40	4	.36	+	10.99	4.75E-04	1.72E-02
lactoperoxidase activity (GO:0140825)	121	11	1.10	+	9.99	1.56E-08	1.92E-06
organophosphate ester transmembrane transporter activity (GO:0015605)	68	6	.62	+	9.70	3.69E-05	1.89E-03
serine-type exopeptidase activity (GO:0070008)	57	5	.52	+	9.64	1.72E-04	6.93E-03
carboxypeptidase activity (GO:0004180)	60	5	.55	+	9.16	2.19E-04	8.56E-03
xylan O-acetyltransferase activity (GO:1990538)	49	4	.45	+	8.97	1.03E-03	3.30E-02
symporter activity (GO:0015293)	75	6	.68	+	8.79	6.43E-05	2.99E-03
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	76	6	.69	+	8.68	6.93E-05	3.16E-03
carbohydrate derivative transmembrane transporter activity (GO:1901505)	79	6	.72	+	8.35	8.61E-05	3.66E-03
amide transmembrane transporter activity (GO:0042887)	54	4	.49	+	8.14	1.49E-03	4.52E-02
oxidoreductase activity, acting on peroxide as acceptor (GO:0016684)	176	11	1.60	+	6.87	7.18E-07	5.20E-05
peroxidase activity (GO:0004601)	176	11	1.60	+	6.87	7.18E-07	5.05E-05
calmodulin binding (GO:0005516)	197	12	1.79	+	6.69	2.96E-07	2.28E-05
antioxidant activity (GO:0016209)	207	11	1.88	+	5.84	3.50E-06	2.40E-04
acetyltransferase activity (GO:0016407)	120	6	1.09	+	5.49	8.30E-04	2.69E-02
secondary active transmembrane transporter activity (GO:0015291)	295	14	2.68	+	5.22	6.43E-07	4.79E-05
serine hydrolase activity (GO:0017171)	196	9	1.78	+	5.05	8.43E-05	3.71E-03
serine-type peptidase activity (GO:0008236)	196	9	1.78	+	5.05	8.43E-05	3.64E-03
calcium ion binding (GO:0005509)	299	13	2.72	+	4.78	4.22E-06	2.74E-04
transmembrane transporter activity (GO:0022857)	1329	54	12.09	+	4.46	2.22E-20	1.82E-17
active transmembrane transporter activity (GO:0022804)	527	21	4.80	+	4.38	2.12E-08	2.27E-06
antiporter activity (GO:0015297)	179	7	1.63	+	4.30	1.32E-03	4.13E-02
transporter activity (GO:0005215)	1385	54	12.60	+	4.28	1.40E-19	8.61E-17
metal ion transmembrane transporter activity (GO:0046873)	240	9	2.18	+	4.12	3.82E-04	1.45E-02
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	374	12	3.40	+	3.53	1.84E-04	7.30E-03
protein serine/threonine kinase activity (GO:0004674)	1068	32	9.72	+	3.29	4.52E-09	7.95E-07
heme binding (GO:0020037)	448	13	4.08	+	3.19	2.66E-04	1.02E-02
protein kinase activity (GO:0004672)	1408	40	12.81	+	3.12	2.15E-10	5.89E-08
hydrolase activity, acting on glycosyl bonds (GO:0016798)	430	12	3.91	+	3.07	6.41E-04	2.26E-02
tetrapyrrole binding (GO:0046906)	475	13	4.32	+	3.01	4.63E-04	1.73E-02
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	1583	42	14.41	+	2.92	5.76E-10	1.29E-07
kinase activity (GO:0016301)	1761	43	16.03	+	2.68	4.24E-09	8.02E-07
ribonucleoside triphosphate phosphatase activity (GO:0017111)	679	16	6.18	+	2.59	5.55E-04	1.98E-02
