species,gene,pvalue
Arabidopsis,AT1G61490,0.0001021089
Arabidopsis,AT5G15920,0.0001044688
Arabidopsis,AT5G47300,0.0001044959
Arabidopsis,AT5G65950,0.0001045026
Arabidopsis,AT1G14770,0.0001059209
Arabidopsis,AT1G14820,0.0001059209
Arabidopsis,AT3G61250,0.0001072344
Arabidopsis,AT1G14860,0.0001092737
Arabidopsis,AT3G13890,0.0001096084
Arabidopsis,AT1G03380,0.0001101243
Arabidopsis,AT5G66030,0.00011016
Arabidopsis,AT5G37960,0.0001126769
Arabidopsis,AT5G37970,0.0001126769
Arabidopsis,AT5G59610,0.0001143095
Arabidopsis,AT4G34280,0.0001151685
Arabidopsis,AT4G34310,0.0001151685
Arabidopsis,AT4G33680,0.0001157275
Arabidopsis,AT4G33690,0.0001157275
Arabidopsis,AT4G33700,0.0001157275
Arabidopsis,AT5G07850,0.0001168315
Arabidopsis,AT3G61880,0.000119778
Arabidopsis,AT5G37930,0.0001258707
Arabidopsis,AT5G16230,0.0001262841
Arabidopsis,AT2G17210,0.0001264195
Arabidopsis,AT5G60100,0.000129036
Arabidopsis,AT5G10180,0.0001308187
Arabidopsis,AT3G28130,0.000131902
Arabidopsis,AT2G26130,0.0001389617
Arabidopsis,AT2G13150,0.000139553
Arabidopsis,AT1G19110,0.0001486547
Arabidopsis,AT3G53820,0.0001488061
Arabidopsis,AT2G14878,0.0001498749
Arabidopsis,AT5G59770,0.0001509129
Arabidopsis,AT5G60080,0.0001546993
Arabidopsis,AT3G17350,0.000156482
Arabidopsis,AT3G17720,0.000156482
Arabidopsis,AT2G17650,0.0001568997
Arabidopsis,AT5G60270,0.0001570328
Arabidopsis,AT5G66052,0.000160003
Arabidopsis,AT2G28970,0.0001602273
Arabidopsis,AT1G02890,0.0001614412
Arabidopsis,AT3G11530,0.0001620423
Arabidopsis,AT5G11980,0.0001622347
Arabidopsis,AT1G06960,0.0001657432
Arabidopsis,AT4G37170,0.0001709934
