GO molecular function complete	Zea mays - REFLIST (39216)	upload_1 (3615)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
ubiquitin-like modifier activating enzyme activity (GO:0008641)	21	5	1.94	+	2.58	3.86E-02
pseudouridine synthase activity (GO:0009982)	22	5	2.03	+	2.47	4.63E-02
voltage-gated monoatomic cation channel activity (GO:0022843)	28	6	2.58	+	2.32	3.93E-02
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	47	10	4.33	+	2.31	9.46E-03
single-stranded DNA binding (GO:0003697)	80	15	7.37	+	2.03	9.93E-03
transmembrane signaling receptor activity (GO:0004888)	66	12	6.08	+	1.97	1.83E-02
transmembrane receptor protein kinase activity (GO:0019199)	61	11	5.62	+	1.96	2.52E-02
cyclin-dependent protein kinase regulator activity (GO:0019914)	68	12	6.27	+	1.91	3.17E-02
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	68	12	6.27	+	1.91	3.17E-02
signaling receptor activity (GO:0038023)	187	31	17.24	+	1.8	1.34E-03
carbohydrate derivative transmembrane transporter activity (GO:1901505)	86	14	7.93	+	1.77	3.68E-02
"transferase activity, transferring nitrogenous groups (GO:0016769)"	80	13	7.37	+	1.76	4.89E-02
gated channel activity (GO:0022836)	99	16	9.13	+	1.75	2.30E-02
molecular transducer activity (GO:0060089)	195	31	17.98	+	1.72	2.64E-03
O-acyltransferase activity (GO:0008374)	127	19	11.71	+	1.62	3.10E-02
carbohydrate binding (GO:0030246)	284	40	26.18	+	1.53	7.11E-03
ATP hydrolysis activity (GO:0016887)	477	59	43.97	+	1.34	2.06E-02
mRNA binding (GO:0003729)	711	84	65.54	+	1.28	1.84E-02
ubiquitin-protein transferase activity (GO:0004842)	603	70	55.59	+	1.26	4.66E-02
DNA-binding transcription factor activity (GO:0003700)	1606	181	148.04	+	1.22	4.77E-03
protein kinase activity (GO:0004672)	1534	170	141.41	+	1.2	1.16E-02
transcription regulator activity (GO:0140110)	1769	196	163.07	+	1.2	7.05E-03
"phosphotransferase activity, alcohol group as acceptor (GO:0016773)"	1725	188	159.01	+	1.18	1.52E-02
kinase activity (GO:0016301)	1918	209	176.8	+	1.18	1.07E-02
DNA binding (GO:0003677)	2837	304	261.52	+	1.16	5.14E-03
ATP binding (GO:0005524)	3062	325	282.26	+	1.15	6.26E-03
"catalytic activity, acting on a protein (GO:0140096)"	3644	384	335.91	+	1.14	4.28E-03
adenyl ribonucleotide binding (GO:0032559)	3161	333	291.39	+	1.14	8.54E-03
adenyl nucleotide binding (GO:0030554)	3314	348	305.49	+	1.14	8.38E-03
purine ribonucleoside triphosphate binding (GO:0035639)	3414	356	314.71	+	1.13	1.21E-02
purine ribonucleotide binding (GO:0032555)	3513	364	323.83	+	1.12	1.57E-02
purine nucleotide binding (GO:0017076)	3667	379	338.03	+	1.12	1.51E-02
ribonucleotide binding (GO:0032553)	3554	367	327.61	+	1.12	1.77E-02
carbohydrate derivative binding (GO:0097367)	3604	372	332.22	+	1.12	1.84E-02
anion binding (GO:0043168)	4093	419	377.3	+	1.11	1.92E-02
nucleoside phosphate binding (GO:1901265)	3941	403	363.29	+	1.11	2.35E-02
nucleotide binding (GO:0000166)	3934	402	362.64	+	1.11	2.34E-02
transferase activity (GO:0016740)	5078	518	468.1	+	1.11	1.01E-02
nucleic acid binding (GO:0003676)	5039	512	464.5	+	1.1	1.42E-02
heterocyclic compound binding (GO:1901363)	4107	417	378.59	+	1.1	3.03E-02
binding (GO:0005488)	13882	1377	1279.67	+	1.08	4.26E-04
catalytic activity (GO:0003824)	11643	1150	1073.27	+	1.07	3.68E-03
molecular_function (GO:0003674)	21166	2067	1951.12	+	1.06	4.84E-05
Unclassified (UNCLASSIFIED)	18050	1548	1663.88	-	0.93	4.84E-05
nucleotidyltransferase activity (GO:0016779)	248	13	22.86	-	0.57	2.73E-02
electron transfer activity (GO:0009055)	203	7	18.71	-	0.37	2.20E-03
magnesium ion binding (GO:0000287)	184	6	16.96	-	0.35	2.97E-03
"carbon-oxygen lyase activity, acting on phosphates (GO:0016838)"	74	1	6.82	-	0.15	1.38E-02
