GO biological process complete	Oryza sativa - REFLIST (43658)	upload_1 (343)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of wax biosynthetic process (GO:1904276)	4	1	0.03	+	31.82	3.11E-02
actin filament severing (GO:0051014)	4	1	0.03	+	31.82	3.11E-02
regulation of fatty acid biosynthetic process (GO:0042304)	4	1	0.03	+	31.82	3.11E-02
tRNA decay (GO:0016078)	8	2	0.06	+	31.82	1.67E-03
mitochondrial fission (GO:0000266)	4	1	0.03	+	31.82	3.11E-02
TRAMP-dependent tRNA surveillance pathway (GO:0071038)	8	2	0.06	+	31.82	1.67E-03
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	8	2	0.06	+	31.82	1.67E-03
NADP+ biosynthetic process (GO:0006741)	4	1	0.03	+	31.82	3.11E-02
intracellular sterol transport (GO:0032366)	4	1	0.03	+	31.82	3.11E-02
response to amino acid (GO:0043200)	4	1	0.03	+	31.82	3.11E-02
regulation of sulfur metabolic process (GO:0042762)	4	1	0.03	+	31.82	3.11E-02
mannose metabolic process (GO:0006013)	4	1	0.03	+	31.82	3.11E-02
negative regulation of flower development (GO:0009910)	4	1	0.03	+	31.82	3.11E-02
tRNA surveillance (GO:0106354)	8	2	0.06	+	31.82	1.67E-03
ubiquitin-dependent protein catabolic process via the N-end rule pathway (GO:0071596)	4	1	0.03	+	31.82	3.11E-02
positive regulation of translational elongation (GO:0045901)	4	1	0.03	+	31.82	3.11E-02
PSII associated light-harvesting complex II catabolic process (GO:0010304)	5	1	0.04	+	25.46	3.87E-02
regulation of defense response to insect (GO:2000068)	5	1	0.04	+	25.46	3.87E-02
regulation of glucose metabolic process (GO:0010906)	5	1	0.04	+	25.46	3.87E-02
regulation of translational termination (GO:0006449)	5	1	0.04	+	25.46	3.87E-02
cellular response to UV (GO:0034644)	5	1	0.04	+	25.46	3.87E-02
response to calcium ion (GO:0051592)	5	1	0.04	+	25.46	3.87E-02
endocytic recycling (GO:0032456)	5	1	0.04	+	25.46	3.87E-02
positive regulation of protein-containing complex disassembly (GO:0043243)	5	1	0.04	+	25.46	3.87E-02
U4 snRNA 3'-end processing (GO:0034475)	10	2	0.08	+	25.46	2.66E-03
protein processing involved in protein targeting to mitochondrion (GO:0006627)	5	1	0.04	+	25.46	3.87E-02
positive regulation of translational termination (GO:0045905)	5	1	0.04	+	25.46	3.87E-02
sterol transport (GO:0015918)	5	1	0.04	+	25.46	3.87E-02
protein lipoylation (GO:0009249)	5	1	0.04	+	25.46	3.87E-02
snRNA 3'-end processing (GO:0034472)	11	2	0.09	+	23.14	3.23E-03
S-adenosyl-L-methionine transport (GO:0015805)	6	1	0.05	+	21.21	4.62E-02
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)"	12	2	0.09	+	21.21	3.86E-03
root cap development (GO:0048829)	6	1	0.05	+	21.21	4.62E-02
positive regulation of mitochondrial DNA replication (GO:0090297)	6	1	0.05	+	21.21	4.62E-02
regulation of mitochondrial DNA replication (GO:0090296)	6	1	0.05	+	21.21	4.62E-02
regulation of peroxisome size (GO:0044375)	6	1	0.05	+	21.21	4.62E-02
"protein import into peroxisome matrix, docking (GO:0016560)"	6	1	0.05	+	21.21	4.62E-02
nuclear RNA surveillance (GO:0071027)	12	2	0.09	+	21.21	3.86E-03
ceramide transport (GO:0035627)	6	1	0.05	+	21.21	4.62E-02
regulation of circadian rhythm (GO:0042752)	12	2	0.09	+	21.21	3.86E-03
S-adenosyl-L-methionine transmembrane transport (GO:1901962)	6	1	0.05	+	21.21	4.62E-02
RNA-templated transcription (GO:0001172)	6	1	0.05	+	21.21	4.62E-02
ceramide 1-phosphate transport (GO:1902389)	6	1	0.05	+	21.21	4.62E-02
positive regulation of mitochondrial DNA metabolic process (GO:1901860)	6	1	0.05	+	21.21	4.62E-02
regulation of mitochondrial DNA metabolic process (GO:1901858)	6	1	0.05	+	21.21	4.62E-02
RNA surveillance (GO:0071025)	13	2	0.1	+	19.58	4.53E-03
regulation of lipid metabolic process (GO:0019216)	21	3	0.16	+	18.18	5.76E-04
regulation of lipid biosynthetic process (GO:0046890)	15	2	0.12	+	16.97	6.04E-03
positive regulation of DNA replication (GO:0045740)	15	2	0.12	+	16.97	6.04E-03
rRNA 3'-end processing (GO:0031125)	16	2	0.13	+	15.91	6.87E-03
sulfur compound transport (GO:0072348)	25	3	0.2	+	15.27	9.72E-04
regulation of protein-containing complex disassembly (GO:0043244)	17	2	0.13	+	14.97	7.74E-03
response to virus (GO:0009615)	18	2	0.14	+	14.14	8.67E-03
regulation of ketone metabolic process (GO:0010565)	28	3	0.22	+	13.64	1.36E-03
positive regulation of DNA metabolic process (GO:0051054)	21	2	0.16	+	12.12	1.17E-02
glucuronoxylan biosynthetic process (GO:0010417)	21	2	0.16	+	12.12	1.17E-02
glucuronoxylan metabolic process (GO:0010413)	21	2	0.16	+	12.12	1.17E-02
protein refolding (GO:0042026)	44	4	0.35	+	11.57	3.97E-04
regulation of small molecule metabolic process (GO:0062012)	34	3	0.27	+	11.23	2.40E-03
spliceosomal snRNP assembly (GO:0000387)	23	2	0.18	+	11.07	1.40E-02
auxin polar transport (GO:0009926)	23	2	0.18	+	11.07	1.40E-02
snRNA processing (GO:0016180)	24	2	0.19	+	10.61	1.52E-02
regulation of transcription elongation by RNA polymerase II (GO:0034243)	25	2	0.2	+	10.18	1.64E-02
intracellular calcium ion homeostasis (GO:0006874)	25	2	0.2	+	10.18	1.64E-02
calcium ion homeostasis (GO:0055074)	25	2	0.2	+	10.18	1.64E-02
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)"	27	2	0.21	+	9.43	1.90E-02
regulation of cellular component size (GO:0032535)	27	2	0.21	+	9.43	1.90E-02
regulation of anatomical structure size (GO:0090066)	27	2	0.21	+	9.43	1.90E-02
auxin metabolic process (GO:0009850)	27	2	0.21	+	9.43	1.90E-02
snRNA metabolic process (GO:0016073)	28	2	0.22	+	9.09	2.03E-02
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	29	2	0.23	+	8.78	2.17E-02
regulation of DNA replication (GO:0006275)	29	2	0.23	+	8.78	2.17E-02
vesicle-mediated transport to the plasma membrane (GO:0098876)	29	2	0.23	+	8.78	2.17E-02
peroxisome organization (GO:0007031)	29	2	0.23	+	8.78	2.17E-02
NADP+ metabolic process (GO:0006739)	31	2	0.24	+	8.21	2.46E-02
positive regulation of cellular component organization (GO:0051130)	32	2	0.25	+	7.96	2.61E-02
rhythmic process (GO:0048511)	32	2	0.25	+	7.96	2.61E-02
auxin transport (GO:0060918)	34	2	0.27	+	7.49	2.93E-02
maturation of 5.8S rRNA (GO:0000460)	35	2	0.27	+	7.27	3.09E-02
hormone transport (GO:0009914)	35	2	0.27	+	7.27	3.09E-02
regulation of DNA-templated transcription elongation (GO:0032784)	36	2	0.28	+	7.07	3.25E-02
microtubule-based movement (GO:0007018)	56	3	0.44	+	6.82	9.80E-03
nucleotide-excision repair (GO:0006289)	38	2	0.3	+	6.7	3.59E-02
MAPK cascade (GO:0000165)	38	2	0.3	+	6.7	3.59E-02
plant-type cell wall loosening (GO:0009828)	57	3	0.45	+	6.7	1.03E-02
regulation of cytoskeleton organization (GO:0051493)	41	2	0.32	+	6.21	4.13E-02
tRNA aminoacylation (GO:0043039)	62	3	0.49	+	6.16	1.29E-02
amino acid activation (GO:0043038)	63	3	0.49	+	6.06	1.35E-02
RNA 3'-end processing (GO:0031123)	67	3	0.53	+	5.7	1.59E-02
transcription by RNA polymerase II (GO:0006366)	93	4	0.73	+	5.47	6.32E-03
plant-type secondary cell wall biogenesis (GO:0009834)	72	3	0.57	+	5.3	1.92E-02
regulation of hormone levels (GO:0010817)	146	6	1.15	+	5.23	1.09E-03
tRNA metabolic process (GO:0006399)	202	8	1.59	+	5.04	2.14E-04
"mRNA splicing, via spliceosome (GO:0000398)"	179	7	1.41	+	4.98	5.69E-04
hormone metabolic process (GO:0042445)	105	4	0.82	+	4.85	9.61E-03
xylan metabolic process (GO:0045491)	84	3	0.66	+	4.55	2.87E-02
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)"	198	7	1.56	+	4.5	1.03E-03
