GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of protein polymerization (GO:0032272)	15	10	5.74	+	1.74	3.19E-02
jasmonic acid and ethylene-dependent systemic resistance (GO:0009861)	15	10	5.74	+	1.74	3.19E-02
regulation of seed development (GO:0080050)	27	18	10.33	+	1.74	4.47E-03
methionine biosynthetic process (GO:0009086)	26	17	9.95	+	1.71	7.35E-03
actin polymerization or depolymerization (GO:0008154)	26	17	9.95	+	1.71	7.35E-03
brassinosteroid homeostasis (GO:0010268)	23	15	8.8	+	1.7	9.74E-03
vernalization response (GO:0010048)	17	11	6.51	+	1.69	4.22E-02
regulation of stomatal complex development (GO:2000038)	17	11	6.51	+	1.69	4.22E-02
reactive nitrogen species metabolic process (GO:2001057)	48	31	18.37	+	1.69	2.75E-04
protein depolymerization (GO:0051261)	31	20	11.87	+	1.69	4.63E-03
response to nitrate (GO:0010167)	33	21	12.63	+	1.66	3.68E-03
regulation of protein-containing complex disassembly (GO:0043244)	27	17	10.33	+	1.65	9.96E-03
zinc ion transmembrane transport (GO:0071577)	27	17	10.33	+	1.65	9.96E-03
brassinosteroid biosynthetic process (GO:0016132)	24	15	9.19	+	1.63	1.96E-02
phytosteroid biosynthetic process (GO:0016129)	24	15	9.19	+	1.63	1.96E-02
regulation of stomatal opening (GO:1902456)	24	15	9.19	+	1.63	1.96E-02
triterpenoid metabolic process (GO:0006722)	21	13	8.04	+	1.62	4.04E-02
nitrate assimilation (GO:0042128)	42	26	16.08	+	1.62	2.24E-03
nitrate metabolic process (GO:0042126)	42	26	16.08	+	1.62	2.24E-03
cellular response to salt stress (GO:0071472)	52	32	19.9	+	1.61	8.49E-04
post-transcriptional gene silencing (GO:0016441)	44	27	16.84	+	1.6	2.72E-03
regulation of seed maturation (GO:2000034)	23	14	8.8	+	1.59	3.15E-02
positive regulation of small molecule metabolic process (GO:0062013)	28	17	10.72	+	1.59	1.87E-02
diterpenoid biosynthetic process (GO:0016102)	56	34	21.43	+	1.59	8.10E-04
leaf vascular tissue pattern formation (GO:0010305)	33	20	12.63	+	1.58	1.12E-02
gibberellin metabolic process (GO:0009685)	33	20	12.63	+	1.58	1.12E-02
positive gravitropism (GO:0009958)	38	23	14.54	+	1.58	6.81E-03
sesquiterpene biosynthetic process (GO:0051762)	25	15	9.57	+	1.57	3.73E-02
regulation of gibberellic acid mediated signaling pathway (GO:0009937)	25	15	9.57	+	1.57	3.73E-02
regulation of protein polymerization (GO:0032271)	25	15	9.57	+	1.57	3.73E-02
regulation of systemic acquired resistance (GO:0010112)	25	15	9.57	+	1.57	3.73E-02
specification of axis polarity (GO:0065001)	32	19	12.25	+	1.55	1.74E-02
phosphatidylinositol dephosphorylation (GO:0046856)	27	16	10.33	+	1.55	2.93E-02
gibberellin biosynthetic process (GO:0009686)	27	16	10.33	+	1.55	2.93E-02
