GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
cellular response to stimulus (GO:0051716)	3603	1559	1379.04	+	1.13	5.08E-11
positive regulation of biosynthetic process (GO:0009891)	703	304	269.07	+	1.13	6.66E-03
cell wall organization or biogenesis (GO:0071554)	761	329	291.27	+	1.13	4.56E-03
carbohydrate metabolic process (GO:0005975)	1075	464	411.45	+	1.13	8.66E-04
macromolecule catabolic process (GO:0009057)	1015	438	388.49	+	1.13	1.25E-03
proteolysis (GO:0006508)	1090	470	417.2	+	1.13	8.40E-04
regulation of biological quality (GO:0065008)	601	259	230.03	+	1.13	1.55E-02
proteolysis involved in protein catabolic process (GO:0051603)	616	265	235.77	+	1.12	1.50E-02
intracellular signal transduction (GO:0035556)	689	296	263.71	+	1.12	1.11E-02
cellular response to stress (GO:0033554)	1362	582	521.3	+	1.12	5.97E-04
multicellular organism development (GO:0007275)	2610	1115	998.97	+	1.12	1.11E-06
anatomical structure morphogenesis (GO:0009653)	972	415	372.03	+	1.12	4.28E-03
multicellular organismal process (GO:0032501)	2907	1241	1112.65	+	1.12	2.64E-07
positive regulation of macromolecule biosynthetic process (GO:0010557)	642	274	245.72	+	1.12	2.14E-02
anatomical structure development (GO:0048856)	3051	1302	1167.76	+	1.11	1.46E-07
positive regulation of macromolecule metabolic process (GO:0010604)	756	322	289.36	+	1.11	1.37E-02
developmental process (GO:0032502)	3164	1344	1211.01	+	1.11	2.82E-07
protein catabolic process (GO:0030163)	637	269	243.81	+	1.1	3.92E-02
cellular developmental process (GO:0048869)	802	338	306.96	+	1.1	2.45E-02
catabolic process (GO:0009056)	1879	791	719.18	+	1.1	4.37E-04
organic acid metabolic process (GO:0006082)	1054	443	403.42	+	1.1	1.17E-02
oxoacid metabolic process (GO:0043436)	1054	443	403.42	+	1.1	1.17E-02
regulation of response to stimulus (GO:0048583)	982	412	375.86	+	1.1	1.61E-02
response to stimulus (GO:0050896)	6925	2903	2650.53	+	1.1	6.39E-13
cell differentiation (GO:0030154)	754	316	288.59	+	1.09	4.02E-02
reproductive process (GO:0022414)	1794	750	686.65	+	1.09	1.55E-03
response to abiotic stimulus (GO:0009628)	2348	981	898.69	+	1.09	2.95E-04
transmembrane transport (GO:0055085)	1414	590	541.21	+	1.09	6.43E-03
response to stress (GO:0006950)	4262	1759	1631.27	+	1.08	1.33E-05
small molecule metabolic process (GO:0044281)	1662	679	636.13	+	1.07	2.69E-02
cellular component organization (GO:0016043)	3068	1249	1174.27	+	1.06	3.32E-03
localization (GO:0051179)	2869	1167	1098.1	+	1.06	5.43E-03
response to biotic stimulus (GO:0009607)	1689	686	646.46	+	1.06	4.38E-02
response to external biotic stimulus (GO:0043207)	1686	684	645.31	+	1.06	4.65E-02
response to other organism (GO:0051707)	1686	684	645.31	+	1.06	4.65E-02
response to external stimulus (GO:0009605)	1939	786	742.15	+	1.06	3.50E-02
cellular component organization or biogenesis (GO:0071840)	3450	1396	1320.48	+	1.06	4.96E-03
transport (GO:0006810)	2618	1057	1002.03	+	1.05	2.12E-02
establishment of localization (GO:0051234)	2729	1096	1044.52	+	1.05	3.43E-02
cellular process (GO:0009987)	14823	5943	5673.47	+	1.05	1.92E-11
primary metabolic process (GO:0044238)	7516	2956	2876.73	+	1.03	2.78E-02
metabolic process (GO:0008152)	8963	3520	3430.57	+	1.03	1.85E-02
biological_process (GO:0008150)	22442	8683	8589.63	+	1.01	2.70E-03
Unclassified (UNCLASSIFIED)	5033	1833	1926.37	-	0.95	2.70E-03
gene expression (GO:0010467)	2251	817	861.57	-	0.95	4.40E-02
translation (GO:0006412)	617	194	236.16	-	0.82	3.66E-04
protein biosynthetic process (GO:0160307)	617	194	236.16	-	0.82	3.66E-04
RNA modification (GO:0009451)	391	118	149.65	-	0.79	9.39E-04
photosynthesis (GO:0015979)	263	79	100.66	-	0.78	6.03E-03
"photosynthesis, light reaction (GO:0019684)"	148	44	56.65	-	0.78	3.39E-02
double fertilization forming a zygote and endosperm (GO:0009567)	91	25	34.83	-	0.72	3.96E-02
fertilization (GO:0009566)	95	26	36.36	-	0.72	3.39E-02
electron transport chain (GO:0022900)	126	34	48.23	-	0.71	9.83E-03
respiratory electron transport chain (GO:0022904)	67	16	25.64	-	0.62	1.63E-02
oxidative phosphorylation (GO:0006119)	63	15	24.11	-	0.62	1.91E-02
regulation of fertilization (GO:0080154)	63	15	24.11	-	0.62	1.91E-02
cell-cell signaling (GO:0007267)	80	19	30.62	-	0.62	7.72E-03
regulation of protein localization to cell surface (GO:2000008)	51	12	19.52	-	0.61	3.06E-02
regulation of double fertilization forming a zygote and endosperm (GO:0080155)	57	13	21.82	-	0.6	1.95E-02
cell-cell signaling involved in cell fate commitment (GO:0045168)	37	8	14.16	-	0.56	4.17E-02
maintenance of root meristem identity (GO:0010078)	48	10	18.37	-	0.54	1.16E-02
mitochondrial translation (GO:0032543)	30	6	11.48	-	0.52	3.98E-02
protein import into mitochondrial matrix (GO:0030150)	29	5	11.1	-	0.45	2.09E-02
reactive oxygen species biosynthetic process (GO:1903409)	31	4	11.87	-	0.34	2.73E-03
lipooligosaccharide biosynthetic process (GO:1901271)	13	1	4.98	-	0.2	2.25E-02
lipooligosaccharide metabolic process (GO:1901269)	13	1	4.98	-	0.2	2.25E-02
lipid A biosynthetic process (GO:0009245)	13	1	4.98	-	0.2	2.25E-02
lipid A metabolic process (GO:0046493)	13	1	4.98	-	0.2	2.25E-02
