GO biological process complete	Sorghum bicolor - REFLIST (33746)	upload_1 (803)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
alcohol biosynthetic process (GO:0046165)	51	6	1.21	+	4.94	1.29E-03
positive regulation of developmental process (GO:0051094)	26	3	0.62	+	4.85	2.32E-02
biogenic amine biosynthetic process (GO:0042401)	36	4	0.86	+	4.67	1.02E-02
amine biosynthetic process (GO:0009309)	36	4	0.86	+	4.67	1.02E-02
xyloglucan metabolic process (GO:0010411)	65	7	1.55	+	4.53	8.84E-04
regulation of abscisic acid-activated signaling pathway (GO:0009787)	28	3	0.67	+	4.5	2.83E-02
regulation of cellular response to alcohol (GO:1905957)	28	3	0.67	+	4.5	2.83E-02
regulation of response to alcohol (GO:1901419)	28	3	0.67	+	4.5	2.83E-02
monoatomic anion transport (GO:0006820)	38	4	0.9	+	4.42	1.24E-02
protein processing (GO:0016485)	48	5	1.14	+	4.38	5.54E-03
response to gravity (GO:0009629)	29	3	0.69	+	4.35	3.10E-02
regionalization (GO:0003002)	41	4	0.98	+	4.1	1.61E-02
intracellular iron ion homeostasis (GO:0006879)	31	3	0.74	+	4.07	3.68E-02
biogenic amine metabolic process (GO:0006576)	43	4	1.02	+	3.91	1.89E-02
regulation of cell cycle phase transition (GO:1901987)	62	5	1.48	+	3.39	1.60E-02
polyol metabolic process (GO:0019751)	51	4	1.21	+	3.3	3.29E-02
alcohol metabolic process (GO:0006066)	94	7	2.24	+	3.13	7.21E-03
plant-type cell wall modification (GO:0009827)	69	5	1.64	+	3.05	2.43E-02
pattern specification process (GO:0007389)	56	4	1.33	+	3	4.42E-02
amine metabolic process (GO:0009308)	84	6	2	+	3	1.51E-02
mRNA catabolic process (GO:0006402)	91	6	2.17	+	2.77	2.16E-02
response to wounding (GO:0009611)	77	5	1.83	+	2.73	3.66E-02
vacuolar transport (GO:0007034)	81	5	1.93	+	2.59	4.41E-02
hexose metabolic process (GO:0019318)	130	8	3.09	+	2.59	1.28E-02
flower development (GO:0009908)	101	6	2.4	+	2.5	3.38E-02
intracellular monoatomic ion homeostasis (GO:0006873)	120	7	2.86	+	2.45	2.49E-02
nucleobase-containing compound transport (GO:0015931)	142	8	3.38	+	2.37	2.06E-02
tRNA processing (GO:0008033)	125	7	2.97	+	2.35	3.02E-02
reproductive shoot system development (GO:0090567)	109	6	2.59	+	2.31	4.62E-02
monoatomic ion homeostasis (GO:0050801)	153	8	3.64	+	2.2	3.05E-02
intracellular chemical homeostasis (GO:0055082)	136	7	3.24	+	2.16	4.44E-02
cell wall organization (GO:0071555)	419	20	9.97	+	2.01	3.22E-03
external encapsulating structure organization (GO:0045229)	464	21	11.04	+	1.9	5.11E-03
cell wall organization or biogenesis (GO:0071554)	494	20	11.75	+	1.7	2.38E-02
establishment of localization in cell (GO:0051649)	538	20	12.8	+	1.56	4.55E-02
carbohydrate metabolic process (GO:0005975)	944	34	22.46	+	1.51	1.68E-02
proteolysis (GO:0006508)	1013	36	24.1	+	1.49	2.05E-02
biological_process (GO:0008150)	16182	414	385.06	+	1.08	4.15E-02
Unclassified (UNCLASSIFIED)	17564	389	417.94	-	0.93	4.15E-02
defense response (GO:0006952)	693	8	16.49	-	0.49	3.12E-02
cellular component assembly (GO:0022607)	626	7	14.9	-	0.47	3.33E-02
