,nitrogen_0-5cm_mean_1000_sorghum,NHx-deposition1993
IS35170.D1EYBACXX.1.250138262,NA,194.7100067
IS35427.D1EYBACXX.1.250138278,256,419.1900024
IS35471.D1EYBACXX.1.250138279,205,114.5299988
IS35475.D1EYBACXX.1.250138280,144,113.7600021
IS35478.D1EYBACXX.1.250138281,118,113.7600021
IS35480.D1EYBACXX.1.250138282,86,113.7600021
IS35483.D1EYBACXX.1.250138283,89,148.4700012
IS35503.D1EYBACXX.1.250138284,82,148.4700012
IS35506.D1EYBACXX.1.250138285,84,148.4700012
IS35507.D1EYBACXX.1.250138286,80,130.1399994
IS35509.D1EYBACXX.1.250138287,NA,130.1399994
IS35510.D1EYBACXX.1.250138288,74,148.4700012
IS35522.D1EYBACXX.1.250138289,102,0.800000012
IS35526.D1EYBACXX.1.250138290,107,148.4700012
IS35553.D1EYBACXX.1.250138291,86,148.4700012
IS35567.D1EYBACXX.1.250138292,102,148.4700012
IS35570.D1EYBACXX.1.250138293,79,148.4700012
IS35574.D1EYBACXX.1.250138294,105,148.4700012
IS35579.D1EYBACXX.1.250138296,75,148.4700012
IS35602.D1EYBACXX.1.250138297,159,0.800000012
IS35604.D1EYBACXX.1.250138298,122,0.800000012
IS3582.C1AB3ACXX.7.250137276,38,62.38000107
IS3583.70MUKAAXX.1.250006387,162,318.8699951
IS37124.D1EYBACXX.1.250138319,103,114.5299988
IS37125.D1EYBACXX.1.250138320,128,113.7600021
IS37127.D1EYBACXX.1.250138321,103,114.5299988
IS37128.D1EYBACXX.1.250138322,105,114.5299988
IS37129.D1EYBACXX.1.250138323,75,113.7600021
IS37133.D1EYBACXX.1.250138324,183,113.7600021
IS37134.D1EYBACXX.1.250138325,116,113.7600021
IS37135.D1EYBACXX.1.250138326,122,75.59999847
IS37136.D1EYBACXX.1.250138327,133,113.7600021
IS37140.D1EYBACXX.1.250138328,108,113.7600021
IS37146.D1EYBACXX.1.250138329,70,113.7600021
IS37569.D1EYBACXX.1.250138332,185,469.1099854
IS37746.D1EYBACXX.1.250138333,392,631.75
IS37978.D1EYBACXX.1.250138334,54,469.1099854
IS38021.D1EYBACXX.1.250138335,514,631.75
IS38026.D1EYBACXX.1.250138336,290,317.5799866
IS38159.D1EYBACXX.1.250138337,NA,140
IS38683.D1EYBACXX.1.250138338,295,317.5799866
IS3885.70MUKAAXX.1.250006439,99,157.3500061
IS3905.628P7AAXX.7.250007091,99,157.3500061
IS39453.D1EYBACXX.1.250138339,301,317.5799866
IS39462.D1EYBACXX.1.250138340,264,631.75
IS39463.D1EYBACXX.1.250138341,253,317.5799866
IS39474.D1EYBACXX.1.250138342,306,318.8699951
IS39496.D1EYBACXX.1.250138343,361,631.75
IS39525.D1EYBACXX.1.250138344,354,631.75
IS39672.D1EYBACXX.1.250138345,138,523.9000244
IS39677.D1EYBACXX.1.250138346,232,584.5900269
IS39713.D1EYBACXX.1.250138347,104,523.9000244
IS39764.D1EYBACXX.1.250138348,93,174.8500061
IS39778.D1EYBACXX.1.250138349,99,174.8500061
IS39780.D1EYBACXX.1.250138350,101,206.8800049
IS39783.D1EYBACXX.1.250138351,156,523.9000244
IS39791.D1EYBACXX.1.250138352,NA,174.8500061
IS39797.D1EYBACXX.1.250138353,66,206.8800049
IS39809.D1EYBACXX.1.250138354,203,584.5900269
IS39810.D1EYBACXX.1.250138355,261,584.5900269
IS39814.D1EYBACXX.8.250140165,92,584.5900269
IS39815.D1EYBACXX.8.250140166,101,584.5900269
IS39819.D1EYBACXX.8.250140167,68,206.8800049
IS39913.D1EYBACXX.8.250140168,279,419.1900024
IS39915.D1EYBACXX.8.250140169,308,419.1900024
IS40005.D1EYBACXX.8.250140170,262,419.1900024
IS40033.D1EYBACXX.8.250140171,NA,523.9000244
IS40034.D1EYBACXX.8.250140172,138,523.9000244
IS40036.D1EYBACXX.8.250140173,173,523.9000244
IS40373.D1EYBACXX.8.250140181,NA,490.5
IS7069.C1AB3ACXX.7.250137412,43,62.38000107
IS7277.70MUKAAXX.2.250006045,136,584.5900269
IS7304.C1AB3ACXX.7.250137413,82,206.8800049
IS7305.D0D0HACXX.5.250046319,106,206.8800049
IS7310.D0D0HACXX.5.250046320,101,206.8800049
IS7312.C1AB3ACXX.7.250137414,53,206.8800049
IS7314.70MUKAAXX.2.250006028,NA,206.8800049
IS7343.C1AB3ACXX.7.250137415,113,206.8800049
IS7348.C1AB3ACXX.7.250137416,NA,206.8800049
IS7360.C1AB3ACXX.7.250137417,80,206.8800049
IS7367.C1AB3ACXX.7.250137418,NA,347.6099854
IS7386.C1AB3ACXX.7.250137419,120,584.5900269
IS7389.C1AB3ACXX.7.250137420,131,584.5900269
IS7403.C1AB3ACXX.7.250137421,156,807.9500122
IS7408.C1AB3ACXX.7.250137422,114,523.9000244
IS7411.C1AB3ACXX.7.250137423,148,523.9000244
IS7418.C1AB3ACXX.7.250137424,381,807.9500122
IS7419.C1AB3ACXX.7.250137425,200,498.2399902
IS7424.C1AB3ACXX.7.250137426,109,584.5900269
IS7428.C1AB3ACXX.7.250137427,144,523.9000244
IS7447.C1AB3ACXX.7.250137428,93,197.6799927
IS7463.D0D0HACXX.5.250046078,213,584.5900269
IS7469.C1AB3ACXX.7.250137429,240,807.9500122
IS7480.C1AB3ACXX.7.250137430,236,807.9500122
IS7486.C1AB3ACXX.7.250137431,190,807.9500122
IS7490.C1AB3ACXX.7.250137432,109,206.8800049
IS7492.C1AB3ACXX.7.250137433,64,206.8800049
IS7506.C1AB3ACXX.7.250137434,111,807.9500122
IS7508.C1AB3ACXX.7.250137435,147,523.9000244
IS7535.C1AB3ACXX.7.250137436,115,197.6799927
IS7620.D0D0HACXX.5.250046079,86,523.9000244
IS7643.C1AB3ACXX.7.250137437,92,523.9000244
IS7679.D0D0HACXX.5.250046321,215,584.5900269
IS7689.C1AB3ACXX.7.250137438,95,174.8500061
IS7696.C1AB3ACXX.7.250137439,119,523.9000244
IS7702.C1AB3ACXX.7.250137440,160,523.9000244
IS7704.C1AB3ACXX.7.250137441,107,523.9000244
IS7722.70MUKAAXX.2.250006048,98,197.6799927
IS7763.C1AB3ACXX.7.250137442,206,523.9000244
IS7773.C1AB3ACXX.7.250137443,116,523.9000244
IS7792.C1AB3ACXX.7.250137444,235,498.2399902
IS7802.C1AB3ACXX.7.250137445,97,523.9000244
IS7806.C1AB3ACXX.7.250137446,251,807.9500122
IS7812.C1AB3ACXX.7.250137447,126,523.9000244
IS7825.C1AB3ACXX.7.250137448,107,523.9000244
IS7834.C1AB3ACXX.7.250137449,253,807.9500122
IS7835.C1AB3ACXX.7.250137450,145,584.5900269
IS7836.C1AB3ACXX.7.250137451,165,807.9500122
IS7843.C1AB3ACXX.7.250137452,158,523.9000244
IS7845.C1AB3ACXX.7.250137453,283,347.6099854
IS7849.C1AB3ACXX.7.250137454,130,316.2099915
IS7861.628P7AAXX.7.250007023,176,523.9000244
IS7887.C1AB3ACXX.7.250137455,112,316.2099915
IS7889.628P7AAXX.7.250007047,119,316.2099915
IS7892.C1AB3ACXX.7.250137456,296,807.9500122
IS7920.C1AB3ACXX.7.250137457,100,174.8500061
IS7923.C1AB3ACXX.7.250137458,97,174.8500061
IS7948.C1AB3ACXX.7.250137459,93,316.2099915
IS7957.D0D0HACXX.5.250046322,151,197.6799927
IS7958.D0D0HACXX.5.250046080,109,197.6799927
IS7987.D0D0HACXX.5.250046323,109,197.6799927
IS7995.C1AB3ACXX.7.250137460,85,174.8500061
IS8777.D0D0HACXX.5.250046327,285,419.1900024
IS8861.C1AB3ACXX.7.250137462,255,449.5
IS8916.D0D0HACXX.5.250046328,293,419.1900024
IS9108.D0D0HACXX.5.250046329,321,490.5
IS9113.D0D0HACXX.5.250046330,321,490.5
IS9115.C1AB3ACXX.7.250137463,155,490.5
IS9597.70MUKAAXX.2.250006029,65,174.8500061
IS9713.70MUKAAXX.2.250006049,109,317.5799866
IS9720.C1AB3ACXX.7.250137464,116,225.1100006
IS9745.D0D0HACXX.5.250046332,125,236.3399963
IS9830.70MUKAAXX.1.250006404,169,235.1300049
IS9883.70MUKAAXX.2.250006061,169,235.1300049
IS9911.70MUKAAXX.2.250006073,128,307.5400085
PI151198.D1G0BACXX.7.250130017,386,317.5799866
PI155541.D1G0BACXX.7.250130029,98,389.6799927
PI213900.D1G0BACXX.7.250130041,187,449.5
PI267621.D1G0BACXX.7.250130053,350,631.75
PI285039.D1G0BACXX.7.250129930,NA,523.9000244
PI285042.D1G0BACXX.7.250130077,NA,523.9000244
PI329252.D1G0BACXX.7.250129882,NA,631.75
PI329256.D1G0BACXX.7.250130089,175,107.3399963
PI329285.D1G0BACXX.7.250130006,NA,469.1099854
PI329286.D1G0BACXX.7.250130018,NA,469.1099854
PI329299.D1G0BACXX.7.250130030,345,317.5799866
PI329300.D1G0BACXX.7.250130042,345,317.5799866
PI329301.D1G0BACXX.7.250130054,345,317.5799866
PI329310.D1G0BACXX.7.250130066,NA,469.1099854
PI329311.D1G0BACXX.7.250130078,137,515.0900269
PI329312.D1G0BACXX.7.250130090,137,515.0900269
PI329316.D1G0BACXX.7.250130007,NA,631.75
PI329318.D1G0BACXX.7.250130019,335,631.75
PI329319.D1G0BACXX.7.250130031,354,631.75
PI329320.D1G0BACXX.7.250130043,354,631.75
PI329325.D1G0BACXX.7.250130055,344,631.75
PI329326.D1G0BACXX.7.250130067,344,631.75
PI329333.D1G0BACXX.7.250130079,311,631.75
PI329338.D1G0BACXX.7.250129895,190,631.75
PI329351.D1G0BACXX.7.250130008,221,631.75
PI329394.D1G0BACXX.7.250130020,241,469.1099854
PI329403.D1G0BACXX.7.250130032,321,631.75
PI329442.D1G0BACXX.7.250130044,175,107.3399963
PI329465.D1G0BACXX.7.250130056,308,631.75
PI329466.D1G0BACXX.7.250130068,308,631.75
PI329470.D1G0BACXX.7.250130080,210,631.75
PI329471.D1G0BACXX.7.250130092,210,631.75
PI329473.D1G0BACXX.7.250130009,NA,445.6400146
PI329475.D1G0BACXX.7.250130021,424,631.75
PI329476.D1G0BACXX.7.250130033,468,445.6400146
PI329477.D1G0BACXX.7.250130045,468,445.6400146
PI329478.D1G0BACXX.7.250130057,424,631.75
PI329480.D1G0BACXX.7.250130069,254,445.6400146
PI329501.D1G0BACXX.7.250130081,347,631.75
PI329504.D1G0BACXX.7.250130093,347,631.75
PI329506.D1G0BACXX.7.250130010,347,631.75
PI329510.D1G0BACXX.7.250130022,NA,631.75
PI329511.D1G0BACXX.7.250130034,NA,631.75
PI329517.D1G0BACXX.7.250130046,NA,631.75
PI329518.D1G0BACXX.7.250130058,236,631.75
PI329519.D1G0BACXX.7.250130070,236,631.75
PI329540.D1G0BACXX.7.250130082,NA,631.75
PI329541.D1G0BACXX.7.250130094,NA,631.75
PI329545.D1G0BACXX.7.250130011,251,631.75
PI329546.D1G0BACXX.7.250129919,251,631.75
PI329550.D1G0BACXX.7.250130035,NA,631.75
PI329551.D1G0BACXX.7.250130047,NA,631.75
PI329554.D1G0BACXX.7.250130059,NA,631.75
PI329556.D1G0BACXX.7.250130071,336,445.6400146
PI329569.D1G0BACXX.7.250130083,281,631.75
PI329570.D1G0BACXX.7.250130095,459,631.75
PI329572.D1G0BACXX.7.250130012,459,631.75
PI329583.D1G0BACXX.7.250130024,381,631.75
PI329584.D1G0BACXX.7.250130036,381,631.75
PI329585.D1G0BACXX.7.250130048,381,631.75
PI329605.D1G0BACXX.7.250130060,NA,631.75
PI329606.D1G0BACXX.7.250130072,NA,631.75
PI329614.D1G0BACXX.7.250130084,261,631.75
PI329615.D1G0BACXX.7.250130096,261,631.75
PI329617.D1G0BACXX.7.250130013,304,631.75
PI329618.D1G0BACXX.7.250130025,304,631.75
PI329632.D1G0BACXX.7.250130037,370,631.75
PI329644.D1G0BACXX.7.250130049,383,631.75
PI329645.D1G0BACXX.7.250130061,497,631.75
PI329646.D1G0BACXX.7.250130073,497,631.75
PI329665.D1G0BACXX.7.250130085,277,631.75
PI329673.D1G0BACXX.7.250130097,277,631.75
PI329699.D1G0BACXX.7.250130014,443,445.6400146
PI329700.D1G0BACXX.7.250130026,237,318.8699951
PI329702.D1G0BACXX.7.250130038,NA,631.75
PI329704.D1G0BACXX.7.250130050,NA,631.75
PI329710.D1G0BACXX.7.250130062,422,631.75
PI329711.D1G0BACXX.7.250130074,422,631.75
PI329813.D1G0BACXX.7.250130086,254,317.5799866
PI329814.D1G0BACXX.7.250130098,254,317.5799866
PI329841.D1G0BACXX.7.250130015,342,317.5799866
PI329843.D1G0BACXX.7.250130039,282,317.5799866
PI329848.D1G0BACXX.7.250130051,280,631.75
PI329849.D1G0BACXX.7.250130063,280,631.75
PI329864.D1G0BACXX.7.250130075,343,631.75
PI329865.D1G0BACXX.7.250130087,343,631.75
PI329920.D1G0BACXX.7.250130099,275,469.1099854
PI330167.D1G0BACXX.7.250129931,360,317.5799866
PI330168.D1G0BACXX.7.250130028,360,317.5799866
PI330169.D1G0BACXX.7.250129943,360,317.5799866
PI330170.D1G0BACXX.7.250130052,360,317.5799866
PI330181.D1G0BACXX.7.250130064,157,317.5799866
PI330182.D1G0BACXX.7.250130076,157,317.5799866
PI330184.D1EYBACXX.8.250140257,268,317.5799866
PI330185.D1G0BACXX.7.250130100,268,317.5799866
PI330192.D1G0BACXX.7.250130132,220,317.5799866
PI330195.D1G0BACXX.7.250130144,192,317.5799866
PI330196.D1G0BACXX.7.250130156,162,317.5799866
PI330199.D1G0BACXX.7.250130168,247,317.5799866
PI330271.D1G0BACXX.7.250129918,190,631.75
PI330796.D1G0BACXX.7.250130180,407,445.6400146
PI330798.D1G0BACXX.7.250130192,296,631.75
PI330803.D1G0BACXX.7.250130204,350,318.8699951
PI330804.D1G0BACXX.7.250130216,350,318.8699951
PI330807.D1G0BACXX.7.250130133,370,318.8699951
PI330828.D1EYBACXX.8.250140258,457,631.75
PI330833.D1G0BACXX.7.250130157,392,631.75
PI330834.D1G0BACXX.7.250130169,392,631.75
PI330835.D1G0BACXX.7.250130181,457,631.75
PI330838.D1G0BACXX.7.250130193,355,631.75
PI330847.D1G0BACXX.7.250130205,355,631.75
PI330851.D1G0BACXX.7.250130217,378,631.75
PI330857.D1G0BACXX.7.250130134,378,631.75
PI330858.D1G0BACXX.7.250130146,222,469.1099854
PI330867.D1G0BACXX.7.250130158,222,469.1099854
PI337674.D1G0BACXX.7.250130170,247,469.1099854
PI337676.D1G0BACXX.7.250130182,191,445.6400146
PI337678.D1G0BACXX.7.250130194,253,469.1099854
PI337680.D1G0BACXX.7.250130206,330,631.75
PI337684.D1G0BACXX.7.250130218,444,631.75
PI337685.D1G0BACXX.7.250130135,330,631.75
PI337688.D1G0BACXX.7.250130147,191,445.6400146
PI337689.D1G0BACXX.7.250130159,334,469.1099854
PI510907.D1G0BACXX.7.250130171,88,164.4100037
PI510910.D1G0BACXX.7.250130183,90,164.4100037
PI510911.D1G0BACXX.7.250130195,90,164.4100037
PI510925.D1G0BACXX.7.250130207,NA,164.4100037
PI510926.D1G0BACXX.7.250130219,NA,164.4100037
PI510931.D1G0BACXX.7.250130136,74,103.7799988
PI510932.D1G0BACXX.7.250130148,74,103.7799988
PI510958.D1G0BACXX.7.250130160,86,164.4100037
PI510959.D1G0BACXX.7.250130172,86,164.4100037
PI510966.D1G0BACXX.7.250130184,100,194.7100067
PI510967.D1G0BACXX.7.250130196,100,194.7100067
PI510968.D1G0BACXX.7.250129908,90,194.7100067
PI510969.D1G0BACXX.7.250130220,90,194.7100067
PI510979.D1G0BACXX.7.250130137,81,164.4100037
PI510990.D1G0BACXX.7.250130149,81,227.6900024
PI510991.D1G0BACXX.7.250130161,81,227.6900024
PI511008.D1G0BACXX.7.250130173,58,103.7799988
PI511009.D1G0BACXX.7.250130185,58,103.7799988
PI514456.D1G0BACXX.7.250130197,95,273.2399902
PI514610.D1G0BACXX.7.250130209,181,273.2399902
PI514617.D1G0BACXX.7.250129906,191,50.22000122
PI521833.D1G0BACXX.7.250130221,107,389.6799927
PI533762.C00TDABXX.1.250004189,128,307.5400085
PI533769.C00TDABXX.1.250004153,34,62.38000107
PI533785.C00TDABXX.1.250004119,100,174.8500061
PI533789.C00TDABXX.1.250004159,97,236.3399963
PI533792.C00TDABXX.1.250004135,318,631.75
PI533794.C00TDABXX.1.250004112,318,631.75
PI533800.C00TDABXX.1.250004173,NA,469.1099854
PI533839.C00TDABXX.1.250004124,93,523.9000244
PI533876.C00TDABXX.2.250020296,100,174.8500061
PI533877.C00TDABXX.1.250004121,93,197.6799927
PI533882.B064FABXX.2.250009868,96,174.8500061
PI533910.C00TDABXX.1.250004147,97,236.3399963
PI533911.C00TDABXX.1.250004171,97,236.3399963
PI533912.C00TDABXX.1.250004138,97,236.3399963
PI533985.C00TDABXX.2.250020288,110,225.1100006
PI533986.C00TDABXX.1.250004176,128,307.5400085
PI533987.C00TDABXX.2.250020284,162,318.8699951
PI533991.B064FABXX.2.250009905,308,334.8399963
PI533996.C00TDABXX.2.250020224,162,318.8699951
PI534070.C00TDABXX.1.250004136,200,498.2399902
PI534075.D0D0BACXX.6.250040589,213,584.5900269
PI534079.C00TDABXX.1.250004131,136,523.9000244
PI534088.C00TDABXX.1.250004101,91,523.9000244
PI534092.C00TDABXX.2.250020233,110,174.8500061
PI534115.B064FABXX.2.250009817,284,318.8699951
PI534116.D0D0BACXX.6.250040571,254,317.5799866
PI534123.C00TDABXX.1.250004133,NA,469.1099854
PI534124.C00TDABXX.1.250004106,154,317.5799866
PI534127.C00TDABXX.1.250004114,309,631.75
PI534128.C00TDABXX.1.250004146,350,631.75
PI534133.B064FABXX.2.250009836,397,317.5799866
PI534135.C00TDABXX.1.250004170,350,631.75
PI534148.B064FABXX.2.250009902,NA,469.1099854
PI534155.C00TDABXX.1.250004097,NA,469.1099854
PI534157.C00TDABXX.1.250004161,NA,469.1099854
PI562989.D1G0BACXX.7.250130138,108,174.8500061
PI563009.D1G0BACXX.7.250130150,81,523.9000244
PI563151.D1G0BACXX.7.250130162,300,490.5
PI563153.D1G0BACXX.7.250130174,132,449.5
PI563154.D1G0BACXX.7.250130186,322,419.1900024
PI563155.D1G0BACXX.7.250130198,NA,490.5
PI563156.D1G0BACXX.7.250130210,369,419.1900024
PI563157.D1G0BACXX.7.250130222,295,419.1900024
PI563163.D1G0BACXX.7.250130139,321,490.5
PI563194.D1EYBACXX.8.250140217,300,490.5
PI563196.D1G0BACXX.7.250130163,NA,490.5
PI563198.D1G0BACXX.7.250130175,351,490.5
PI563199.D1G0BACXX.7.250130187,347,419.1900024
PI563200.D1G0BACXX.7.250130199,297,490.5
PI563207.D1G0BACXX.7.250130211,347,419.1900024
PI563208.D1G0BACXX.7.250129968,360,490.5
PI563209.D1G0BACXX.7.250130140,279,419.1900024
PI563219.D1G0BACXX.7.250130152,319,419.1900024
PI563289.D1G0BACXX.7.250130164,135,164.4100037
PI563334.D1G0BACXX.7.250130176,53,182.9199982
PI563338.D1G0BACXX.7.250130188,67,182.9199982
PI563343.D1G0BACXX.7.250130200,NA,182.9199982
PI563348.D1G0BACXX.7.250130212,NA,182.9199982
PI563350.D1G0BACXX.7.250130224,90,182.9199982
PI563359.D1G0BACXX.7.250130141,100,270.0799866
PI563364.D1G0BACXX.7.250130153,63,197.6799927
PI563366.D1G0BACXX.7.250130165,143,270.0799866
PI563377.D1G0BACXX.7.250130177,32,62.38000107
PI563378.D1G0BACXX.7.250130189,32,62.38000107
PI563482.D1G0BACXX.7.250130201,98,50.22000122
PI563483.D1G0BACXX.7.250130213,NA,50.22000122
PI563484.D1G0BACXX.7.250130225,70,50.22000122
PI563485.D1G0BACXX.7.250130142,46,11.47999954
PI563486.D1G0BACXX.7.250130154,46,11.47999954
PI563487.D1G0BACXX.7.250130166,112,157.3500061
PI563489.D1G0BACXX.7.250130178,NA,316.2099915
PI563490.D1G0BACXX.7.250130190,NA,316.2099915
PI563491.D1G0BACXX.7.250130202,NA,316.2099915
PI563492.D1G0BACXX.7.250130214,107,523.9000244
PI563497.D1G0BACXX.7.250130226,103,318.8699951
PI563513.D1G0BACXX.7.250129894,100,225.1100006
PI563515.D1G0BACXX.7.250130143,91,157.3500061
PI563516.D1EYBACXX.8.250140219,91,157.3500061
PI569012.D1G0BACXX.7.250130167,NA,317.5799866
PI569803.D1G0BACXX.7.250130179,NA,236.3399963
PI569804.D1G0BACXX.7.250130191,NA,236.3399963
PI569805.D1G0BACXX.7.250130203,NA,317.5799866
PI569819.D1G0BACXX.7.250130215,85,107.3399963
PI569833.D1G0BACXX.7.250130227,131,317.5799866
PI569834.D1FY1ACXX.8.250123305,143,317.5799866
PI569847.D1FY1ACXX.8.250123306,75,107.3399963
PI569860.D1FY1ACXX.8.250123308,NA,236.3399963
PI569869.D1FY1ACXX.8.250123309,121,236.3399963
PI569870.D1FY1ACXX.8.250123310,121,236.3399963
PI569873.D1FY1ACXX.8.250123311,NA,236.3399963
PI569875.D1FY1ACXX.8.250123312,149,318.8699951
PI569876.D1FY1ACXX.8.250123313,149,318.8699951
PI569886.D1FY1ACXX.8.250123315,257,318.8699951
PI570119.D1FY1ACXX.8.250123316,108,239.8999939
PI570120.D1FY1ACXX.8.250123317,101,239.8999939
PI570122.D1FY1ACXX.8.250123318,180,318.8699951
PI570123.D1FY1ACXX.8.250123319,180,318.8699951
PI570124.D1FY1ACXX.8.250123320,180,318.8699951
PI570125.D1FY1ACXX.8.250123321,121,236.3399963
PI570126.D1FY1ACXX.8.250123322,121,236.3399963
PI570127.D1FY1ACXX.8.250123323,179,318.8699951
PI570130.D1FY1ACXX.8.250123325,100,239.8999939
PI570136.D1FY1ACXX.8.250123326,106,239.8999939
PI570137.D1FY1ACXX.8.250123327,106,239.8999939
PI570139.D1FY1ACXX.8.250123328,106,239.8999939
PI570145.D1FY1ACXX.8.250123329,161,239.8999939
PI570146.D1FY1ACXX.8.250123330,161,239.8999939
PI570149.D1FY1ACXX.8.250123331,203,334.8399963
PI570154.D1FY1ACXX.8.250123332,125,307.5400085
PI570155.D1FY1ACXX.8.250123333,125,307.5400085
PI570157.D1FY1ACXX.8.250123334,182,307.5400085
PI570158.D1FY1ACXX.8.250123335,104,307.5400085
PI570159.D1FY1ACXX.8.250123336,104,307.5400085
PI570160.D1FY1ACXX.8.250123337,201,225.1100006
PI570162.D1FY1ACXX.8.250123338,125,236.3399963
PI570163.D1FY1ACXX.8.250123339,125,236.3399963
PI570164.D1FY1ACXX.8.250123340,83,236.3399963
PI570166.D1FY1ACXX.8.250123341,98,307.5400085
PI570168.D1FY1ACXX.8.250123342,125,236.3399963
PI570171.D1FY1ACXX.8.250123343,153,318.8699951
PI570174.D1FY1ACXX.8.250123345,60,236.3399963
PI570176.D1FY1ACXX.8.250123346,61,236.3399963
PI570189.D1FY1ACXX.8.250123347,285,318.8699951
PI570190.D1FY1ACXX.8.250123348,285,318.8699951
PI570191.D1FY1ACXX.8.250123349,285,318.8699951
PI570218.D1FY1ACXX.8.250123350,110,225.1100006
PI570219.D1FY1ACXX.8.250123351,110,225.1100006
PI570220.D1FY1ACXX.8.250123352,110,225.1100006
PI570228.D1FY1ACXX.8.250123353,119,236.3399963
PI570229.D1FY1ACXX.8.250123354,119,236.3399963
PI570233.D1FY1ACXX.8.250123355,136,236.3399963
PI570234.D1FY1ACXX.8.250123356,136,236.3399963
PI570237.D1FY1ACXX.8.250123357,96,236.3399963
PI570244.D1FY1ACXX.8.250123359,151,236.3399963
PI570248.D1FY1ACXX.8.250123361,54,239.8999939
PI570249.D1FY1ACXX.8.250123362,54,239.8999939
PI570252.D1FY1ACXX.8.250123364,55,236.3399963
PI570254.D1FY1ACXX.8.250123365,153,307.5400085
PI570255.D1FY1ACXX.8.250123366,113,235.1300049
PI570256.D1FY1ACXX.8.250123367,113,235.1300049
PI570260.D1FY1ACXX.8.250123368,83,11.67000008
PI570261.D1FY1ACXX.8.250123369,83,11.67000008
PI570262.D1FY1ACXX.8.250123370,83,11.67000008
PI570271.D1FY1ACXX.8.250123371,91,236.3399963
PI570278.D1FY1ACXX.8.250123372,122,225.1100006
PI570279.D1FY1ACXX.8.250123373,122,225.1100006
PI570284.D1FY1ACXX.8.250123374,96,67.56999969
PI570288.D1FY1ACXX.8.250123375,129,307.5400085
PI570289.D1FY1ACXX.8.250123376,129,307.5400085
PI570292.D1FY1ACXX.8.250123377,115,225.1100006
PI570294.D1FY1ACXX.8.250123378,57,62.38000107
PI570295.D1FY1ACXX.8.250123379,57,62.38000107
PI570296.D1FY1ACXX.8.250123380,101,225.1100006
PI570393.D1FY1ACXX.8.250123381,248,334.8399963
PI570494.D1FY1ACXX.8.250123382,225,318.8699951
PI570498.D1FY1ACXX.8.250123383,129,193.0299988
PI570501.D1FY1ACXX.8.250123385,308,334.8399963
PI570503.D1FY1ACXX.8.250123386,94,236.3399963
PI570504.D1FY1ACXX.8.250123387,162,307.5400085
PI570505.D1FY1ACXX.8.250123388,162,307.5400085
PI570511.D1FY1ACXX.8.250123389,121,225.1100006
PI570512.D1FY1ACXX.8.250123390,62,236.3399963
PI570518.D1FY1ACXX.8.250123391,119,334.8399963
PI570523.D1FY1ACXX.8.250123392,205,334.8399963
PI570524.D1FY1ACXX.8.250123393,97,236.3399963
PI570528.D1FY1ACXX.8.250123394,93,67.56999969
PI570539.D1FY1ACXX.8.250123395,313,318.8699951
PI570546.D1FY1ACXX.8.250123396,66,236.3399963
PI570549.D1FY1ACXX.8.250123397,93,67.56999969
PI570550.D1FY1ACXX.8.250123398,80,62.38000107
PI570554.D1FY1ACXX.8.250123399,34,62.38000107
PI570570.D1EYBACXX.8.250140298,265,318.8699951
PI570571.D1EYBACXX.8.250140358,265,318.8699951
PI570575.D1G0BACXX.7.250129945,119,334.8399963
PI570576.D1G0BACXX.7.250129957,265,318.8699951
PI570584.D1EYBACXX.8.250140350,311,193.0299988
PI570588.D1EYBACXX.8.250140362,308,334.8399963
PI570603.D1EYBACXX.8.250140374,97,239.8999939
PI570604.D1EYBACXX.8.250140387,113,236.3399963
PI570917.D1G0BACXX.7.250130005,97,317.5799866
PI570918.D1G0BACXX.7.250130091,97,317.5799866
PI571246.D1G0BACXX.7.250130023,94,236.3399963
PI571253.D1G0BACXX.7.250130027,121,225.1100006
PI571256.D1G0BACXX.7.250130088,152,318.8699951
PI571261.D1G0BACXX.7.250130145,205,334.8399963
PI571262.D1G0BACXX.7.250130208,132,67.56999969
PI571273.D1G0BACXX.7.250130155,143,193.0299988
PI571275.D1EYBACXX.8.250140208,98,236.3399963
PI571299.D1EYBACXX.8.250140209,55,236.3399963
PI571302.D1EYBACXX.8.250140210,47,107.3399963
PI571370.D1EYBACXX.8.250140211,88,317.5799866
PI571376.D1EYBACXX.8.250140212,158,318.8699951
PI576352.C00TDABXX.2.250020289,NA,164.4100037
PI576375.C00TDABXX.2.250020279,NA,631.75
PI576376.C00TDABXX.2.250020291,254,317.5799866
PI576380.B064FABXX.2.250009887,237,318.8699951
PI576381.C00TDABXX.2.250020315,254,317.5799866
PI576399.C00TDABXX.1.250004120,162,318.8699951
PI576425.C00TDABXX.2.250020317,NA,469.1099854
PI576426.C00TDABXX.2.250020303,360,317.5799866
PI576428.C00TDABXX.2.250020257,237,318.8699951
PI585379.D1EYBACXX.8.250140213,350,631.75
PI585394.D1EYBACXX.8.250140214,113,174.8500061
PI585405.D1EYBACXX.8.250140215,125,584.5900269
PI585406.D1G0BACXX.7.250129916,125,584.5900269
PI585411.D1G0BACXX.7.250129942,166,584.5900269
PI585412.D1G0BACXX.7.250129954,166,584.5900269
PI585413.D1G0BACXX.7.250129969,101,584.5900269
PI585414.D1G0BACXX.7.250129966,101,584.5900269
PI585415.D1G0BACXX.7.250129883,88,584.5900269
