,nitrogen_0-5cm_mean_1000_sorghum,NHx-deposition1993
IS26376.D1EYBACXX.1.250138158,178,316.2099915
IS26390.D1EYBACXX.1.250138159,490,347.6099854
IS26404.D1EYBACXX.1.250138161,321,347.6099854
IS26419.D1EYBACXX.1.250138162,241,347.6099854
IS26434.D1EYBACXX.1.250138163,79,316.2099915
IS26485.D1EYBACXX.1.250138164,113,316.2099915
IS26516.D1EYBACXX.1.250138165,105,197.6799927
IS26532.D1EYBACXX.1.250138166,102,197.6799927
IS26540.D1EYBACXX.1.250138167,144,316.2099915
IS26548.D1EYBACXX.1.250138168,174,316.2099915
IS26565.D1EYBACXX.1.250138169,156,316.2099915
IS26566.D1EYBACXX.1.250138170,149,347.6099854
IS26575.D1EYBACXX.1.250138171,138,316.2099915
IS26576.D1EYBACXX.1.250138172,125,316.2099915
IS26579.D1EYBACXX.1.250138173,100,316.2099915
IS26588.D1EYBACXX.1.250138174,173,316.2099915
IS26594.D1EYBACXX.1.250138175,149,316.2099915
IS26596.D1EYBACXX.1.250138176,118,316.2099915
IS26598.D1EYBACXX.1.250138177,109,316.2099915
IS26602.D1EYBACXX.1.250138178,135,316.2099915
IS26634.D1EYBACXX.1.250138179,216,75.59999847
IS26635.D1EYBACXX.1.250138180,157,75.59999847
IS26638.D1EYBACXX.1.250138181,144,75.59999847
IS26641.D1EYBACXX.1.250138182,122,138.6999969
IS26837.D1EYBACXX.1.250138185,185,334.8399963
IS27071.D1EYBACXX.1.250138191,117,283.269989
IS27087.D1EYBACXX.1.250138192,112,283.269989
IS27100.D1EYBACXX.1.250138193,149,283.269989
IS27123.D1EYBACXX.1.250138194,87,194.7100067
IS27129.D1EYBACXX.1.250138195,95,194.7100067
IS27132.D1EYBACXX.1.250138196,92,194.7100067
IS27137.D1EYBACXX.1.250138197,131,283.269989
IS27139.D1EYBACXX.1.250138198,92,114.5299988
IS27146.70MUKAAXX.1.250006389,110,283.269989
IS27156.D1EYBACXX.1.250138199,96,114.5299988
IS27164.70MUKAAXX.1.250006426,94,283.269989
IS27165.D1EYBACXX.1.250138200,98,283.269989
IS27167.D1EYBACXX.1.250138201,85,114.5299988
IS27169.D1EYBACXX.1.250138202,77,194.7100067
IS27179.D1EYBACXX.1.250138203,100,283.269989
IS27215.D1EYBACXX.1.250138204,118,114.5299988
IS27222.D1EYBACXX.1.250138205,119,187.9299927
IS27233.D1EYBACXX.1.250138206,138,114.5299988
IS27253.D1EYBACXX.1.250138207,148,187.9299927
IS27287.D0D0HACXX.5.250046095,56,182.9199982
IS27292.D1EYBACXX.1.250138208,76,182.9199982
IS27336.D1EYBACXX.1.250138209,49,182.9199982
IS27387.D1EYBACXX.1.250138210,73,316.2099915
IS27393.D1EYBACXX.1.250138211,78,197.6799927
IS27490.70MUKAAXX.1.250006429,92,182.9199982
IS27502.D1EYBACXX.1.250138212,68,182.9199982
IS27527.D1EYBACXX.1.250138213,129,182.9199982
IS27557.MRG.4.250047552,67,182.9199982
IS27587.B064FABXX.1.250009955,160,206.8800049
IS27599.B064FABXX.1.250009967,127,206.8800049
IS27680.D1EYBACXX.1.250138214,313,261.5400085
IS27697.MRG.4.250047553,302,261.5400085
IS27708.D1EYBACXX.1.250138215,346,261.5400085
IS27717.D1EYBACXX.1.250138216,301,261.5400085
IS27726.D1EYBACXX.1.250138217,350,126.3700027
IS27736.D1EYBACXX.1.250138218,479,261.5400085
IS27740.D1EYBACXX.1.250138219,328,261.5400085
IS27766.D1EYBACXX.1.250138220,298,261.5400085
IS27775.D1EYBACXX.1.250138221,249,261.5400085
IS27855.B064FABXX.1.250009999,120,228.8999939
IS27858.D1EYBACXX.1.250138222,154,239.5099945
IS27859.D1EYBACXX.1.250138223,319,260.1199951
IS27887.MRG.4.250047555,121,164.4100037
IS27912.MRG.4.250047556,156,164.4100037
IS29187.MRG.4.250047567,209,260.1199951
IS29228.D1EYBACXX.1.250138011,193,260.1199951
IS29233.70MUKAAXX.1.250006441,166,260.1199951
IS29239.MRG.4.250047569,166,260.1199951
IS29241.MRG.4.250047570,166,260.1199951
IS29304.MRG.4.250047572,209,260.1199951
IS29310.70MUKAAXX.1.250006453,212,228.8999939
IS29314.MRG.4.250047573,212,228.8999939
IS29326.MRG.4.250047605,166,260.1199951
IS29335.MRG.4.250047606,166,260.1199951
IS29358.MRG.4.250047607,168,239.5099945
IS29392.MRG.4.250047608,368,239.5099945
IS29407.70MUKAAXX.1.250006382,255,239.5099945
IS29409.70MUKAAXX.1.250006390,255,239.5099945
IS29441.MRG.4.250047609,247,166.1199951
IS29468.MRG.4.250047610,256,166.1199951
IS29472.B064FABXX.1.250009983,256,166.1199951
IS29496.70MUKAAXX.1.250006398,224,166.1199951
IS29565.MRG.4.250047612,NA,239.5099945
IS29568.MRG.4.250047613,NA,239.5099945
IS29569.70MUKAAXX.1.250006410,NA,239.5099945
IS29582.MRG.4.250047614,NA,239.5099945
IS29685.D1EYBACXX.1.250138013,88,283.269989
IS29689.MRG.4.250047618,100,283.269989
IS29691.70MUKAAXX.1.250006442,100,283.269989
IS29714.MRG.4.250047619,110,283.269989
IS29733.MRG.4.250047620,127,283.269989
IS29757.D1EYBACXX.1.250138014,125,283.269989
IS29772.MRG.4.250047621,99,187.9299927
IS29798.D0D0HACXX.5.250046098,124,187.9299927
IS29808.D1EYBACXX.1.250138015,119,187.9299927
IS29838.D1EYBACXX.1.250138016,107,187.9299927
IS29856.D1EYBACXX.1.250138017,96,187.9299927
IS29860.D1EYBACXX.1.250138018,85,187.9299927
IS29866.D1EYBACXX.1.250138019,130,187.9299927
IS29870.B064FABXX.1.250010000,105,194.7100067
IS29872.70MUKAAXX.1.250006454,105,194.7100067
IS29876.70MUKAAXX.1.250006466,105,194.7100067
IS29911.70MUKAAXX.1.250006383,88,194.7100067
IS29914.MRG.4.250047622,88,194.7100067
IS29950.MRG.4.250047623,103,194.7100067
IS29966.B064FABXX.1.250010012,105,194.7100067
IS29977.D0D0HACXX.5.250046099,105,194.7100067
IS30024.D1EYBACXX.1.250138020,96,114.5299988
IS30079.MRG.4.250047624,85,194.7100067
IS30092.MRG.4.250047625,94,194.7100067
IS30095.D1EYBACXX.1.250138021,87,194.7100067
IS30122.D1EYBACXX.1.250138022,135,187.9299927
IS30145.D1EYBACXX.1.250138023,172,283.269989
IS30175.70MUKAAXX.1.250006391,104,187.9299927
IS30205.D0D0HACXX.5.250046101,182,283.269989
IS30207.B064FABXX.1.250010024,182,283.269989
IS30213.D1EYBACXX.1.250138024,96,114.5299988
IS30231.MRG.4.250047626,NA,187.9299927
IS30572.MRG.4.250047640,NA,584.5900269
IS30619.B064FABXX.1.250009957,116,206.8800049
IS3073.628P7AAXX.7.250007019,75,236.3399963
IS30748.B064FABXX.1.250009968,NA,584.5900269
IS3075.C1AB3ACXX.7.250137273,53,236.3399963
IS30838.MRG.4.250047641,253,584.5900269
IS30853.D1EYBACXX.1.250138038,NA,584.5900269
IS30855.D1EYBACXX.1.250138039,184,584.5900269
IS30858.D1EYBACXX.1.250138040,370,584.5900269
IS30860.D1EYBACXX.1.250138041,247,225.1300049
IS30864.D1EYBACXX.1.250138042,170,498.2399902
IS30867.D1EYBACXX.1.250138043,143,498.2399902
IS30868.D1EYBACXX.1.250138044,151,498.2399902
IS31043.MRG.4.250047642,248,419.1900024
IS31179.B064FABXX.1.250010013,426,419.1900024
IS31186.MRG.4.250047643,239,419.1900024
IS31195.B064FABXX.1.250010025,209,419.1900024
IS31202.B064FABXX.1.250009940,305,419.1900024
IS31299.B064FABXX.1.250009980,372,191.9499969
IS31446.MRG.4.250047644,380,419.1900024
IS31533.B064FABXX.1.250009958,177,490.5
IS31557.MRG.4.250047645,198,223.75
IS31559.70MUKAAXX.1.250006419,231,191.9499969
IS31666.D1EYBACXX.1.250138045,238,59.63999939
IS32569.70MUKAAXX.1.250006400,136,269.230011
IS32571.D1EYBACXX.1.250138068,133,269.230011
IS32685.D1EYBACXX.1.250138069,140,248.0200043
IS32754.MRG.4.250047697,NA,164.4799957
IS32986.B064FABXX.1.250009969,109,223.75
IS33023.MRG.4.250047654,NA,223.75
IS33173.B064FABXX.1.250009991,108,206.8800049
IS33178.B064FABXX.1.250010003,93,584.5900269
IS33209.B064FABXX.1.250010015,100,584.5900269
