,rice_N
IRIS_313-11124,172
IRIS_313-11154,172
IRIS_313-11163,172
IRIS_313-11216,172
IRIS_313-11219,172
IRIS_313-11220,172
IRIS_313-11222,172
IRIS_313-11223,172
IRIS_313-11224,172
IRIS_313-11225,172
IRIS_313-11226,172
IRIS_313-11227,172
IRIS_313-11228,172
IRIS_313-11229,172
IRIS_313-11230,172
IRIS_313-11231,172
IRIS_313-11557,172
IRIS_313-11558,172
IRIS_313-8252,172
IRIS_313-8641,172
IRIS_313-8703,172
IRIS_313-8737,172
IRIS_313-8822,172
IRIS_313-9049,172
IRIS_313-9067,172
IRIS_313-9072,172
IRIS_313-9139,172
IRIS_313-9174,172
IRIS_313-9262,172
IRIS_313-9397,172
IRIS_313-9606,172
IRIS_313-9617,172
IRIS_313-9626,172
IRIS_313-9682,172
IRGC_54333,172
IRIS_313-12309,172
IRIS_313-11203,173
IRIS_313-11204,173
IRIS_313-11206,173
IRIS_313-11207,173
IRIS_313-11209,173
IRGC_74777,173
IRIS_313-11164,173
IRGC_78267,174
IRIS_313-11709,175
IRIS_313-8870,175
IRIS_313-11071,176
IRIS_313-11092,176
IRIS_313-12263,176
IRIS_313-9198,176
IRIS_313-11845,176
IRIS_313-11599,177
IRIS_313-11085,177
IRIS_313-12329,177
IRIS_313-11598,178
IRIS_313-11545,178
IRIS_313-11546,178
IRIS_313-11548,178
IRIS_313-11549,178
IRIS_313-8659,178
IRGC_27748,178
IRIS_313-11677,178
IRIS_313-11685,178
IRIS_313-11234,180
IRIS_313-11843,180
IRIS_313-8410,181
IRIS_313-11482,182
IRIS_313-11499,182
IRIS_313-11344,182
IRGC_24224,183
IRGC_27762,183
IRGC_30238,183
IRIS_313-10134,183
IRIS_313-10757,183
IRIS_313-10923,183
IRIS_313-10928,183
IRIS_313-11248,183
IRIS_313-11386,183
IRIS_313-11387,183
IRIS_313-11509,183
IRIS_313-11530,183
IRIS_313-11609,183
IRIS_313-11686,183
IRIS_313-11719,183
IRIS_313-11720,183
IRIS_313-11721,183
IRIS_313-11831,183
IRIS_313-11897,183
