,rice_N
IRIS_313-11119,507
IRIS_313-11383,507
IRIS_313-11384,507
IRIS_313-11521,507
IRIS_313-11594,507
IRIS_313-11895,507
IRIS_313-11896,507
IRIS_313-12078,507
IRIS_313-8341,507
IRIS_313-8409,507
IRIS_313-9131,507
IRIS_313-9429,507
IRIS_313-9637,507
IRIS_313-8814,511
IRIS_313-11490,514
IRIS_313-12139,514
IRIS_313-12045,517
IRIS_313-12046,517
IRIS_313-12068,517
IRGC_44076,518
IRIS_313-11329,518
IRIS_313-8626,518
IRIS_313-8486,519
IRIS_313-10722,520
IRIS_313-8925,520
IRIS_313-9574,521
IRIS_313-9928,527
IRIS_313-12027,532
IRIS_313-12108,534
IRIS_313-12135,534
IRIS_313-9582,534
IRIS_313-10582,536
IRIS_313-12183,540
IRIS_313-11984,540
IRIS_313-10577,541
IRIS_313-10993,541
IRIS_313-10994,541
IRIS_313-11608,544
IRIS_313-11610,544
IRIS_313-10954,550
IRIS_313-11472,551
IRIS_313-9968,554
IRIS_313-8466,564
IRIS_313-8312,567
IRIS_313-11342,567
IRIS_313-11848,568
IRIS_313-11630,569
IRIS_313-11661,579
IRIS_313-9102,579
IRIS_313-11627,589
IRGC_61953,593
IRIS_313-10924,593
IRIS_313-10925,593
IRIS_313-10926,593
IRIS_313-10927,593
IRIS_313-11943,593
IRIS_313-11944,593
IRIS_313-12093,593
IRGC_71524,601
IRIS_313-11690,626
IRIS_313-12268,635
IRIS_313-12270,635
IRIS_313-11511,641
IRIS_313-11120,653
IRIS_313-10848,666
IRIS_313-9698,680
IRIS_313-11494,731
IRIS_313-11743,736
IRIS_313-8765,736
IRIS_313-9404,741
IRIS_313-11626,783
IRIS_313-8578,801
IRGC_32390,854
IRIS_313-12138,1845
