,TN_maize,NHx_maize
SEEDGWAS1102:MRG:4:250067799,497,247.5299988
SEEDGWAS1103:MRG:4:250067800,487,247.5299988
SEEDGWAS1104:MRG:4:250067802,570,247.5299988
SEEDGWAS1105:MRG:4:250067803,426,539.8900146
SEEDGWAS1106:MRG:4:250067804,511,344.1400146
SEEDGWAS1107:MRG:4:250067805,301,544.3800049
SEEDGWAS1108:MRG:4:250067806,212,544.3800049
SEEDGWAS1109:MRG:4:250067807,301,544.3800049
SEEDGWAS1110:MRG:4:250067808,169,363.2600098
SEEDGWAS1111:MRG:4:250067809,603,134.0700073
SEEDGWAS1114:MRG:4:250067811,331,341.4599915
SEEDGWAS1115:MRG:4:250070129,418,341.4599915
SEEDGWAS1118:MRG:4:250070132,NA,134.0700073
SEEDGWAS112:MRG:4:250054525,104,89.69999695
SEEDGWAS1120:MRG:4:250070133,205,363.2600098
SEEDGWAS1121:MRG:4:250070134,443,599.789978
SEEDGWAS1122:MRG:4:250070135,257,544.3800049
SEEDGWAS1124:MRG:4:250070137,239,145.5
SEEDGWAS1125:MRG:4:250070138,239,145.5
SEEDGWAS1126:MRG:4:250070139,321,599.789978
SEEDGWAS1128:MRG:4:250070140,244,344.1400146
SEEDGWAS113:MRG:4:250054526,NA,23.80999947
SEEDGWAS1130:MRG:4:250070141,215,344.1400146
SEEDGWAS1131:MRG:4:250070142,203,344.1400146
SEEDGWAS1133:MRG:4:250070143,180,330.2000122
SEEDGWAS1134:MRG:4:250070144,426,344.1400146
SEEDGWAS1135:MRG:4:250070145,438,599.789978
SEEDGWAS1136:MRG:4:250070147,392,363.2600098
SEEDGWAS1138:MRG:4:250070149,226,250.5599976
SEEDGWAS114:MRG:4:250054527,543,344.1400146
SEEDGWAS1140:MRG:4:250070150,443,599.789978
SEEDGWAS1141:MRG:4:250070151,NA,599.789978
SEEDGWAS1142:MRG:4:250070152,NA,599.789978
SEEDGWAS1143:MRG:4:250070153,244,344.1400146
