,at_aridity_index
6076,8921
6077,8921
6085,8277
6086,9041
6087,7327
6088,7327
6090,7255
6091,7195
6092,7255
6094,7196
6095,7196
6096,7293
6097,7399
6098,7255
6099,7255
6100,7293
6101,7293
6102,7293
6104,7630
6105,7932
6106,7932
6107,8038
6108,8110
6109,7932
6111,8110
6112,7984
6113,8187
6114,8069
6115,8069
6118,7770
6119,7668
6122,9473
6123,9473
6124,9473
6125,9473
6126,9476
6128,9471
6131,9535
6132,9535
6133,9476
6134,9471
6136,10498
6137,10743
6138,10498
6140,10498
6141,10498
6142,10637
6145,10637
6148,10429
6149,10367
6150,10523
6151,7255
6153,10397
6154,10397
6163,10397
6166,10397
6169,11513
6172,11513
6173,11513
6174,10860
6177,10860
6180,10860
6184,11059
6188,9210
6189,9210
6191,9210
6192,9210
6193,9210
6194,9210
6195,9210
6198,9598
6201,9598
6202,9598
6203,9598
6209,11307
6210,11307
6214,0
6216,0
6217,0
6218,0
6220,10856
6221,10856
6231,11029
6235,11104
6237,11104
6238,11104
6240,11104
6241,11104
6242,7894
6243,10546
6244,11977
6252,0
6255,0
6258,0
6268,0
6276,0
6284,0
6296,6089
6390,6089
6396,6089
6413,9540
6424,6401
6434,6401
6445,6401
6680,9111
6739,9138
6740,9138
6744,9138
6749,8256
6750,8256
6805,8796
6806,8796
6814,8525
6830,2494
6897,8601
6898,9561
6900,9963
6901,9963
6903,6409
6904,5110
6907,8123
6908,8123
6909,7199
6911,1402
6913,11307
6915,14537
6917,0
6918,0
6919,9760
6920,7710
6922,9760
6923,8123
6924,8123
6926,7958
6927,8525
6929,3008
6931,2494
6932,5951
6933,5841
6938,9116
6940,8770
6943,8123
6944,8123
6945,11096
6951,6045
6956,6045
6957,6045
6958,6471
6959,7884
6960,7884
6961,2531
6963,2449
6966,8123
6967,8123
6968,10299
6969,10299
6970,4958
6971,4958
6973,9501
6974,9501
6975,9214
6976,9214
6979,14964
6981,7311
6982,9018
6984,6401
6986,12916
6987,11471
6989,19992
6990,12458
6992,10524
6997,9702
7000,9134
7002,8562
7003,9357
7008,10091
7013,6310
7014,30883
7025,6147
7026,20668
7028,9741
7031,7322
7033,4444
7036,11718
7058,19507
7061,12508
7062,7692
7063,1260
7064,7633
7067,3425
7068,3118
7071,6542
7072,8203
7077,7156
7081,6589
7092,6920
7094,7774
7096,7634
7102,10682
7103,6616
7106,6594
7107,7951
7109,7602
7111,9282
7117,10468
7119,6641
7120,6641
7125,8772
7126,9531
7127,9689
7130,5636
7133,7140
7138,8879
7143,8634
7147,7208
7158,9357
7160,8216
7161,9334
7162,9534
7163,7598
7164,7199
7165,13125
7169,11916
7177,7896
7181,6570
7183,1520
7186,7888
7192,17144
7199,9033
7202,7841
7203,11245
7207,13299
7208,19619
7209,5993
7213,5951
7217,7315
7218,11251
7223,7501
7231,7501
7244,6174
7248,11074
7250,8770
7255,7557
7258,8437
7268,7077
7276,7540
7280,9579
7282,8056
7287,9715
7288,26715
7296,9758
7298,23318
7305,8851
7306,17026
7307,10220
7314,0
7316,10347
7319,3118
7320,7672
7322,8975
7323,5307
7327,4571
7328,4571
7332,12833
7333,7642
7337,11552
7342,11396
7343,5920
7344,11525
7346,5880
7347,7510
7349,7547
7350,10331
7353,10906
7354,9548
7356,7038
7358,7038
7359,7038
7372,13036
7373,15704
7377,8256
7378,9195
7382,9855
7383,17026
7384,9812
7387,13326
7394,5702
7396,7311
7404,7804
7411,13077
7413,8161
7415,6678
7416,4615
7417,12281
7418,12281
7419,8433
7424,5110
7430,8321
7461,7896
7475,9474
7477,10361
7514,8668
7515,8668
7516,0
7517,0
7520,7505
7521,7505
7523,8480
7525,8503
7529,8506
7530,8506
7566,8400
7568,8400
7717,8503
7757,8503
7767,8503
7917,8480
7947,8480
8037,8546
8057,8546
8077,8546
8132,8503
8171,8503
8214,7054
8222,7658
8227,10828
8230,6835
8231,8073
8233,8544
8234,8227
8235,6410
8236,6795
8237,8154
8238,9547
8239,8756
8240,7894
8241,10546
8242,7296
8243,6476
8244,6329
8246,8095
8247,10680
8249,8425
