,rice_aridity_index
IRIS_313-11481,9772
IRIS_313-11482,12395
IRIS_313-11483,12513
IRIS_313-11484,10355
IRIS_313-11486,9772
IRIS_313-11487,12287
IRIS_313-11557,13013
IRIS_313-11558,13013
IRIS_313-11722,22619
IRIS_313-11945,14002
IRIS_313-11964,15447
IRIS_313-11982,17324
IRIS_313-12002,15103
IRIS_313-12055,15270
IRIS_313-12094,13702
IRIS_313-12141,18272
IRIS_313-8252,13013
IRIS_313-8283,14088
IRIS_313-8349,13670
IRIS_313-8410,11993
IRIS_313-8437,21688
IRIS_313-8509,11687
IRIS_313-8632,17546
IRIS_313-8641,13013
IRIS_313-8683,14354
IRIS_313-8703,13013
IRIS_313-8717,12704
IRIS_313-8721,15598
IRIS_313-8733,9554
IRIS_313-8737,13013
IRIS_313-8789,12798
IRIS_313-8822,13013
IRIS_313-8850,12704
IRIS_313-8854,17102
IRIS_313-8864,11295
IRIS_313-8930,15000
IRIS_313-8932,11043
IRIS_313-8963,17116
IRIS_313-9049,13013
IRIS_313-9067,13013
IRIS_313-9072,13013
IRIS_313-9108,11796
IRIS_313-9139,13013
IRIS_313-9174,13013
IRIS_313-9218,17102
IRIS_313-9262,13013
IRIS_313-9271,12704
IRIS_313-9325,15618
IRIS_313-9368,10311
IRIS_313-9391,18209
IRIS_313-9397,13013
IRIS_313-9422,23220
IRIS_313-9445,11991
IRIS_313-9594,17749
IRIS_313-9606,13013
IRIS_313-9617,13013
IRIS_313-9626,13013
IRIS_313-9661,23432
IRIS_313-9682,13013
IRIS_313-9696,17749
IRGC_32390,22729
IRIS_313-11120,15664
IRIS_313-11661,8340
IRIS_313-11690,6551
IRIS_313-11691,6968
IRIS_313-11743,14061
IRIS_313-12138,14397
IRIS_313-8302,7647
IRIS_313-8486,5097
IRIS_313-8519,8283
IRIS_313-8637,7141
IRIS_313-8765,14061
IRIS_313-8814,4157
IRIS_313-8815,7001
IRIS_313-8857,7921
IRIS_313-9048,7921
IRIS_313-9404,9504
IRIS_313-9506,17384
IRIS_313-9529,6955
IRIS_313-9572,4756
IRIS_313-11989,19063
IRIS_313-9574,22455
IRIS_313-10557,9028
IRIS_313-10648,9028
IRIS_313-10898,7327
IRIS_313-10899,7556
IRIS_313-10900,7556
IRIS_313-10901,7556
IRIS_313-10902,7327
IRIS_313-10903,8086
IRIS_313-10904,7327
IRIS_313-10905,7327
IRIS_313-10906,7327
IRIS_313-10907,7327
IRIS_313-10908,7556
IRIS_313-10909,7327
IRIS_313-10910,8086
IRIS_313-10911,7327
IRIS_313-10912,7327
IRIS_313-10913,8086
IRIS_313-10915,7327
IRIS_313-10916,7327
IRIS_313-11084,7327
IRIS_313-11087,7327
IRIS_313-11088,9902
IRIS_313-11089,9028
IRIS_313-11935,9028
IRIS_313-11936,9028
IRIS_313-11997,8873
IRIS_313-11998,7861
IRIS_313-11999,9939
IRIS_313-12000,8649
IRIS_313-12036,10037
IRIS_313-12037,10854
IRIS_313-12038,9066
IRIS_313-12039,7821
IRIS_313-12040,12323
IRIS_313-12041,9066
IRIS_313-12042,10220
IRIS_313-12043,12576
IRIS_313-12044,7493
IRIS_313-12058,6973
IRIS_313-12096,7170
IRIS_313-12097,7327
IRIS_313-12101,7327
IRIS_313-12102,7861
IRIS_313-12109,9354
IRIS_313-12142,11721
IRIS_313-12143,10299
IRIS_313-12146,11916
IRIS_313-12147,10398
IRIS_313-12148,13560
IRIS_313-12151,7537
IRIS_313-12152,5945
IRIS_313-12161,12826
IRIS_313-12164,11678
IRIS_313-12246,8487
IRIS_313-12247,9177
IRIS_313-12249,8478
IRIS_313-12251,8434
IRIS_313-9249,7327
IRGC_117269,3108
IRGC_117271,3108
IRGC_117277,3108
IRGC_117280,3108
IRGC_1427,3108
IRGC_4541,3108
IRGC_4860,3108
IRGC_4887,3108
IRGC_51400,3108
IRGC_53437,3108
IRGC_59673,3108
IRGC_59849,3108
IRGC_59930,3108
IRGC_59932,3108
IRGC_63544,11724
IRGC_63726,11724
IRGC_67034,13257
IRGC_67096,13257
IRGC_68159,11789
IRGC_752,3108
IRGC_8195,3108
IRGC_8266,3108
IRIS_313-10129,3108
IRIS_313-10177,13257
IRIS_313-10211,3108
IRIS_313-10221,13257
IRIS_313-10228,15509
IRIS_313-10239,15509
IRIS_313-10450,3108
IRIS_313-10453,3108
IRIS_313-10497,3108
IRIS_313-10502,3108
IRIS_313-10503,3108
IRIS_313-10504,3108
IRIS_313-10558,3108
IRIS_313-10559,3108
IRIS_313-10560,3108
IRIS_313-10561,3108
IRIS_313-10562,3108
IRIS_313-11038,8328
IRIS_313-11522,6118
IRIS_313-11651,3108
IRIS_313-11652,3108
IRIS_313-11653,3108
IRIS_313-11654,3108
IRIS_313-11655,3108
IRIS_313-11744,11789
IRIS_313-11745,11789
IRIS_313-11852,13291
IRIS_313-11853,13291
IRIS_313-11947,3108
IRIS_313-11948,3108
IRIS_313-11949,3108
IRIS_313-11950,3108
IRIS_313-11951,3108
IRIS_313-11952,3108
IRIS_313-11953,3108
IRIS_313-11954,3108
IRIS_313-11955,3108
IRIS_313-11965,13257
IRIS_313-11966,13257
IRIS_313-11967,13257
IRIS_313-11968,13257
IRIS_313-12007,13257
IRIS_313-12009,13257
IRIS_313-12010,13257
IRIS_313-12011,13257
IRIS_313-12012,13257
IRIS_313-12059,6118
IRIS_313-12060,6118
IRIS_313-12061,6118
IRIS_313-12273,13291
IRIS_313-12275,15509
IRIS_313-8380,3108
IRIS_313-8645,3108
IRIS_313-9017,3108
IRIS_313-9204,3108
IRIS_313-9324,3108
IRIS_313-9372,3108
IRIS_313-9469,3108
IRIS_313-9555,3108
IRIS_313-9730,11789
IRIS_313-10614,15330
IRGC_117267,6701
IRGC_117398,6701
IRGC_117617,18454
IRGC_12331,21734
IRGC_12386,21734
IRGC_12894,6701
IRGC_13746,17066
IRGC_177,6701
IRGC_32559,6701
IRGC_32561,6701
IRGC_34962,7853
IRGC_3697,6701
IRGC_42469,19212
IRGC_46202,6701
IRGC_46531,6701
IRGC_46768,6701
IRGC_53931,6701
IRGC_5999,6701
IRGC_6264,6701
IRGC_6274,6701
IRGC_6298,6701
IRGC_6307,6701
IRGC_6331,6701
IRGC_72479,6701
IRGC_74719,5180
IRGC_74777,5234
IRGC_77530,3929
IRGC_7919,6701
IRGC_8896,6701
IRGC_9062,6701
IRGC_9069,6701
IRGC_9070,6701
IRGC_9091,6701
IRGC_9175,6701
IRGC_9177,6701
IRGC_9179,6701
IRIS_313-10150,6701
IRIS_313-10628,6701
IRIS_313-10664,14488
IRIS_313-10666,19212
IRIS_313-10667,21734
IRIS_313-10668,21734
IRIS_313-10670,21734
IRIS_313-10671,25209
IRIS_313-10673,25209
IRIS_313-10674,25209
IRIS_313-10675,25209
IRIS_313-10676,25209
IRIS_313-10845,9618
IRIS_313-10847,14488
IRIS_313-10848,23745
IRIS_313-10849,21734
IRIS_313-10850,21734
IRIS_313-10851,21734
IRIS_313-10852,21734
IRIS_313-10853,21734
IRIS_313-10854,21734
IRIS_313-10855,21734
IRIS_313-10856,25209
IRIS_313-10857,25209
IRIS_313-10858,25209
IRIS_313-10859,25209
IRIS_313-10861,21734
IRIS_313-10862,21734
IRIS_313-10863,11157
IRIS_313-10864,21734
IRIS_313-10865,11688
IRIS_313-10866,11688
IRIS_313-10867,18907
IRIS_313-10868,18907
IRIS_313-10869,20618
IRIS_313-10870,20618
IRIS_313-11041,3828
IRIS_313-11042,3819
IRIS_313-11164,7820
IRIS_313-11166,7853
IRIS_313-11167,7438
IRIS_313-11169,21628
IRIS_313-11360,6701
IRIS_313-11371,6701
IRIS_313-11403,3828
IRIS_313-11414,6701
IRIS_313-11442,6701
IRIS_313-11443,6701
IRIS_313-11445,5779
IRIS_313-11446,17066
IRIS_313-11447,17066
IRIS_313-11448,2904
IRIS_313-11449,2904
IRIS_313-11451,2214
IRIS_313-11452,7148
IRIS_313-11453,3255
IRIS_313-11454,3963
IRIS_313-11455,3963
IRIS_313-11456,3963
IRIS_313-11458,6701
IRIS_313-11460,6701
IRIS_313-11461,6701
IRIS_313-11462,15938
IRIS_313-11489,3936
IRIS_313-11490,15581
IRIS_313-11492,6701
IRIS_313-11493,15253
IRIS_313-11494,14843
IRIS_313-11505,6701
IRIS_313-11506,6701
IRIS_313-11595,6242
IRIS_313-11596,6265
IRIS_313-11597,5507
IRIS_313-11598,7687
IRIS_313-11599,6394
IRIS_313-11600,5438
IRIS_313-11602,5794
IRIS_313-11603,5990
IRIS_313-11604,5605
IRIS_313-11606,5507
IRIS_313-11607,5507
IRIS_313-11616,5129
IRIS_313-11617,5129
IRIS_313-11618,5129
IRIS_313-11619,5129
IRIS_313-11620,5129
IRIS_313-11621,5129
IRIS_313-11636,6701
IRIS_313-11638,6701
IRIS_313-11639,6701
IRIS_313-11640,6701
IRIS_313-11641,6701
IRIS_313-11642,6701
IRIS_313-11643,6701
IRIS_313-11644,6701
IRIS_313-11645,6701
IRIS_313-11646,6701
IRIS_313-11647,6701
IRIS_313-11648,6701
IRIS_313-11650,6701
IRIS_313-11712,6701
IRIS_313-11737,6242
IRIS_313-11738,6556
IRIS_313-11742,6701
IRIS_313-11821,6701
IRIS_313-11822,6701
IRIS_313-11823,6701
IRIS_313-11824,6701
IRIS_313-11825,6701
IRIS_313-11826,6701
IRIS_313-11827,6701
IRIS_313-11828,6701
IRIS_313-11917,5416
IRIS_313-11918,5626
IRIS_313-11919,5416
IRIS_313-11969,5129
IRIS_313-12013,6701
IRIS_313-12052,13574
IRIS_313-7736,6701
IRIS_313-7780,6701
IRIS_313-8265,6701
IRIS_313-8303,7654
IRIS_313-8305,6701
IRIS_313-8386,25209
IRIS_313-8435,5129
IRIS_313-8498,21734
IRIS_313-8530,6701
IRIS_313-8568,7148
IRIS_313-8614,6701
IRIS_313-8631,1661
IRIS_313-8704,4034
IRIS_313-8727,6701
IRIS_313-8731,5416
IRIS_313-8754,4665
IRIS_313-8757,5507
IRIS_313-8796,5416
IRIS_313-8813,25209
IRIS_313-8920,5507
IRIS_313-8924,2904
IRIS_313-8986,25209
IRIS_313-8988,5346
IRIS_313-9137,21734
IRIS_313-9176,21734
IRIS_313-9201,14488
IRIS_313-9258,7654
IRIS_313-9313,25209
IRIS_313-9360,6701
IRIS_313-9384,16375
IRIS_313-9392,18907
IRIS_313-9400,6701
IRIS_313-9403,6855
IRIS_313-9424,9618
IRIS_313-9484,7128
IRIS_313-9492,6701
IRIS_313-9516,6701
IRIS_313-9547,7654
IRIS_313-9557,13574
IRIS_313-9605,5129
IRIS_313-9609,25209
IRIS_313-9610,3099
IRIS_313-9611,2904
IRIS_313-9629,6701
IRGC_122298,15565
IRGC_14413,17490
IRGC_19972,17538
IRGC_27129,17538
IRGC_35834,17940
IRGC_43322,18140
IRGC_43369,18140
IRGC_43372,13436
IRGC_43394,9569
IRGC_43400,22599
IRGC_43540,22599
IRGC_54333,9578
IRGC_66640,21078
IRGC_8260,17538
IRGC_8261,17538
IRGC_9147,17538
IRIS_313-10152,12282
IRIS_313-10689,15519
IRIS_313-10690,21739
IRIS_313-10692,15197
IRIS_313-10693,25044
IRIS_313-10738,17538
IRIS_313-10739,17538
IRIS_313-10740,17538
IRIS_313-10741,17538
IRIS_313-10742,17538
IRIS_313-10743,17538
IRIS_313-10744,17538
IRIS_313-10745,17538
IRIS_313-10746,17538
IRIS_313-10747,17538
IRIS_313-10758,5872
IRIS_313-10759,9569
IRIS_313-10760,16674
IRIS_313-10761,17940
IRIS_313-10762,16638
IRIS_313-10765,17940
IRIS_313-10766,17940
IRIS_313-10767,15013
IRIS_313-10768,16370
IRIS_313-10769,16370
IRIS_313-10770,17538
IRIS_313-10771,5872
IRIS_313-10772,12714
IRIS_313-10773,22599
IRIS_313-10774,17940
IRIS_313-10775,17940
IRIS_313-10776,5872
IRIS_313-10777,17940
IRIS_313-10778,16370
IRIS_313-10779,16638
IRIS_313-10780,15013
IRIS_313-10781,9569
IRIS_313-10782,17940
IRIS_313-10783,17940
IRIS_313-10784,12714
IRIS_313-10785,9569
IRIS_313-10786,12142
IRIS_313-10787,16370
IRIS_313-10788,17940
IRIS_313-10789,12714
IRIS_313-10790,5872
IRIS_313-10791,17940
IRIS_313-10792,17520
IRIS_313-10793,12714
IRIS_313-10794,15013
IRIS_313-10795,12714
IRIS_313-10796,12714
IRIS_313-10797,16638
IRIS_313-10798,11009
IRIS_313-10799,12009
IRIS_313-10800,9569
IRIS_313-10801,10254
IRIS_313-10802,17940
IRIS_313-10803,12870
IRIS_313-10804,16370
IRIS_313-10805,16674
IRIS_313-10806,16370
IRIS_313-10807,20947
IRIS_313-10808,12714
IRIS_313-10809,12714
IRIS_313-10810,17940
IRIS_313-10811,17940
IRIS_313-10812,15013
IRIS_313-10813,16370
IRIS_313-10814,21215
IRIS_313-10815,20566
IRIS_313-10816,15013
IRIS_313-10817,9569
IRIS_313-10818,16638
IRIS_313-10819,17940
IRIS_313-10820,17940
