,rice_aridity_index
IRIS_313-10581,14451
IRIS_313-10582,22219
IRIS_313-10644,11381
IRIS_313-10645,11381
IRIS_313-10827,11044
IRIS_313-10828,11337
IRIS_313-10829,11337
IRIS_313-10830,10218
IRIS_313-10831,11337
IRIS_313-10832,11337
IRIS_313-10917,17488
IRIS_313-10918,17488
IRIS_313-10919,17488
IRIS_313-10920,17488
IRIS_313-10931,15230
IRIS_313-10990,13361
IRIS_313-10991,14321
IRIS_313-10992,19026
IRIS_313-10993,20913
IRIS_313-10994,20913
IRIS_313-11097,8198
IRIS_313-11196,14493
IRIS_313-11234,10933
IRIS_313-11330,15600
IRIS_313-11331,12403
IRIS_313-11334,12403
IRIS_313-11335,11937
IRIS_313-11336,0
IRIS_313-11337,15834
IRIS_313-11338,14963
IRIS_313-11339,19334
IRIS_313-11340,13438
IRIS_313-11341,12403
IRIS_313-11342,22489
IRIS_313-11343,13692
IRIS_313-11344,12502
IRIS_313-11345,12403
IRIS_313-11346,16941
IRIS_313-11347,13900
IRIS_313-11377,17171
IRIS_313-11379,16443
IRIS_313-11380,22857
IRIS_313-11381,17534
IRIS_313-11424,15735
IRIS_313-11441,15122
IRIS_313-11463,19750
IRIS_313-11464,24350
IRIS_313-11465,19026
IRIS_313-11467,17394
IRIS_313-11471,13322
IRIS_313-11472,16439
IRIS_313-11473,16706
IRIS_313-11485,10950
IRIS_313-11511,27369
IRIS_313-11512,25676
IRIS_313-11532,17394
IRIS_313-11673,11044
IRIS_313-11736,14089
IRIS_313-11788,14834
IRIS_313-11851,16910
IRIS_313-11913,13373
IRIS_313-11928,11337
IRIS_313-11929,11337
IRIS_313-11934,15326
IRIS_313-11959,14263
IRIS_313-11994,19134
IRIS_313-11995,19134
IRIS_313-11996,20697
IRIS_313-12051,19334
IRIS_313-12066,19334
IRIS_313-12067,19334
IRIS_313-12073,19134
IRIS_313-12080,19334
IRIS_313-12081,19334
IRIS_313-12244,14651
IRIS_313-12271,10746
IRIS_313-12272,11202
IRIS_313-8292,19334
IRIS_313-8356,13252
IRIS_313-8383,19334
IRIS_313-8431,15735
IRIS_313-8567,13828
IRIS_313-8594,15263
IRIS_313-8948,13903
IRIS_313-9389,12212
IRIS_313-9423,13503
IRIS_313-9505,19334
IRIS_313-9616,14089
IRIS_313-9897,0
IRIS_313-9928,22577
IRIS_313-9929,12027
IRGC_117276,11970
IRIS_313-10065,11970
IRIS_313-10067,11970
IRIS_313-10092,11339
IRIS_313-10093,13618
IRIS_313-10094,12641
IRIS_313-10096,9765
IRIS_313-10097,13618
IRIS_313-10124,11140
IRIS_313-10837,11970
IRIS_313-10838,11970
IRIS_313-10839,11970
IRIS_313-10840,11970
IRIS_313-11973,10363
IRIS_313-12217,11970
IRIS_313-9379,11970
IRIS_313-9886,11970
IRIS_313-9887,11970
IRIS_313-9890,11970
IRIS_313-9891,11970
IRIS_313-9974,11970
IRIS_313-9976,11970
IRGC_47383,8285
IRGC_51064,7161
IRGC_8952,18236
IRIS_313-10020,22365
IRIS_313-10298,8304
IRIS_313-10609,15594
IRIS_313-10610,11655
IRIS_313-10661,11450
IRIS_313-10662,16398
IRIS_313-10715,15594
IRIS_313-10716,18236
IRIS_313-10717,6049
IRIS_313-10718,8139
IRIS_313-10719,8139
IRIS_313-10720,6776
IRIS_313-10721,6776
IRIS_313-10722,21400
IRIS_313-11110,16398
IRIS_313-11191,15594
IRIS_313-11382,13832
IRIS_313-11741,21491
IRIS_313-11916,17883
IRIS_313-8244,11655
IRIS_313-8342,11970
IRIS_313-8699,6834
IRIS_313-8783,11894
IRIS_313-8925,21400
IRIS_313-8968,8285
IRIS_313-9039,9463
IRIS_313-9256,16398
IRIS_313-9636,16398
IRIS_313-9809,6049
IRIS_313-9831,18236
IRIS_313-9832,8139
IRIS_313-9861,6049
IRIS_313-9862,6049
IRIS_313-9867,13832
IRIS_313-9917,8304
IRIS_313-9949,11494
IRIS_313-9968,7208
IRIS_313-9969,7193
IRIS_313-9970,7193
IRGC_10430,18808
IRGC_117279,18808
IRGC_42576,18808
IRGC_5508,18808
IRGC_65293,18808
IRGC_8196,18808
IRGC_8238,18808
IRGC_8242,18808
IRGC_8267,18808
IRGC_8268,18808
IRGC_8269,18808
IRIS_313-10429,18808
IRIS_313-10515,18808
IRIS_313-10631,18808
IRIS_313-11692,18808
IRIS_313-11693,18808
IRIS_313-11694,18808
IRIS_313-11695,18808
IRIS_313-11698,18808
IRIS_313-11981,18808
IRIS_313-8743,18808
IRIS_313-9701,18808
IRIS_313-9702,18808
IRIS_313-9758,18808
IRGC_24224,8085
IRGC_27716,6220
IRGC_27748,6813
IRGC_27762,8085
IRGC_30238,8085
IRGC_40673,6593
IRGC_78253,5610
IRGC_78257,11271
IRGC_78267,6838
IRIS_313-10134,8085
IRIS_313-10176,6490
IRIS_313-10650,13048
IRIS_313-10757,8085
IRIS_313-10923,8085
IRIS_313-10928,8085
IRIS_313-11248,8085
IRIS_313-11327,5997
IRIS_313-11386,8085
IRIS_313-11387,8085
IRIS_313-11388,6782
IRIS_313-11389,6382
IRIS_313-11390,6944
IRIS_313-11391,6627
IRIS_313-11392,6627
IRIS_313-11393,6944
IRIS_313-11508,6117
IRIS_313-11509,8085
IRIS_313-11530,8085
IRIS_313-11534,12341
IRIS_313-11535,12563
IRIS_313-11608,12654
IRIS_313-11609,8085
IRIS_313-11610,12654
IRIS_313-11611,11458
IRIS_313-11635,5859
IRIS_313-11674,7078
IRIS_313-11676,7131
IRIS_313-11677,11107
IRIS_313-11678,5780
IRIS_313-11679,6593
IRIS_313-11680,5666
IRIS_313-11681,6593
IRIS_313-11682,5780
IRIS_313-11683,6627
IRIS_313-11684,6627
IRIS_313-11685,11107
IRIS_313-11686,8085
IRIS_313-11687,5621
IRIS_313-11688,8774
IRIS_313-11700,6682
IRIS_313-11704,5742
IRIS_313-11705,6682
IRIS_313-11706,6286
IRIS_313-11707,6944
IRIS_313-11708,8213
IRIS_313-11709,7104
IRIS_313-11710,6944
IRIS_313-11711,10283
IRIS_313-11719,8085
IRIS_313-11720,8085
IRIS_313-11721,8085
IRIS_313-11831,8085
IRIS_313-11832,5736
IRIS_313-11833,11926
IRIS_313-11834,5736
IRIS_313-11835,7017
IRIS_313-11836,7888
IRIS_313-11837,8077
IRIS_313-11838,7017
IRIS_313-11839,5666
IRIS_313-11840,11926
IRIS_313-11841,7888
IRIS_313-11842,13732
IRIS_313-11843,7196
IRIS_313-11844,5736
IRIS_313-11845,5959
IRIS_313-11846,5744
IRIS_313-11897,8085
IRIS_313-11920,8077
IRIS_313-11921,8774
IRIS_313-11922,6682
IRIS_313-11923,6290
IRIS_313-11924,6682
IRIS_313-11925,13664
IRIS_313-11926,7309
IRIS_313-11927,8033
IRIS_313-11957,8085
IRIS_313-11958,8085
IRIS_313-11961,12728
IRIS_313-11962,6286
IRIS_313-8466,12168
IRIS_313-8474,6779
IRIS_313-8485,5997
IRIS_313-8565,6792
IRIS_313-8580,8085
IRIS_313-8586,6682
IRIS_313-8599,8085
IRIS_313-8674,6627
IRIS_313-8679,5736
IRIS_313-8702,8774
IRIS_313-8722,6725
IRIS_313-8732,8085
IRIS_313-8785,5744
IRIS_313-8870,7104
IRIS_313-8872,8951
IRIS_313-8884,5736
IRIS_313-8911,8085
IRIS_313-8980,6725
IRIS_313-9006,6682
IRIS_313-9019,6204
IRIS_313-9020,6072
IRIS_313-9032,8085
IRIS_313-9062,6682
IRIS_313-9112,8085
IRIS_313-9115,8085
IRIS_313-9116,8085
IRIS_313-9119,8085
IRIS_313-9121,5744
IRIS_313-9123,5744
IRIS_313-9209,6536
IRIS_313-9281,16666
IRIS_313-9288,6682
IRIS_313-9302,8085
IRIS_313-9357,8085
IRIS_313-9406,11271
IRIS_313-9415,8774
IRIS_313-9451,8085
IRIS_313-9567,8085
IRIS_313-9575,6627
IRIS_313-9600,8033
IRIS_313-9669,6769
IRIS_313-9697,11321
IRGC_16800,11415
IRGC_16872,11415
IRGC_40748,12310
IRGC_56036,12811
IRGC_8227,11415
IRGC_8228,11415
IRGC_8231,11415
IRGC_8234,11415
IRIS_313-10554,11415
IRIS_313-10555,11415
IRIS_313-10556,11415
IRIS_313-10748,11415
IRIS_313-10749,11415
IRIS_313-10750,11415
IRIS_313-10751,11415
IRIS_313-10755,11415
IRIS_313-10970,11415
IRIS_313-11118,11415
IRIS_313-11119,11415
IRIS_313-11383,11415
IRIS_313-11384,11415
IRIS_313-11521,11415
IRIS_313-11594,11415
IRIS_313-11893,14961
IRIS_313-11894,12579
IRIS_313-11895,11415
IRIS_313-11896,11415
IRIS_313-11984,13717
IRIS_313-12078,11415
IRIS_313-12210,13308
IRIS_313-8341,11415
IRIS_313-8409,11415
IRIS_313-8578,13695
IRIS_313-8735,13564
IRIS_313-9131,11415
IRIS_313-9317,12179
IRIS_313-9429,11415
IRIS_313-9637,11415
