,sb_PC1,sb_PC2,sb_PC3
IS1472.C1AB3ACXX.7.250137266,-1.201533384,-2.296510826,1.079804707
IS14724.C1AB3ACXX.7.250138424,1.488387572,-0.24744364,2.530908769
IS14735.70MUKAAXX.2.250006039,2.50234171,0.072413036,1.389590169
IS1477.C1AB3ACXX.7.250137267,-0.714676044,-1.917106637,1.146698909
IS1520.C1AB3ACXX.7.250137268,-1.808034497,-2.126522313,-0.75903779
IS1523.C1AB3ACXX.7.250137269,-1.140431721,-1.999636868,-0.355862109
IS1540.C1AB3ACXX.7.250137270,-0.319544067,-1.878258049,0.485606047
IS17149.C1AB3ACXX.7.250138425,2.871030374,-5.019314287,-2.661194754
IS17185.C1AB3ACXX.7.250138426,-2.791222983,-0.085226138,0.21513288
IS17195.C1AB3ACXX.7.250138427,0.658902114,-2.539222541,0.277841123
IS17196.C1AB3ACXX.7.250138428,0.127038355,-3.167731896,-1.105917462
IS17669.C1AB3ACXX.7.250138429,-2.220934532,-0.889946521,-2.238739809
IS17671.C1AB3ACXX.7.250138430,-1.696946467,-0.545174336,-1.818171237
IS17749.C1AB3ACXX.7.250138431,-1.546014987,-1.041598156,1.211816697
IS17752.C1AB3ACXX.7.250138432,-1.773168262,-2.012817626,-0.412719042
IS17766.C1AB3ACXX.7.250138433,-1.477435225,-2.297615389,-0.978101146
IS17815.C1AB3ACXX.7.250138434,-1.931901391,-1.41154794,-2.673141307
IS17819.C1AB3ACXX.7.250138435,-0.341645857,-1.241775944,-1.600593681
IS17857.C1AB3ACXX.7.250138436,1.307691199,0.393911943,-1.947441464
IS17864.C1AB3ACXX.7.250138437,0.483887328,-1.372537455,-2.354050944
IS17872.C1AB3ACXX.7.250138438,-0.14387856,-1.387885707,-3.615437667
IS17885.C1AB3ACXX.7.250138439,-0.352309344,-1.462785399,-2.051876171
IS17891.C1AB3ACXX.7.250138440,-1.084364686,-1.727632729,-2.222750191
IS17896.C1AB3ACXX.7.250138441,-0.755890859,-1.472316027,-1.081640159
IS17905.C1AB3ACXX.7.250138442,-0.062041842,-0.859348236,-2.621457913
IS17909.C1AB3ACXX.7.250138443,-2.266959056,-0.376895142,-0.120919338
IS17912.C1AB3ACXX.7.250138444,-1.78044326,-0.626713287,-3.734230189
IS17917.C1AB3ACXX.7.250138445,-3.724031219,2.37865598,0.32936155
IS17919.C1AB3ACXX.7.250138446,-4.132798592,2.723265321,0.792295872
IS17920.C1AB3ACXX.7.250138447,-4.442781542,2.535271599,0.6612143
IS17921.C1AB3ACXX.7.250138448,-3.880152553,2.015931001,0.229165851
IS17922.C1AB3ACXX.7.250138449,-3.49517063,1.79337499,-0.59699656
IS17925.C1AB3ACXX.7.250138450,-3.913247404,2.969553189,0.099262357
IS17926.C1AB3ACXX.7.250138451,-2.624704051,2.952515392,-1.57697677
IS17929.C1AB3ACXX.7.250138452,-3.333421538,0.225177115,-2.010435517
IS17930.C1AB3ACXX.7.250138453,-2.891109068,0.496765918,-2.779178243
IS17933.C1AB3ACXX.7.250138454,-3.786833707,1.866648416,-0.881547706
IS17937.C1AB3ACXX.7.250138455,-3.410666269,2.621812107,-0.375288342
IS17941.MRG.4.250047478,-3.420931491,2.114785892,-2.120816795
IS17942.C1AB3ACXX.7.250138456,-3.739438245,2.029812885,-0.217170492
IS17958.C1AB3ACXX.7.250138457,-2.203755422,0.087919787,-1.838717019
IS17980.MRG.4.250047479,-2.958598658,0.234769762,-0.612361557
IS18039.MRG.4.250047480,-2.958598658,0.234769762,-0.612361557
IS18234.C1AB3ACXX.7.250138458,1.093676463,-0.625729143,-4.825989098
IS18235.C1AB3ACXX.7.250138459,1.877450103,-0.984665165,-6.208056237
IS18236.C1AB3ACXX.7.250138460,0.463176223,-0.613761486,-4.037128904
IS18238.C1AB3ACXX.7.250138461,1.934391298,-0.952180796,-6.892770054
IS18295.C1AB3ACXX.7.250138462,-3.28508576,-0.376701808,0.956684339
IS18303.C1AB3ACXX.7.250138463,-3.154183532,-0.526950752,0.872787014
IS18822.C1AB3ACXX.7.250138464,-3.872084223,-0.091617342,1.857892744
IS18948.MRG.4.250047689,-2.887737536,2.647970612,-2.024028254
IS19016.70MUKAAXX.2.250006066,-2.234541203,0.015036698,0.745824261
IS19026.628P7AAXX.7.250007103,-2.234541203,0.015036698,0.745824261
IS19041.70MUKAAXX.2.250006078,-2.234541203,0.015036698,0.745824261
IS19126.D0D0HACXX.5.250046083,-2.234541203,0.015036698,0.745824261
IS19132.628NVAAXX.5.250006905,-2.234541203,0.015036698,0.745824261
IS19153.MRG.4.250047481,-2.234541203,0.015036698,0.745824261
IS19262.D0D0HACXX.5.250046084,-2.234541203,0.015036698,0.745824261
IS19477.C1AB3ACXX.7.250138465,1.148522046,-1.84408648,0.449413033
IS19485.C1AB3ACXX.7.250138466,0.374452361,-2.079337268,0.422138121
IS19494.C1AB3ACXX.7.250138467,-1.313918209,-1.852581215,0.950172797
IS19507.C1AB3ACXX.7.250138468,1.327979822,-2.687560248,0.093791659
IS19513.C1AB3ACXX.7.250138469,-0.489210353,-2.267635308,1.30692321
IS19520.C1AB3ACXX.7.250138470,-0.653716634,-2.160396778,0.440264814
IS19677.C1AB3ACXX.7.250138471,-0.849881412,-0.151216207,-3.774801361
IS19680.C1AB3ACXX.7.250138472,-1.253018749,-1.157288964,-3.909391346
IS19685.628NVAAXX.5.250006977,-2.308889153,-0.07145109,-4.251572766
IS19698.C1AB3ACXX.7.250138473,-1.029283642,0.00342743,-4.259832617
IS19700.C1AB3ACXX.7.250138474,-1.609927027,0.674260486,-4.862259054
IS19706.C1AB3ACXX.7.250138475,-1.910150872,0.58120622,-4.182557678
IS19732.C1AB3ACXX.7.250138476,-1.602645671,-0.227152651,-5.448269828
IS19758.C1AB3ACXX.7.250138477,-2.66439127,-0.175104535,-4.137267671
IS19804.C1AB3ACXX.7.250138478,-3.159085262,0.716426571,-2.834425539
IS19847.70MUKAAXX.2.250006012,-3.320278057,0.874370535,-3.277683682
IS19859.MRG.4.250047487,-3.832112382,0.743612249,-2.992163383
IS19946.C1AB3ACXX.7.250138479,-3.633381362,-0.779419137,1.311211532
IS19950.C1AB3ACXX.7.250138480,-2.566299899,-0.853766178,-0.013058569
IS19953.628P7AAXX.7.250007033,-3.330031695,-0.79001242,0.43962652
IS19956.C1AB3ACXX.7.250138481,-3.678843045,-0.496197234,1.826840298
IS19962.C1AB3ACXX.7.250138482,-3.209902332,-0.338010632,2.183653935
IS19975.MRG.4.250047488,-1.932595299,-1.227958349,-0.766295988
IS19978.C1AB3ACXX.7.250137625,-1.548374806,-1.528261152,-0.335058678
IS19982.C1AB3ACXX.7.250137626,-2.559853342,-1.189882919,-0.555792685
IS19988.C1AB3ACXX.7.250137627,-3.314147974,-0.784546384,0.451328075
IS19991.C1AB3ACXX.7.250137628,-2.671370923,-1.086671867,0.732641873
IS19998.C1AB3ACXX.7.250137629,-2.459519134,-0.662579749,0.247069687
IS20004.C1AB3ACXX.7.250137630,-2.847972279,-0.685360149,0.652216471
IS20016.628P7AAXX.7.250007057,-2.632829192,-0.81495725,0.552669197
IS20024.C1AB3ACXX.7.250137631,-2.993345399,-1.362548712,-0.011660111
IS20027.C1AB3ACXX.7.250137632,-2.304647784,-0.973666696,-0.09162845
IS20028.C1AB3ACXX.7.250137633,-3.26649247,-0.974123285,0.541928517
IS20049.C1AB3ACXX.7.250137634,-2.443828053,-1.219071049,-0.138955252
IS20064.628P7AAXX.7.250007081,-2.502246544,-1.662826992,-0.565526522
IS20073.C1AB3ACXX.7.250137635,-2.14019508,-1.964482185,-1.436266672
IS20087.C1AB3ACXX.7.250137636,-2.30494956,-0.666951256,-0.06398239
IS20105.C1AB3ACXX.7.250137637,-2.138361433,-0.746523839,-1.021715902
IS20116.C1AB3ACXX.7.250137638,-2.075092833,-1.13026638,-0.776832822
IS20125.C1AB3ACXX.7.250137639,-1.893227211,-1.242891004,-1.446431936
IS20146.C1AB3ACXX.7.250137640,-1.235702722,-1.954607762,-1.871403604
IS20158.C1AB3ACXX.7.250137641,-3.568972085,0.668490233,1.303110451
IS20164.C1AB3ACXX.7.250137642,-4.133056599,0.895910964,1.596387627
IS20166.C1AB3ACXX.7.250137643,-3.964558602,0.883750856,1.593014297
IS20173.C1AB3ACXX.7.250137644,-3.949811273,0.874933472,1.659281896
IS20187.C1AB3ACXX.7.250137645,-4.187215613,0.627044998,1.410761044
IS20216.C1AB3ACXX.7.250137646,-3.285828766,0.801208738,0.727776191
IS20225.C1AB3ACXX.7.250137647,-3.394930435,0.529206555,1.539619572
IS20230.C1AB3ACXX.7.250137648,-3.487707163,0.420483427,1.104252737
IS20234.C1AB3ACXX.7.250137649,-3.32503815,0.731410552,0.596366515
IS20243.C1AB3ACXX.7.250137650,-3.54062234,0.64916126,0.999592962
IS20250.C1AB3ACXX.7.250137651,-3.44507969,0.245994905,1.11469624
IS20261.C1AB3ACXX.7.250137652,-3.301793909,0.101602546,1.246718066
IS20300.C1AB3ACXX.7.250137653,-3.433841805,0.6374633,1.539241846
IS20307.C1AB3ACXX.7.250137654,-3.602595164,-0.433658672,1.263820005
IS20314.C1AB3ACXX.7.250137655,-3.109169018,0.277349129,1.177691725
IS20328.C1AB3ACXX.7.250137656,-3.204641734,-0.224634655,1.029941138
IS20345.C1AB3ACXX.7.250137657,-3.603548004,-0.134443565,1.455530959
IS20348.C1AB3ACXX.7.250137658,-3.278227004,-0.506544552,0.951279797
IS20363.C1AB3ACXX.7.250137659,-3.258417409,0.279247067,1.211284047
IS20364.C1AB3ACXX.7.250137660,-3.948964991,0.536606938,1.497180341
IS20378.C1AB3ACXX.7.250137661,-3.525867777,-0.301901723,1.111930358
IS20398.C1AB3ACXX.7.250137662,-3.406231384,-0.558541733,0.943339204
IS20441.C1AB3ACXX.7.250137663,-3.121122541,-0.891131332,0.583137414
IS20448.C1AB3ACXX.7.250137664,-3.543157411,-0.444573735,1.511504781
IS20450.C1AB3ACXX.7.250137665,-3.52402662,-0.48708972,1.200052353
IS20452.C1AB3ACXX.7.250137666,-4.044461724,-0.10051373,1.633243546
IS20460.C1AB3ACXX.7.250137667,-3.476829468,-0.583236503,1.295003057
IS20463.C1AB3ACXX.7.250137668,-3.343727114,-0.311326571,1.224214373
IS20488.C1AB3ACXX.7.250137669,-3.545827906,-0.436887395,1.146049588
IS20490.C1AB3ACXX.7.250137670,-3.357831636,-0.641966525,0.826772295
IS20492.C1AB3ACXX.7.250137671,-3.705809187,-0.446317163,1.539552209
IS20497.C1AB3ACXX.7.250137672,-3.256627486,-0.628548536,0.743985411
IS20498.C1AB3ACXX.7.250137673,-3.603648433,-0.313151125,1.618596325
IS20905.C1AB3ACXX.7.250137674,-1.232555377,-1.620062582,-0.676205395
IS21015.C1AB3ACXX.7.250137675,3.464438607,-0.056625449,-0.14023185
IS21055.C1AB3ACXX.7.250137676,4.764370513,-0.691856745,0.661925947
IS21083.MRG.4.250047501,4.757082314,-2.356871421,0.412254649
IS21124.628NVAAXX.5.250006955,4.343162673,-1.721605419,0.989197411
IS21126.70MUKAAXX.2.250006025,4.343162673,-1.721605419,0.989197411
IS21139.C1AB3ACXX.7.250137677,6.223440421,-0.767617206,-2.017296271
IS21155.C1AB3ACXX.7.250137678,5.536302725,-1.347976715,0.410926759
IS21160.C1AB3ACXX.7.250137679,0.286726877,-1.057737775,0.759758578
IS21169.C1AB3ACXX.7.250137680,5.907005853,1.667378502,1.682283929
IS21186.C1AB3ACXX.7.250137681,1.412697911,-2.928106026,-0.038677123
IS21309.C1AB3ACXX.7.250137682,0.859895163,-0.514998451,0.943446407
IS21310.C1AB3ACXX.7.250137683,1.429430959,-0.118738865,0.694097705
IS21323.C1AB3ACXX.7.250137684,1.998349435,0.284775238,0.910754351
IS21328.C1AB3ACXX.7.250137685,0.046245119,-0.93541005,1.940955398
IS21343.C1AB3ACXX.7.250137686,6.640439046,1.692535676,0.709461939
IS21347.C1AB3ACXX.7.250137687,2.71799314,0.404503672,0.396748399
IS21401.70MUKAAXX.2.250006035,1.20420864,1.452428481,-1.064618983
IS21403.C1AB3ACXX.7.250137688,1.375676413,1.569218825,-0.95724135
IS21425.70MUKAAXX.2.250006057,2.877675159,0.017817853,-1.839515266
IS21464.C1AB3ACXX.7.250137689,-0.615942289,-0.34996746,0.178252561
IS21512.MRG.4.250047502,-0.69909748,-0.167858587,0.041139563
IS21521.C1AB3ACXX.7.250137690,2.292465369,0.403964057,-1.149741929
IS21522.C1AB3ACXX.7.250137691,1.077593764,0.091107889,-0.652348749
IS21535.C1AB3ACXX.7.250137692,0.05444269,-0.501157578,-1.417860628
IS21545.C1AB3ACXX.7.250137693,0.667472501,1.362457196,-0.408263405
IS21546.C1AB3ACXX.7.250137694,1.006452443,-1.100392735,-2.673664198
IS21557.C1AB3ACXX.7.250137695,1.424641894,-0.06029562,-1.485603985
IS2156.628P7AAXX.7.250007017,-2.471990918,0.236374951,0.216059731
IS21565.C1AB3ACXX.7.250137696,1.785451764,1.359876892,-0.304675968
IS21583.C1AB3ACXX.7.250137697,2.194599004,1.735907821,-0.972452793
IS21631.C1AB3ACXX.7.250137698,1.076169405,1.486058654,-0.513988465
IS21645.MRG.4.250047503,-0.295032877,-0.310425534,0.376817214
IS21863.MRG.4.250047504,0.073359994,5.195483093,0.95808932
IS21976.C1AB3ACXX.7.250137699,-0.980837461,-1.912423404,1.558873935
IS21982.C1AB3ACXX.7.250137701,-1.821285919,-0.652205983,1.740937241
IS21991.70MUKAAXX.2.250006093,-2.777077081,-0.216143212,-2.78725244
IS21996.C1AB3ACXX.7.250137702,-3.230449954,0.672036887,-1.504354586
IS21997.C1AB3ACXX.7.250137703,-3.227799063,0.00083352,-0.860586293
IS22001.C1AB3ACXX.7.250137704,-2.316745549,0.318447129,-1.369477295
