,barley_PC1,barley_PC2,barley_PC3
BRIDGE_HOR_11125,-0.739829383,0.14214445,-1.753881162
BRIDGE_HOR_12412,-0.739829383,0.14214445,-1.753881162
BTR_FT411,0.779378218,3.028389322,-3.350813996
BRIDGE_HOR_11503,-2.391103629,-1.413259098,-0.55242056
BRIDGE_HOR_11495,-2.391103629,-1.413259098,-0.55242056
BRIDGE_HOR_11496,-2.391103629,-1.413259098,-0.55242056
BRIDGE_HOR_11497,-2.391103629,-1.413259098,-0.55242056
BRIDGE_HOR_11498,-2.391103629,-1.413259098,-0.55242056
BRIDGE_HOR_13493,-2.984245432,-1.626853547,-0.730021882
BRIDGE_HOR_13490,-2.738538133,-1.900806225,-0.508361056
BRIDGE_HOR_11480,-2.62390818,-1.696703745,-0.660440163
BRIDGE_HOR_11481,-2.62390818,-1.696703745,-0.660440163
BRIDGE_HOR_11482,-2.62390818,-1.696703745,-0.660440163
BRIDGE_HOR_11483,-2.624567212,-1.834356206,-0.673430651
BRIDGE_HOR_11484,-2.624567212,-1.834356206,-0.673430651
BRIDGE_HOR_13462,-2.62390818,-1.696703745,-0.660440163
BRIDGE_HOR_12831,-2.60310673,-1.840961457,-0.778052277
BRIDGE_HOR_11501,-2.2410905,-1.664842139,-0.329805597
BRIDGE_HOR_11499,-2.449504015,-1.082006585,-0.798769072
BRIDGE_HOR_11488,-1.857446056,-2.35315377,-0.240140383
BRIDGE_HOR_11487,-1.88157364,-2.431608528,-0.185271173
BRIDGE_HOR_11491,-1.902287718,-2.051300685,-0.538528854
BRIDGE_HOR_11504,-1.902287718,-2.051300685,-0.538528854
BRIDGE_HOR_12711,-1.902287718,-2.051300685,-0.538528854
BRIDGE_HOR_12712,-1.902287718,-2.051300685,-0.538528854
BRIDGE_HOR_12795,-1.902287718,-2.051300685,-0.538528854
BRIDGE_HOR_13466,-1.902287718,-2.051300685,-0.538528854
BRIDGE_HOR_11490,-1.725125883,-1.599304414,-0.969866795
BRIDGE_HOR_11485,-1.787872747,-2.398214487,-0.226921156
BRIDGE_HOR_11486,-1.787872747,-2.398214487,-0.226921156
BRIDGE_HOR_11489,-1.725125883,-1.599304414,-0.969866795
BRIDGE_HOR_11502,-1.989462152,-0.969095746,-1.429293328
BRIDGE_HOR_12794,-1.989462152,-0.969095746,-1.429293328
BRIDGE_HOR_11492,-1.792959795,-1.860472256,-0.882262123
BRIDGE_HOR_11493,-1.95595432,-1.882251351,-0.960987418
BRIDGE_HOR_12793,-1.95595432,-1.882251351,-0.960987418
BRIDGE_HOR_11494,-2.302694486,-2.116907879,-0.896596063
BRIDGE_HOR_13494,-2.28715072,-1.87721511,-1.046367403
BRIDGE_HOR_94,1.016806944,5.155987452,-3.605376818
BRIDGE_HOR_10367,-2.083869093,1.28213751,-2.263802775
BRIDGE_HOR_3964,0.730016031,5.172417939,-3.711727688
BRIDGE_HOR_11123,0.745264988,0.802008224,-1.056926406
BRIDGE_HOR_11124,0.745264988,0.802008224,-1.056926406
BRIDGE_HOR_12411,0.745264988,0.802008224,-1.056926406
BRIDGE_HOR_12787,0.745264988,0.802008224,-1.056926406
BRIDGE_HOR_13495_A,-0.37527462,1.922510438,-2.951347219
BRIDGE_HOR_13496,-0.37527462,1.922510438,-2.951347219
BRIDGE_HOR_22167,-0.37527462,1.922510438,-2.951347219
BRIDGE_HOR_11006,2.136224088,3.01398282,-2.156787094
BRIDGE_HOR_11005,1.591248736,2.663580928,-1.893534279
BRIDGE_HOR_3968,0.827815921,3.86220848,-2.761160066
BRIDGE_HOR_10949,-1.812169189,-0.300378674,-1.794639021
BRIDGE_HOR_11003,-2.440419874,2.544953763,-3.38416593
BRIDGE_HOR_2348,1.233757707,5.590894648,-4.193927082
BRIDGE_HOR_2346,1.233757707,5.590894648,-4.193927082
BRIDGE_HOR_11004,-2.305041539,1.822495686,-2.937955409
BRIDGE_HOR_2404,0.247256844,3.945292496,-2.569520081
BRIDGE_HOR_947,0.247256844,3.945292496,-2.569520081
BRIDGE_HOR_11008,0.679741449,2.539181817,-1.348324918
BRIDGE_HOR_91,-0.783791117,3.794142198,-2.365038731
BRIDGE_HOR_814,-0.783791117,3.794142198,-2.365038731
BRIDGE_HOR_12420,-2.898147587,-2.010324933,-0.89916795
BRIDGE_HOR_10947,-1.879816377,1.756953626,-3.338579194
BRIDGE_HOR_10948,-0.923564199,0.263095117,-2.201873899
BRIDGE_HOR_11114,-0.781594917,-1.533843027,-1.314781307
BRIDGE_HOR_12721,-0.781594917,-1.533843027,-1.314781307
BRIDGE_HOR_11009,0.588826945,3.443168979,-1.856199182
BRIDGE_HOR_10682,-2.792376823,-1.89211834,-0.574418927
BRIDGE_HOR_10683,-2.792376823,-1.89211834,-0.574418927
BRIDGE_HOR_10946,-1.616581243,0.617769182,-2.693119647
BRIDGE_HOR_11113,-1.006405878,-1.686921437,-1.048134845
BRIDGE_HOR_11122,-1.006405878,-1.686921437,-1.048134845
BRIDGE_HOR_93,-0.18133509,3.654998407,-2.243247481
BRIDGE_HOR_10554,-2.59582137,-2.032948788,-0.437453568
BRIDGE_HOR_10556,-2.59582137,-2.032948788,-0.437453568
BRIDGE_HOR_10557,-2.59582137,-2.032948788,-0.437453568
BRIDGE_HOR_10560,-2.59582137,-2.032948788,-0.437453568
BRIDGE_HOR_10671,-2.59582137,-2.032948788,-0.437453568
BRIDGE_BCC_112,-1.423128298,-3.702868724,0.609265097
BRIDGE_HOR_3959,0.097721717,4.059499957,-2.334237217
BRIDGE_HOR_10943,-1.350187059,0.567285425,-2.521291531
BRIDGE_HOR_10944,-1.350187059,0.567285425,-2.521291531
BRIDGE_HOR_10555,-2.331956393,-2.011428352,-0.486875184
BRIDGE_HOR_10670,-2.331956393,-2.011428352,-0.486875184
BRIDGE_HOR_10772,-2.331956393,-2.011428352,-0.486875184
BRIDGE_HOR_3954,0.637103219,6.41260931,-4.303077957
BRIDGE_HOR_3777,0.277679466,4.186614688,-2.218199167
BRIDGE_HOR_3960,0.277679466,4.186614688,-2.218199167
BRIDGE_HOR_3949,0.277679466,4.186614688,-2.218199167
BRIDGE_HOR_3956,0.299620731,3.159379709,-1.787119389
BRIDGE_HOR_10937,-0.339857997,1.17223806,-2.450725923
BRIDGE_HOR_9857,-0.598537616,2.547078998,-2.289280001
BRIDGE_HOR_9858,-0.598537616,2.547078998,-2.289280001
BRIDGE_HOR_10939,-0.957278363,0.847326635,-2.572037885
BRIDGE_HOR_10940,-0.957278363,0.847326635,-2.572037885
BRIDGE_HOR_10941,-0.957278363,0.847326635,-2.572037885
BRIDGE_HOR_10942,-0.957278363,0.847326635,-2.572037885
BRIDGE_HOR_10992,-0.957278363,0.847326635,-2.572037885
BRIDGE_HOR_10945,-1.226243051,0.18046528,-2.141973439
BRIDGE_HOR_10950,-1.226243051,0.18046528,-2.141973439
BRIDGE_HOR_11107,-1.226243051,0.18046528,-2.141973439
BRIDGE_HOR_11108,-1.226243051,0.18046528,-2.141973439
BRIDGE_HOR_3950,0.093195067,4.667312248,-2.5623551
BRIDGE_HOR_3961,-0.412190853,3.657084032,-1.961610515
BRIDGE_HOR_9848,-0.855074302,3.248154443,-2.506955152
BRIDGE_HOR_9850,-0.855074302,3.248154443,-2.506955152
BRIDGE_HOR_9851,-0.855074302,3.248154443,-2.506955152
BRIDGE_HOR_10936,-0.354604112,1.30510852,-2.2560672
BRIDGE_HOR_11012,-0.354604112,1.30510852,-2.2560672
BRIDGE_BCC_1590,-0.354604112,1.30510852,-2.2560672
BRIDGE_HOR_10553,-1.924444131,-1.791048477,-0.624706286
BRIDGE_HOR_8702,-1.846764177,-1.616717721,-0.95224738
BRIDGE_HOR_3951,-0.034794513,4.223986536,-2.139353791
BRIDGE_HOR_3957,-0.080468636,5.096045904,-2.673541562
BRIDGE_HOR_3958,-0.080468636,5.096045904,-2.673541562
BRIDGE_HOR_9855,-0.430481854,2.357495954,-2.876742854
BRIDGE_HOR_9856,-0.430481854,2.357495954,-2.876742854
BRIDGE_HOR_10552,-1.919453814,-1.953270441,-0.443571498
BRIDGE_HOR_10638,-1.919453814,-1.953270441,-0.443571498
