,AT_PC1,AT_PC2,AT_PC3
1853,1.785039171,-1.159920913,2.524069967
1872,1.785039171,-1.159920913,2.524069967
1890,1.785039171,-1.159920913,2.524069967
1925,1.785039171,-1.159920913,2.524069967
1942,1.785039171,-1.159920913,2.524069967
1943,1.785039171,-1.159920913,2.524069967
1954,1.785039171,-1.159920913,2.524069967
2016,1.785039171,-1.159920913,2.524069967
2017,1.785039171,-1.159920913,2.524069967
2031,1.233951782,-1.045988852,3.047292279
2053,1.233951782,-1.045988852,3.047292279
2057,1.233951782,-1.045988852,3.047292279
2081,1.097217602,-0.899065381,1.437631376
2091,1.097217602,-0.899065381,1.437631376
2106,1.715727399,-0.881345363,2.388470986
2108,1.715727399,-0.881345363,2.388470986
2141,1.715727399,-0.881345363,2.388470986
2159,1.233951782,-1.045988852,3.047292279
2166,1.233951782,-1.045988852,3.047292279
2171,1.233951782,-1.045988852,3.047292279
2191,1.654595871,-1.256508178,2.184016564
2202,1.654595871,-1.256508178,2.184016564
2212,1.654595871,-1.256508178,2.184016564
2239,1.026600744,-1.035525933,2.269295446
2240,1.026600744,-1.035525933,2.269295446
2276,1.701067507,-1.225556076,2.264519922
2278,1.701067507,-1.225556076,2.264519922
2285,1.701067507,-1.225556076,2.264519922
2286,1.701067507,-1.225556076,2.264519922
2317,0.860454431,-1.106424525,2.359853388
2370,1.152184718,-1.219579722,2.949899601
2412,1.152184718,-1.219579722,2.949899601
4779,-5.00826602,-1.023429643,-1.154395913
4807,-5.00826602,-1.023429643,-1.154395913
4826,-5.00826602,-1.023429643,-1.154395913
4840,-5.00826602,-1.023429643,-1.154395913
4857,-4.972733922,-0.71629355,-1.293978464
4884,-4.972733922,-0.71629355,-1.293978464
4900,-4.942847612,-0.762879401,-1.350699294
4939,-5.193881118,-1.075838832,-1.021291126
4958,-5.056086441,-0.928293475,-0.929541931
5023,-1.863415306,0.252525786,-2.284311132
5104,-1.863415306,0.252525786,-2.284311132
5151,-1.682608536,-0.0010395,-2.479286194
5165,-1.804935065,0.421718472,-2.307846893
5210,-2.312383329,0.391718274,-2.142990428
5236,-1.804935065,0.421718472,-2.307846893
5249,-2.312383329,0.391718274,-2.142990428
5253,-2.318677465,0.466700704,-1.925311571
5276,-1.681996361,0.223087231,-2.454054592
5279,-1.681996361,0.223087231,-2.454054592
5349,-2.684077993,0.240281359,-1.830789666
5353,-8.261488174,-4.970688884,2.451600831
5395,-8.261488174,-4.970688884,2.451600831
5486,-7.310537729,-4.272788806,1.300779005
5577,-4.514409236,-1.558427562,-1.097458315
5644,-8.261488174,-4.970688884,2.451600831
5651,-8.261488174,-4.970688884,2.451600831
5717,-7.310537729,-4.272788806,1.300779005
5718,-5.954279617,-4.236591618,0.260961034
5720,-3.947172412,-1.787247209,-1.383003602
5726,-1.681996361,0.223087231,-2.454054592
5741,-8.186959096,-5.072170736,1.878294209
5748,-6.231263682,-2.570580068,0.269895115
5757,-6.685923486,-4.371015101,0.907735313
5768,-1.649704931,-0.150021308,-3.048752351
5772,-6.615424476,-3.95239352,1.005118797
5776,-1.500403119,0.15577132,-2.841211344
5779,-4.568581244,-1.231854626,-0.80813451
5784,-9.003545407,-4.614931434,2.406989757
5798,-4.161803225,-1.750661787,-1.160039511
5800,-12.15257596,-6.692889409,5.486031564
5811,-3.482648051,-1.041781969,-1.5866969
5822,-11.4173236,-6.067279038,4.132987131
5830,0.199554303,-0.869900305,-2.588531664
5831,0.199554303,-0.869900305,-2.588531664
5832,0.199554303,-0.869900305,-2.588531664
5836,-0.996894777,-1.588967034,-1.627711279
5837,1.454573012,-0.310823428,-0.584246282
5856,2.74951788,-2.298170952,-0.790573157
5860,1.135017873,-2.788357338,-1.236865525
5865,-0.69112451,-1.474807475,-1.98960835
5867,-0.69112451,-1.474807475,-1.98960835
5874,1.454573012,-0.310823428,-0.584246282
5890,1.454573012,-0.310823428,-0.584246282
5893,1.454573012,-0.310823428,-0.584246282
5907,1.454573012,-0.310823428,-0.584246282
5921,1.454573012,-0.310823428,-0.584246282
5950,1.454573012,-0.310823428,-0.584246282
5984,1.454573012,-0.310823428,-0.584246282
5993,1.454573012,-0.310823428,-0.584246282
6008,1.69916006,0.590008092,-0.347196757
6009,1.130859361,-2.600495632,-1.111635761
6010,1.130859361,-2.600495632,-1.111635761
6011,1.130859361,-2.600495632,-1.111635761
6012,1.130859361,-2.600495632,-1.111635761
6013,1.130859361,-2.600495632,-1.111635761
6016,1.046234165,-2.535165999,-1.322789605
6017,1.046234165,-2.535165999,-1.322789605
6019,0.576258241,-0.512539011,-1.935494089
6020,0.576258241,-0.512539011,-1.935494089
6021,0.576258241,-0.512539011,-1.935494089
6022,0.576258241,-0.512539011,-1.935494089
6023,-0.377099302,-1.180117198,-1.786390083
6024,-0.377099302,-1.180117198,-1.786390083
6025,1.584173612,-2.678532387,-1.379755514
6030,0.910523761,-2.507867832,-1.33456046
6034,-0.877108776,-1.517470543,-1.582368622
6035,-0.877108776,-1.517470543,-1.582368622
6036,-0.877108776,-1.517470543,-1.582368622
6038,-0.877108776,-1.517470543,-1.582368622
6039,-0.877108776,-1.517470543,-1.582368622
6040,-0.390893647,-1.288689392,-1.868596184
6041,0.418724085,-0.523973322,-2.358274489
6042,-0.351322916,-1.333786823,-1.734581369
6043,1.135017873,-2.788357338,-1.236865525
6046,1.135017873,-2.788357338,-1.236865525
6064,1.130859361,-2.600495632,-1.111635761
6069,1.130859361,-2.600495632,-1.111635761
6070,1.046234165,-2.535165999,-1.322789605
6071,1.046234165,-2.535165999,-1.322789605
6073,0.609239579,-0.375026297,-2.939061748
6074,0.560395415,-0.806035398,-2.527516872
6076,-0.377099302,-1.180117198,-1.786390083
6077,-0.377099302,-1.180117198,-1.786390083
6085,-0.079319424,-0.862683961,-2.030104443
6086,-0.520703611,-2.081521332,-1.331524209
6087,0.560395415,-0.806035398,-2.527516872
6088,0.560395415,-0.806035398,-2.527516872
6090,-0.008697024,-0.85162627,-2.195399019
6091,-0.008697024,-0.85162627,-2.195399019
6092,-0.008697024,-0.85162627,-2.195399019
6094,-0.008697024,-0.85162627,-2.195399019
6095,-0.008697024,-0.85162627,-2.195399019
6096,-0.008697024,-0.85162627,-2.195399019
6097,-0.008697024,-0.85162627,-2.195399019
6098,-0.008697024,-0.85162627,-2.195399019
6099,-0.008697024,-0.85162627,-2.195399019
6100,-0.008697024,-0.85162627,-2.195399019
6101,-0.008697024,-0.85162627,-2.195399019
6102,-0.008697024,-0.85162627,-2.195399019
6104,-0.079319424,-0.862683961,-2.030104443
6105,0.199607796,-0.597874483,-2.267770384
6106,0.199607796,-0.597874483,-2.267770384
6107,0.199607796,-0.597874483,-2.267770384
6108,0.199607796,-0.597874483,-2.267770384
6109,0.199607796,-0.597874483,-2.267770384
6111,0.199607796,-0.597874483,-2.267770384
6112,0.199607796,-0.597874483,-2.267770384
6113,0.199607796,-0.597874483,-2.267770384
6114,0.199607796,-0.597874483,-2.267770384
6115,0.199607796,-0.597874483,-2.267770384
6118,-0.079319424,-0.862683961,-2.030104443
6119,-0.079319424,-0.862683961,-2.030104443
