,rice_ph,rice_cec
IRIS_313-10648,53,215
IRIS_313-10898,NA,NA
IRIS_313-10899,55,215
IRIS_313-10900,55,215
IRIS_313-10901,55,215
IRIS_313-10902,NA,NA
IRIS_313-10903,58,169
IRIS_313-10904,NA,NA
IRIS_313-10905,NA,NA
IRIS_313-10906,NA,NA
IRIS_313-10907,NA,NA
IRIS_313-10908,55,215
IRIS_313-10909,NA,NA
IRIS_313-10910,58,169
IRIS_313-10911,NA,NA
IRIS_313-10912,NA,NA
IRIS_313-10913,58,169
IRIS_313-10915,NA,NA
IRIS_313-10916,NA,NA
IRIS_313-11084,NA,NA
IRIS_313-11087,NA,NA
IRIS_313-11088,56,206
IRIS_313-11089,53,215
IRIS_313-11935,53,215
IRIS_313-11936,53,215
IRIS_313-11997,56,195
IRIS_313-11998,56,248
IRIS_313-11999,60,168
IRIS_313-12000,57,193
IRIS_313-12036,58,196
IRIS_313-12037,53,187
IRIS_313-12038,51,225
IRIS_313-12039,58,160
IRIS_313-12040,53,177
IRIS_313-12041,51,225
IRIS_313-12042,55,185
IRIS_313-12043,55,184
IRIS_313-12044,51,249
IRIS_313-12058,58,204
IRIS_313-12096,56,219
IRIS_313-12097,NA,NA
IRIS_313-12101,NA,NA
IRIS_313-12102,56,248
IRIS_313-12109,56,149
IRIS_313-12142,56,212
IRIS_313-12143,58,176
IRIS_313-12146,54,210
IRIS_313-12147,56,164
IRIS_313-12148,51,185
IRIS_313-12151,58,201
IRIS_313-12152,56,217
IRIS_313-12161,56,179
IRIS_313-12164,57,205
IRIS_313-12246,59,169
IRIS_313-12247,59,185
IRIS_313-12249,59,199
IRIS_313-12251,58,169
IRIS_313-9249,NA,NA
IRGC_117269,80,189
IRGC_117271,80,189
IRGC_117277,80,189
IRGC_117280,80,189
IRGC_1427,80,189
IRGC_4541,80,189
IRGC_4860,80,189
IRGC_4887,80,189
IRGC_51400,80,189
IRGC_53437,80,189
IRGC_59673,80,189
IRGC_59849,80,189
IRGC_59930,80,189
IRGC_59932,80,189
IRGC_63544,56,194
IRGC_63726,56,194
IRGC_67034,53,189
IRGC_67096,53,189
IRGC_68159,57,243
IRGC_752,80,189
IRGC_8195,80,189
