"species","gene","pvalue"
"arabidopsis","AT5G63840",3.250466e-07
"arabidopsis","AT5G63850",3.250466e-07
"arabidopsis","AT5G63860",3.250466e-07
"arabidopsis","AT5G63870",3.250466e-07
"arabidopsis","AT5G63880",3.250466e-07
"arabidopsis","AT5G63890",3.250466e-07
"arabidopsis","AT5G63900",3.250466e-07
"arabidopsis","AT5G63905",3.250466e-07
"arabidopsis","AT5G63910",3.250466e-07
"arabidopsis","AT5G63920",3.250466e-07
"arabidopsis","AT5G16210",4.219052e-07
"arabidopsis","AT5G16220",4.219052e-07
"arabidopsis","AT5G16230",4.219052e-07
"arabidopsis","AT5G16235",4.219052e-07
"arabidopsis","AT5G16240",4.219052e-07
"arabidopsis","AT5G16250",4.219052e-07
"arabidopsis","AT5G16260",4.219052e-07
"arabidopsis","AT2G15460",4.289621e-07
"arabidopsis","AT2G15470",4.289621e-07
"arabidopsis","AT2G15480",4.289621e-07
"arabidopsis","AT2G15490",4.289621e-07
"arabidopsis","AT2G15500",4.289621e-07
"arabidopsis","AT2G15530",4.289621e-07
"arabidopsis","AT2G15535",4.289621e-07
"arabidopsis","AT2G15555",4.289621e-07
"arabidopsis","AT2G15560",4.289621e-07
"arabidopsis","AT2G15570",4.289621e-07
"arabidopsis","AT2G15580",4.289621e-07
"arabidopsis","AT2G15590",4.289621e-07
"arabidopsis","AT2G13960",4.634504e-07
"arabidopsis","AT2G13980",4.634504e-07
"arabidopsis","AT2G14000",4.634504e-07
"arabidopsis","AT2G14045",4.634504e-07
"arabidopsis","AT2G14050",4.634504e-07
"arabidopsis","AT2G20280",5.191215e-07
"arabidopsis","AT2G20290",5.191215e-07
"arabidopsis","AT2G20300",5.191215e-07
"arabidopsis","AT2G20310",5.191215e-07
"arabidopsis","AT2G20320",5.191215e-07
"arabidopsis","AT2G20330",5.191215e-07
"arabidopsis","AT2G20340",5.191215e-07
"arabidopsis","AT2G20350",5.191215e-07
"arabidopsis","AT2G20360",5.191215e-07
"arabidopsis","AT2G20362",5.191215e-07
"arabidopsis","AT2G20370",5.191215e-07
"arabidopsis","AT4G09320",5.313877e-07
"arabidopsis","AT4G09340",5.313877e-07
"arabidopsis","AT4G09350",5.313877e-07
"arabidopsis","AT4G09360",5.313877e-07
"arabidopsis","AT4G09420",5.313877e-07
"arabidopsis","AT5G59730",5.51219e-07
"arabidopsis","AT5G59732",5.51219e-07
"arabidopsis","AT5G59740",5.51219e-07
"arabidopsis","AT5G59750",5.51219e-07
"arabidopsis","AT5G59760",5.51219e-07
"arabidopsis","AT5G59770",5.51219e-07
"arabidopsis","AT5G59780",5.51219e-07
"arabidopsis","AT5G59790",5.51219e-07
"arabidopsis","AT5G59800",5.51219e-07
"arabidopsis","AT5G59810",5.51219e-07
"arabidopsis","AT5G59820",5.51219e-07
"arabidopsis","AT5G59830",5.51219e-07
"arabidopsis","AT5G59840",5.51219e-07
"arabidopsis","AT5G59845",5.51219e-07
"arabidopsis","AT5G59850",5.51219e-07
"arabidopsis","AT5G59860",5.51219e-07
"arabidopsis","AT5G07740",6.888556e-07
"arabidopsis","AT5G07760",6.888556e-07
"arabidopsis","AT5G07770",6.888556e-07
"arabidopsis","AT5G07780",6.888556e-07
"arabidopsis","AT5G07790",6.888556e-07
"arabidopsis","AT5G07800",6.888556e-07
"arabidopsis","AT5G07810",6.888556e-07
"arabidopsis","AT5G07820",6.888556e-07
"arabidopsis","AT5G07830",6.888556e-07
"arabidopsis","AT5G07840",6.888556e-07
