"Lines","Long","Lat","crop","ph_value"
"SEEDGWAS10:MRG:4:250054453",-96.87067,19.938631,"maize",61
"SEEDGWAS1000:MRG:4:250067677",-99.634229,21.83299,"maize",72
"SEEDGWAS1001:MRG:4:250067678",-99.653771,22.023366,"maize",76
"SEEDGWAS1003:MRG:4:250067679",-89.732539,20.485433,"maize",73
"SEEDGWAS1004:MRG:4:250067680",-97.382255,20.969048,"maize",NA
"SEEDGWAS1006:MRG:4:250067682",-57.309104,-23.267981,"maize",57
"SEEDGWAS1007:MRG:4:250067684",-62.46666667,8.433333333,"maize",60
"SEEDGWAS1008:MRG:4:250067716",-74.91666667,3.85,"maize",53
"SEEDGWAS1009:MRG:4:250067717",-88.05,19.58333333,"maize",71
"SEEDGWAS101:MRG:4:250054517",-97.382222,20.43027778,"maize",65
"SEEDGWAS1011:MRG:4:250067718",-92.564373,16.332904,"maize",NA
"SEEDGWAS1012:MRG:4:250067719",-92.564373,16.332904,"maize",NA
"SEEDGWAS1014:MRG:4:250067720",-98.38333333,21.51666667,"maize",74
"SEEDGWAS1015:MRG:4:250067721",-99.537659,17.167363,"maize",59
"SEEDGWAS1019:MRG:4:250067723",-98.746577,21.296297,"maize",66
"SEEDGWAS1020:MRG:4:250067724",-92.81666667,16.56666667,"maize",65
"SEEDGWAS1022:MRG:4:250067725",-93,16.71666667,"maize",65
"SEEDGWAS1023:MRG:4:250067726",-93.26666667,16.25,"maize",62
"SEEDGWAS1024:MRG:4:250067727",-93.26666667,16.2,"maize",65
"SEEDGWAS1025:MRG:4:250067728",-92.81666667,16.56666667,"maize",65
"SEEDGWAS1026:MRG:4:250067729",-62.7,-35.96666667,"maize",69
"SEEDGWAS1027:MRG:4:250067730",-59.85,-27.01666667,"maize",63
"SEEDGWAS1029:MRG:4:250067732",-93.71666667,16.7,"maize",67
"SEEDGWAS1030:MRG:4:250067733",-97.63333333,21.06666667,"maize",73
"SEEDGWAS1031:MRG:4:250067734",-93.71666667,16.7,"maize",67
"SEEDGWAS1032:MRG:4:250067735",-88.05,19.58333333,"maize",71
"SEEDGWAS1033:MRG:4:250067736",-101.728267,18.317643,"maize",68
"SEEDGWAS1034:MRG:4:250067737",-96.96666667,19.38333333,"maize",54
"SEEDGWAS1035:MRG:4:250067738",-98.43333333,22.81666667,"maize",78
"SEEDGWAS1036:MRG:4:250067739",-93.21666667,17.1,"maize",56
"SEEDGWAS1037:MRG:4:250067740",-101.799996,17.971798,"maize",66
"SEEDGWAS1039:MRG:4:250067741",-54.13,-26.63,"maize",49
"SEEDGWAS104:MRG:4:250054519",-89.82814,19.744273,"maize",71
"SEEDGWAS1040:MRG:4:250067742",-58.240208,-26.142484,"maize",59
"SEEDGWAS1041:MRG:4:250067743",-58.75,-25.3,"maize",62
"SEEDGWAS1042:MRG:4:250067744",-61.333411,-24.164012,"maize",63
"SEEDGWAS1043:MRG:4:250067745",-92.08,16.9,"maize",NA
"SEEDGWAS1044:MRG:4:250067746",-92.08,16.9,"maize",NA
"SEEDGWAS1045:MRG:4:250067747",-98.277964,21.038899,"maize",55
"SEEDGWAS1048:MRG:4:250067748",-98.222282,21.10534,"maize",70
"SEEDGWAS1049:MRG:4:250067749",-98.222282,21.10534,"maize",70
"SEEDGWAS105:MRG:4:250054520",-90.102679,20.601679,"maize",77
"SEEDGWAS1050:MRG:4:250067750",-98.296549,21.029685,"maize",61
"SEEDGWAS1051:MRG:4:250067752",-98.296549,21.029685,"maize",61
"SEEDGWAS106:MRG:4:250054521",-88.760766,15.827325,"maize",57
"SEEDGWAS107:MRG:4:250054522",-90.193023,16.681491,"maize",60
"SEEDGWAS1085:MRG:4:250067782",-102.8,20.55,"maize",63
"SEEDGWAS1087:MRG:4:250067785",-100.21527,22.031961,"maize",73
"SEEDGWAS1088:MRG:4:250067786",-99.816363,22.05427,"maize",78
"SEEDGWAS1091:MRG:4:250067789",-100.9672228,25.552339,"maize",83
"SEEDGWAS1095:MRG:4:250067792",-99.45,18.75,"maize",68
"SEEDGWAS1096:MRG:4:250067793",-99.3,18.68,"maize",72
"SEEDGWAS1097:MRG:4:250067794",-105.2977778,27.15888889,"maize",77
"SEEDGWAS1099:MRG:4:250067796",-49,-15,"maize",53
"SEEDGWAS1100:MRG:4:250067797",-83.99449,9.954306,"maize",53
"SEEDGWAS1101:MRG:4:250067798",-83.665901,9.358024,"maize",53
"SEEDGWAS1102:MRG:4:250067799",-82.907759,8.820336,"maize",52
"SEEDGWAS1103:MRG:4:250067800",-83.402533,9.21809,"maize",52
"SEEDGWAS1104:MRG:4:250067802",-82.776594,8.884242,"maize",54
"SEEDGWAS1105:MRG:4:250067803",-87.105301,14.100414,"maize",64
"SEEDGWAS1106:MRG:4:250067804",-90.859965,15.344145,"maize",58
"SEEDGWAS1107:MRG:4:250067805",-97.28339,16.233634,"maize",54
"SEEDGWAS1108:MRG:4:250067806",-97.096379,16.35071,"maize",64
"SEEDGWAS1109:MRG:4:250067807",-97.28339,16.233634,"maize",54
"SEEDGWAS1110:MRG:4:250067808",-104.088629,21.696608,"maize",58
"SEEDGWAS1111:MRG:4:250067809",-91.4,14.616667,"maize",54
"SEEDGWAS1114:MRG:4:250067811",-71.058506,9.157008,"maize",60
"SEEDGWAS1115:MRG:4:250070129",-72.008076,7.917181,"maize",55
"SEEDGWAS1118:MRG:4:250070132",-92.138837,14.663195,"maize",NA
"SEEDGWAS112:MRG:4:250054525",-111.113435,30.544226,"maize",79
"SEEDGWAS1120:MRG:4:250070133",-102.7166667,19.96666667,"maize",64
"SEEDGWAS1121:MRG:4:250070134",-97.03333333,19.08333333,"maize",55
"SEEDGWAS1122:MRG:4:250070135",-96.282141,18.390306,"maize",60
"SEEDGWAS1124:MRG:4:250070137",-62.994159,-17.82886,"maize",62
"SEEDGWAS1125:MRG:4:250070138",-62.994159,-17.82886,"maize",62
"SEEDGWAS1126:MRG:4:250070139",-99,19.01666667,"maize",62
"SEEDGWAS1128:MRG:4:250070140",-92.1,15.7,"maize",67
"SEEDGWAS113:MRG:4:250054526",-90.61666667,19.78333333,"maize",NA
"SEEDGWAS1130:MRG:4:250070141",-93.76666667,16.08333333,"maize",62
"SEEDGWAS1131:MRG:4:250070142",-93.38333333,16.76666667,"maize",68
"SEEDGWAS1133:MRG:4:250070143",-104.5333333,25.2,"maize",81
"SEEDGWAS1134:MRG:4:250070144",-92.251361,15.37229,"maize",62
"SEEDGWAS1135:MRG:4:250070145",-97.020133,19.017868,"maize",55
"SEEDGWAS1136:MRG:4:250070147",-103.15,18.78333,"maize",59
"SEEDGWAS1138:MRG:4:250070149",-38.18333333,-10.7,"maize",66
"SEEDGWAS114:MRG:4:250054527",-91.642471,18.04166,"maize",61
"SEEDGWAS1140:MRG:4:250070150",-97.03333333,19.08333333,"maize",55
"SEEDGWAS1141:MRG:4:250070151",-98.98333333,18.76666667,"maize",NA
"SEEDGWAS1142:MRG:4:250070152",-98.98333333,18.76666667,"maize",NA
"SEEDGWAS1143:MRG:4:250070153",-92.1,15.7,"maize",67
"SEEDGWAS1144:MRG:4:250070154",-99.385656,17.576119,"maize",72
"SEEDGWAS1145:MRG:4:250070155",-97.1,19.11666667,"maize",56
"SEEDGWAS1146:MRG:4:250070156",-92.359949,16.352808,"maize",NA
"SEEDGWAS1147:MRG:4:250070157",-92.711648,16.602202,"maize",64
"SEEDGWAS1148:MRG:4:250070158",-92.68035,16.538454,"maize",65
"SEEDGWAS115:MRG:4:250054528",-90.233333,19.766667,"maize",73
"SEEDGWAS1150:MRG:4:250070159",-92.68035,16.538454,"maize",65
"SEEDGWAS1151:MRG:4:250070160",-92.711648,16.602202,"maize",64
"SEEDGWAS1152:MRG:4:250070161",-92.711648,16.602202,"maize",64
"SEEDGWAS1156:MRG:4:250070164",-92.73333333,15.86666667,"maize",61
"SEEDGWAS1157:MRG:4:250070165",-93.26666667,16.8,"maize",68
"SEEDGWAS116:MRG:4:250054529",-91.759457,18.658723,"maize",74
"SEEDGWAS1161:MRG:4:250070169",-97.1,18.83,"maize",NA
"SEEDGWAS1166:MRG:4:250070172",-101.303874,17.678521,"maize",61
"SEEDGWAS1167:MRG:4:250070173",-98.03333333,16.33333333,"maize",NA
"SEEDGWAS1168:MRG:4:250070174",-97.816661,16.95513,"maize",50
"SEEDGWAS1169:MRG:4:250070175",-96.46666667,15.75,"maize",62
"SEEDGWAS117:MRG:4:250054530",-90.740704,18.572773,"maize",73
"SEEDGWAS1170:MRG:4:250070176",-103.666667,18.75,"maize",70
"SEEDGWAS1171:MRG:4:250070177",-102.833333,19.183333,"maize",NA
"SEEDGWAS1172:MRG:4:250070178",-102.363626,18.808584,"maize",66
"SEEDGWAS1173:MRG:4:250070179",-102.373599,19.08164,"maize",73
"SEEDGWAS1174:MRG:4:250070180",-102.373599,19.08164,"maize",73
"SEEDGWAS1175:MRG:4:250070181",-102.373599,19.08164,"maize",73
"SEEDGWAS1176:MRG:4:250070182",-99.365802,16.801211,"maize",59
