"Lines","Long","Lat","crop","ph_value"
"IS14446.70MUKAAXX.2.250006019",35.22000122,14.03999996,"sorghum",71
"IS14567.MRG.4.250047680",35.43000031,13.82999992,"sorghum",NA
"IS21519.628NVAAXX.5.250006979",33.63000107,-11.71000004,"sorghum",60
"IS25522.MRG.4.250047691",29.39999962,-3.339999914,"sorghum",65
"IS25523.MRG.4.250047692",29.39999962,-3.339999914,"sorghum",65
"IS25524.MRG.4.250047693",29.34000015,-3.49000001,"sorghum",NA
"IS30898.B064FABXX.1.250009989",33.75,1.860000014,"sorghum",62
"IS31123.B064FABXX.1.250010001",30.92000008,3.160000086,"sorghum",60
"IS9168.70MUKAAXX.2.250006009",34.7451266,-0.6054147,"sorghum",55
"IS10068.C1AB3ACXX.7.250137465",-4.76666,10.6333,"sorghum",62
"IS10189.C1AB3ACXX.7.250137466",-4.300000191,11.19999981,"sorghum",NA
"IS10191.C1AB3ACXX.7.250138387",-0.100000001,12.01000023,"sorghum",64
"IS1033.C1AB3ACXX.7.250137245",72.83000183,21.17000008,"sorghum",NA
"IS1036.C1AB3ACXX.7.250137246",72.87000275,18.64999962,"sorghum",66
"IS1052.C1AB3ACXX.7.250137247",80.44999695,16.29999924,"sorghum",NA
"IS10876.628P7AAXX.7.250007049",8.380000114,9.75,"sorghum",57
"IS10882.628P7AAXX.7.250007073",8.380000114,9.75,"sorghum",57
"IS1106.C1AB3ACXX.7.250137248",77.58000183,12.97000027,"sorghum",NA
"IS1107.C1AB3ACXX.7.250137249",75.54000092,22.42000008,"sorghum",75
"IS11119.628NVAAXX.5.250006899",38.22999954,9.5,"sorghum",62
"IS1127.70MUKAAXX.1.250006394",87.80000305,26.01000023,"sorghum",65
"IS11374.70MUKAAXX.2.250006018",36.52999878,9.079999924,"sorghum",55
"IS11424.C1AB3ACXX.7.250138388",38.08000183,4.880000114,"sorghum",64
"IS11431.C1AB3ACXX.7.250138389",35.56000137,6.179999828,"sorghum",54
"IS11473.D0D0HACXX.5.250046338",36.65000153,15.10000038,"sorghum",79
"IS1151.C1AB3ACXX.7.250137250",77.02999878,18.29000092,"sorghum",74
"IS11619.D0D0HACXX.5.250046339",38.70000076,9.029999733,"sorghum",65
"IS11758.B064FABXX.1.250009960",42.00999832,9.399999619,"sorghum",NA
"IS1182.C1AB3ACXX.7.250137251",85.25,25.57999992,"sorghum",NA
"IS1186.C1AB3ACXX.7.250137252",79.12999725,12.93000031,"sorghum",71
"IS1187.C1AB3ACXX.7.250137253",81.11000061,16.70999908,"sorghum",NA
"IS11919.D0D0HACXX.5.250046340",39.04999924,15.06999969,"sorghum",75
"IS11954.MRG.4.250047668",38.91999817,15.31999969,"sorghum",75
"IS11960.D0D0HACXX.5.250046081",38.91999817,15.31999969,"sorghum",75
"IS12031.C1AB3ACXX.7.250138390",40.71667,7.15,"sorghum",72
"IS12106.C1AB3ACXX.7.250138391",45.15999985,7.480000019,"sorghum",80
"IS12110.70MUKAAXX.2.250006030",36.68999863,9.210000038,"sorghum",58
"IS12169.628NVAAXX.5.250006923",39.02999878,12.02999973,"sorghum",69
"IS1236.C1AB3ACXX.7.250137254",78.41000366,10.60000038,"sorghum",74
"IS1240.C1AB3ACXX.7.250137255",77.11000061,12.14999962,"sorghum",NA
"IS1243.C1AB3ACXX.7.250137256",77.86000061,9.170000076,"sorghum",73
"IS1246.C1AB3ACXX.7.250137257",78.11000061,9.800000191,"sorghum",74
"IS12531.628NVAAXX.5.250006971",42.11000061,9.31000042,"sorghum",NA
"IS1257.C1AB3ACXX.7.250137258",78.34999847,9.319999695,"sorghum",74
