"Lines","Long","Lat","crop","n_value","log_n"
"PI511039",42.96666667,15.65,"pearl_millet",59,1.77085201164214
"PI511044",43.3,16.01666667,"pearl_millet",159,2.20139712432045
"PI511038",43.7,16.05,"pearl_millet",205,2.31175386105575
"PI511041",43.63333333,16.21666667,"pearl_millet",140,2.14612803567824
"PI511052",44.08333333,16.26666667,"pearl_millet",131,2.11727129565576
"PI511042",43.51666667,16.28333333,"pearl_millet",128,2.10720996964787
"PI511043",43.51666667,16.28333333,"pearl_millet",128,2.10720996964787
"PI511040",43.71666667,16.3,"pearl_millet",69,1.83884909073726
"PLS302",-16.3833333,13.61,"pearl_millet",105,2.02118929906994
"PLS27",-16.03855,13.6101833,"pearl_millet",82,1.91381385238372
"PLS29",-15.6044528,13.6163667,"pearl_millet",102,2.00860017176192
"PLS30",-15.6427194,13.6271222,"pearl_millet",111,2.04532297878666
"PLS308",-15.6333333,13.65,"pearl_millet",94,1.9731278535997
"PLS310",-15.5833333,13.65,"pearl_millet",145,2.16136800223497
"PLS304",-16.1166667,13.6833333,"pearl_millet",69,1.83884909073726
"PLS32",-15.8300556,13.6906139,"pearl_millet",75,1.8750612633917
"PLS307",-15.8333333,13.7,"pearl_millet",74,1.86923171973098
"PLS31",-15.4333333,13.7166667,"pearl_millet",120,2.07918124604762
"PLS305",-16,13.7333333,"pearl_millet",131,2.11727129565576
"PLS38",-15.9983472,13.767475,"pearl_millet",117,2.06818586174616
"PLS309",-15.5870111,13.7712611,"pearl_millet",54,1.73239375982297
"PLS312",-15.75,13.7833333,"pearl_millet",88,1.94448267215017
"PLS40",-16.3272472,13.8009361,"pearl_millet",82,1.91381385238372
"PLS320",-15.4020417,13.8100139,"pearl_millet",65,1.81291335664286
"PLS12",-15.4367417,13.8195611,"pearl_millet",64,1.80617997398389
"PLS39",-16.266913,13.8246013,"pearl_millet",92,1.96378782734556
"PLS18",-15.1375889,13.8250611,"pearl_millet",62,1.79239168949825
"PLS19",-15.1830944,13.8275306,"pearl_millet",74,1.86923171973098
"PLS319",-15.4053444,13.8279611,"pearl_millet",62,1.79239168949825
"PLS25",-15.4333333,13.8333333,"pearl_millet",63,1.79934054945358
"PLS26",-15.4166667,13.8333333,"pearl_millet",60,1.77815125038364
"PLS313",-15.6333333,13.8666667,"pearl_millet",62,1.79239168949825
"PLS24",-15.6676472,13.9137639,"pearl_millet",80,1.90308998699194
"PLS33",-16.1872222,13.93205,"pearl_millet",126,2.10037054511756
"PLS35",-15.9456917,13.9391,"pearl_millet",80,1.90308998699194
"PLS36",-15.9501944,13.9629556,"pearl_millet",94,1.9731278535997
"PLS325",-14.9407421,13.9749165,"pearl_millet",70,1.84509804001426
"PLS20",-14.8,13.9833333,"pearl_millet",92,1.96378782734556
"PLS326",-14.7666667,14,"pearl_millet",83,1.91907809237607
"PLS322",-15.3,14.0166667,"pearl_millet",57,1.75587485567249
"PLS37",-16.0333333,14.0166667,"pearl_millet",113,2.05307844348342
"PLS318",-15.4781766,14.0187757,"pearl_millet",99,1.99563519459755
"PLS317",-15.4781766,14.0187758,"pearl_millet",99,1.99563519459755
"PLS23",-15.6454861,14.0354139,"pearl_millet",77,1.88649072517248
"PLS54",-16.3180106,14.0391658,"pearl_millet",94,1.9731278535997
"PLS22",-15.161725,14.04475,"pearl_millet",55,1.74036268949424
"PLS303",-16.0493222,14.0572194,"pearl_millet",89,1.94939000664491
"PLS314",-15.9332694,14.0692806,"pearl_millet",88,1.94448267215017
"PLS301",-16.1333333,14.0833333,"pearl_millet",74,1.86923171973098
"PLS44",-16.0683861,14.0858917,"pearl_millet",93,1.96848294855394
"PLS43",-16.1672278,14.0889639,"pearl_millet",88,1.94448267215017
"PLS42",-15.6166667,14.1,"pearl_millet",91,1.95904139232109
"PLS316",-15.7362926,14.1180348,"pearl_millet",88,1.94448267215017
"PLS10",-15.8833333,14.1333333,"pearl_millet",74,1.86923171973098
"PLS11",-15.75,14.1333333,"pearl_millet",87,1.93951925261862
"PLS315",-15.55,14.1333333,"pearl_millet",87,1.93951925261862
"PLS321",-14.9898724,14.145301,"pearl_millet",64,1.80617997398389
