"Lines","Long","Lat","crop","aridity_index_raw","aridity_index"
"BRIDGE_BCC_49",5.783333333,35.8,"barley",2818,0.2818
"BRIDGE_HOR_13519",5.879444444,44.73194444,"barley",11578,1.1578
"BRIDGE_HOR_13520",5.934444444,44.80722222,"barley",8908,0.8908
"BRIDGE_HOR_13518",5.935277778,44.67944444,"barley",11328,1.1328
"BRIDGE_BCC_46",6,35.63333333,"barley",2220,0.222
"BRIDGE_HOR_13521",6.5475,44.60611111,"barley",7471,0.7471
"BRIDGE_BCC_33",6.583333333,36.21666667,"barley",3144,0.3144
"BRIDGE_HOR_13522",6.591666667,44.71472222,"barley",8121,0.8121
"BRIDGE_HOR_13517",6.728888889,43.84583333,"barley",7748,0.7748
"BRIDGE_HOR_11116",7.193611111,45.14333333,"barley",7363,0.7363
"BRIDGE_HOR_11117",7.193611111,45.14333333,"barley",7363,0.7363
"BRIDGE_HOR_11118",7.193611111,45.14333333,"barley",7363,0.7363
"BRIDGE_HOR_11119",7.55,44.78305556,"barley",6370,0.637
"BRIDGE_HOR_11125",7.55,44.78305556,"barley",6370,0.637
"BRIDGE_HOR_12412",7.55,44.78305556,"barley",6370,0.637
"BTR_FT411",7.851111111,46.31361111,"barley",9439,0.9439
"BRIDGE_HOR_11503",8.205,40.7625,"barley",5208,0.5208
"BRIDGE_HOR_11495",8.25,40.72972222,"barley",5350,0.535
"BRIDGE_HOR_11496",8.25,40.725,"barley",5558,0.5558
"BRIDGE_HOR_11497",8.25,40.78972222,"barley",4820,0.482
"BRIDGE_HOR_11498",8.25,40.795,"barley",4735,0.4735
"BRIDGE_HOR_13493",8.305555556,39.145,"barley",4079,0.4079
"BRIDGE_HOR_13490",8.383333333,39.1,"barley",4008,0.4008
"BRIDGE_HOR_11480",8.439722222,40.02194444,"barley",3972,0.3972
"BRIDGE_HOR_11481",8.439722222,40.01666667,"barley",3976,0.3976
"BRIDGE_HOR_11482",8.439722222,40.04694444,"barley",4355,0.4355
"BRIDGE_HOR_11483",8.439722222,39.95555556,"barley",4003,0.4003
"BRIDGE_HOR_11484",8.439722222,39.96666667,"barley",3967,0.3967
"BRIDGE_HOR_13462",8.439722222,40.02194444,"barley",3972,0.3972
"BRIDGE_HOR_12831",8.4575,39.66972222,"barley",3646,0.3646
"BRIDGE_HOR_11501",8.464166667,40.73388889,"barley",4238,0.4238
"BRIDGE_HOR_11499",8.566388889,40.18305556,"barley",6117,0.6117
"BRIDGE_HOR_11488",9.0775,39.39166667,"barley",3111,0.3111
"BRIDGE_HOR_11487",9.090555556,39.30027778,"barley",2880,0.288
"BRIDGE_HOR_11491",9.1325,39.53333333,"barley",3247,0.3247
"BRIDGE_HOR_11504",9.1325,39.53333333,"barley",3247,0.3247
"BRIDGE_HOR_12711",9.1325,39.53333333,"barley",3247,0.3247
"BRIDGE_HOR_12712",9.1325,39.53333333,"barley",3247,0.3247
"BRIDGE_HOR_12795",9.1325,39.53333333,"barley",3247,0.3247
"BRIDGE_HOR_13466",9.1325,39.53333333,"barley",3247,0.3247
"BRIDGE_HOR_11490",9.169722222,39.47888889,"barley",3464,0.3464
"BRIDGE_HOR_11485",9.183611111,39.25,"barley",2597,0.2597
"BRIDGE_HOR_11486",9.183611111,39.26666667,"barley",2634,0.2634
"BRIDGE_HOR_11489",9.305833333,39.49805556,"barley",3527,0.3527
"BRIDGE_HOR_11502",9.349166667,40.50138889,"barley",5697,0.5697
