,maize_cec
SEEDGWAS1294:MRG:4:250070318,317
SEEDGWAS1295:MRG:4:250070319,230
SEEDGWAS13:MRG:4:250054455,196
SEEDGWAS130:MRG:4:250056098,315
SEEDGWAS1302:MRG:4:250070326,184
SEEDGWAS1303:MRG:4:250070327,216
SEEDGWAS1304:MRG:4:250070328,231
SEEDGWAS1305:MRG:4:250070329,98
SEEDGWAS1306:MRG:4:250070330,184
SEEDGWAS1307:MRG:4:250070331,164
SEEDGWAS1308:MRG:4:250070332,111
SEEDGWAS1309:MRG:4:250070333,155
SEEDGWAS131:MRG:4:250056099,NA
SEEDGWAS1310:MRG:4:250070334,98
SEEDGWAS1311:MRG:4:250070335,114
SEEDGWAS1312:MRG:4:250070336,114
SEEDGWAS1313:MRG:4:250070337,165
SEEDGWAS1316:MRG:4:250070338,258
SEEDGWAS1317:MRG:4:250070339,172
SEEDGWAS132:MRG:4:250056100,351
SEEDGWAS1320:MRG:4:250070340,244
SEEDGWAS1321:MRG:4:250070341,256
SEEDGWAS1322:MRG:4:250070342,183
SEEDGWAS1323:MRG:4:250070343,243
SEEDGWAS1324:MRG:4:250070344,185
SEEDGWAS1325:MRG:4:250070345,271
SEEDGWAS1326:MRG:4:250070346,271
SEEDGWAS1327:MRG:4:250070347,271
SEEDGWAS1329:MRG:4:250070348,120
SEEDGWAS133:MRG:4:250056101,274
SEEDGWAS1330:MRG:4:250070349,213
SEEDGWAS1332:MRG:4:250070350,258
SEEDGWAS1333:MRG:4:250070351,251
SEEDGWAS1334:MRG:4:250105240,252
SEEDGWAS1335:MRG:4:250105241,239
SEEDGWAS1336:MRG:4:250105242,239
SEEDGWAS1337:MRG:4:250105243,239
SEEDGWAS1338:MRG:4:250105244,231
SEEDGWAS134:MRG:4:250056102,NA
SEEDGWAS1340:MRG:4:250105245,198
SEEDGWAS1342:MRG:4:250105246,237
SEEDGWAS1344:MRG:4:250105247,223
SEEDGWAS1346:MRG:4:250105248,284
SEEDGWAS1347:MRG:4:250105249,211
SEEDGWAS1348:MRG:4:250105250,256
SEEDGWAS1349:MRG:4:250105251,256
SEEDGWAS135:MRG:4:250056103,436
SEEDGWAS1350:MRG:4:250105252,322
