,maize_cec
SEEDGWAS187:MRG:4:250056146,223
SEEDGWAS1870:MRG:4:250063084,87
SEEDGWAS188:MRG:4:250056147,142
SEEDGWAS1884:MRG:4:250063096,NA
SEEDGWAS1885:MRG:4:250063097,184
SEEDGWAS1887:MRG:4:250063098,226
SEEDGWAS1888:MRG:4:250063099,232
SEEDGWAS1889:MRG:4:250063100,155
SEEDGWAS1890:MRG:4:250063101,145
SEEDGWAS1891:MRG:4:250063102,198
SEEDGWAS1894:MRG:4:250063104,204
SEEDGWAS1895:MRG:4:250063105,167
SEEDGWAS1898:MRG:4:250063106,116
SEEDGWAS1899:MRG:4:250063107,190
SEEDGWAS190:MRG:4:250056148,146
SEEDGWAS1903:MRG:4:250063110,193
SEEDGWAS1904:MRG:4:250063111,193
SEEDGWAS1905:MRG:4:250063112,200
SEEDGWAS1906:MRG:4:250063144,NA
SEEDGWAS1907:MRG:4:250063145,145
SEEDGWAS1908:MRG:4:250063146,100
SEEDGWAS1909:MRG:4:250063147,166
SEEDGWAS191:MRG:4:250056149,153
SEEDGWAS1910:MRG:4:250063148,137
SEEDGWAS1914:MRG:4:250063152,254
SEEDGWAS1917:MRG:4:250063155,239
SEEDGWAS1918:MRG:4:250063156,226
SEEDGWAS1919:MRG:4:250063157,295
SEEDGWAS192:MRG:4:250056150,155
SEEDGWAS1920:MRG:4:250063158,254
SEEDGWAS1921:MRG:4:250063159,303
SEEDGWAS1922:MRG:4:250063160,231
SEEDGWAS1923:MRG:4:250063161,292
SEEDGWAS1924:MRG:4:250063162,216
SEEDGWAS1925:MRG:4:250068669,231
SEEDGWAS1926:MRG:4:250063163,260
SEEDGWAS1927:MRG:4:250063164,205
SEEDGWAS1929:MRG:4:250063165,260
SEEDGWAS193:MRG:4:250056151,188
SEEDGWAS1931:MRG:4:250063167,230
SEEDGWAS1934:MRG:4:250068671,254
SEEDGWAS1935:MRG:4:250063169,231
SEEDGWAS1936:MRG:4:250063170,229
SEEDGWAS1937:MRG:4:250068672,240
SEEDGWAS1938:MRG:4:250063171,243
SEEDGWAS1939:MRG:4:250063172,197
SEEDGWAS194:MRG:4:250056152,160
SEEDGWAS1940:MRG:4:250063173,231
SEEDGWAS1941:MRG:4:250063174,205
SEEDGWAS1942:MRG:4:250063175,260
SEEDGWAS1943:MRG:4:250063176,216
SEEDGWAS1944:MRG:4:250063177,231
SEEDGWAS1945:MRG:4:250063178,221
SEEDGWAS1946:MRG:4:250068673,231
SEEDGWAS1947:MRG:4:250063179,231
SEEDGWAS1948:MRG:4:250063181,221
SEEDGWAS1949:MRG:4:250063182,221
SEEDGWAS195:MRG:4:250056153,224
SEEDGWAS1950:MRG:4:250068674,221
SEEDGWAS1951:MRG:4:250063183,208
SEEDGWAS1952:MRG:4:250063184,225
SEEDGWAS1953:MRG:4:250063185,221
SEEDGWAS1954:MRG:4:250063186,254
SEEDGWAS1955:MRG:4:250063187,208
SEEDGWAS1956:MRG:4:250063188,279
SEEDGWAS1957:MRG:4:250068675,280
SEEDGWAS1958:MRG:4:250063189,295
SEEDGWAS1959:MRG:4:250063190,231
SEEDGWAS196:MRG:4:250056154,220
SEEDGWAS1960:MRG:4:250063191,109
SEEDGWAS1961:MRG:4:250063192,165
SEEDGWAS1963:MRG:4:250063193,218
SEEDGWAS1964:MRG:4:250063194,114
SEEDGWAS1965:MRG:4:250063195,135
SEEDGWAS1966:MRG:4:250063196,NA
SEEDGWAS1967:MRG:4:250063197,177
SEEDGWAS1968:MRG:4:250063198,171
SEEDGWAS1969:MRG:4:250063199,NA
SEEDGWAS197:MRG:4:250056155,308
SEEDGWAS1970:MRG:4:250063200,103
SEEDGWAS1972:MRG:4:250063201,148
SEEDGWAS1974:MRG:4:250063202,96
SEEDGWAS1975:MRG:4:250063203,170
SEEDGWAS1976:MRG:4:250063204,124
SEEDGWAS1977:MRG:4:250063205,108
SEEDGWAS1978:MRG:4:250063206,147
SEEDGWAS1979:MRG:4:250063207,147
SEEDGWAS198:MRG:4:250056156,252
SEEDGWAS1980:MRG:4:250063208,120
SEEDGWAS1981:MRG:4:250063209,120
SEEDGWAS1982:MRG:4:250063210,120
SEEDGWAS1983:MRG:4:250063211,171
SEEDGWAS1984:MRG:4:250063212,196
SEEDGWAS1985:MRG:4:250063213,109
SEEDGWAS1986:MRG:4:250063214,NA
SEEDGWAS1987:MRG:4:250063215,116
SEEDGWAS1988:MRG:4:250063216,106
SEEDGWAS1989:MRG:4:250063217,160
SEEDGWAS1990:MRG:4:250063219,112
SEEDGWAS1991:MRG:4:250063220,138
SEEDGWAS1992:MRG:4:250063221,138
SEEDGWAS1993:MRG:4:250063222,145
SEEDGWAS1994:MRG:4:250063223,NA
SEEDGWAS1995:MRG:4:250063224,116
SEEDGWAS1996:MRG:4:250063225,106
SEEDGWAS1998:MRG:4:250063226,NA
SEEDGWAS1999:MRG:4:250063227,NA
SEEDGWAS2000:MRG:4:250063228,NA
SEEDGWAS2001:MRG:4:250063229,139
SEEDGWAS2003:MRG:4:250063230,164
SEEDGWAS2004:MRG:4:250063231,271
SEEDGWAS2005:MRG:4:250063232,147
SEEDGWAS2006:MRG:4:250063233,96
SEEDGWAS2007:MRG:4:250063234,91
SEEDGWAS2008:MRG:4:250063235,253
SEEDGWAS2009:MRG:4:250063237,210
SEEDGWAS2010:MRG:4:250063238,210
SEEDGWAS2011:MRG:4:250063239,260
SEEDGWAS2012:MRG:4:250068676,254
SEEDGWAS2014:MRG:4:250062129,260
SEEDGWAS2015:MRG:4:250062130,254
SEEDGWAS2016:MRG:4:250062131,254
SEEDGWAS2017:MRG:4:250062132,NA
SEEDGWAS2018:MRG:4:250062133,117
SEEDGWAS202:MRG:4:250056157,214
SEEDGWAS2022:MRG:4:250062135,243
SEEDGWAS2024:MRG:4:250062136,280
SEEDGWAS2025:MRG:4:250062137,240
SEEDGWAS2026:MRG:4:250062138,243
SEEDGWAS2027:MRG:4:250062139,208
SEEDGWAS2028:MRG:4:250062140,197
SEEDGWAS2029:MRG:4:250062141,222
SEEDGWAS203:MRG:4:250056158,214
SEEDGWAS2031:MRG:4:250062143,182
SEEDGWAS2032:MRG:4:250062144,100
SEEDGWAS2035:MRG:4:250062145,197
SEEDGWAS2036:MRG:4:250062146,216
SEEDGWAS2037:MRG:4:250062147,280
SEEDGWAS2038:MRG:4:250062148,237
SEEDGWAS2039:MRG:4:250062149,237
SEEDGWAS2040:MRG:4:250062150,183
SEEDGWAS2041:MRG:4:250062151,176
SEEDGWAS2042:MRG:4:250062152,NA
SEEDGWAS2043:MRG:4:250062153,96
SEEDGWAS2044:MRG:4:250062154,100
SEEDGWAS2046:MRG:4:250062156,224
SEEDGWAS2047:MRG:4:250062157,221
SEEDGWAS2048:MRG:4:250062158,207
SEEDGWAS2049:MRG:4:250062159,167
SEEDGWAS2050:MRG:4:250062160,221
SEEDGWAS2051:MRG:4:250062161,254
SEEDGWAS2052:MRG:4:250062162,260
SEEDGWAS2053:MRG:4:250062163,260
SEEDGWAS2057:MRG:4:250062164,168
SEEDGWAS2058:MRG:4:250062165,NA
SEEDGWAS2059:MRG:4:250062166,99
SEEDGWAS206:MRG:4:250056159,214
SEEDGWAS2061:MRG:4:250062167,271
SEEDGWAS2065:MRG:4:250062169,NA
SEEDGWAS2069:MRG:4:250062174,231
SEEDGWAS207:MRG:4:250056160,244
SEEDGWAS2070:MRG:4:250062175,231
SEEDGWAS2071:MRG:4:250062176,230
SEEDGWAS2073:MRG:4:250063018,223
SEEDGWAS2075:MRG:4:250063019,198
SEEDGWAS2077:MRG:4:250063021,248
SEEDGWAS2078:MRG:4:250063022,271
SEEDGWAS2079:MRG:4:250063023,193
SEEDGWAS208:MRG:4:250056161,180
SEEDGWAS2080:MRG:4:250063024,239
SEEDGWAS2081:MRG:4:250063025,218
SEEDGWAS2084:MRG:4:250063027,253
SEEDGWAS2087:MRG:4:250063030,245
SEEDGWAS209:MRG:4:250056162,374
SEEDGWAS2092:MRG:4:250063036,213
SEEDGWAS2093:MRG:4:250063037,181
SEEDGWAS2096:MRG:4:250063040,238
SEEDGWAS2097:MRG:4:250063041,214
SEEDGWAS2098:MRG:4:250063042,184
SEEDGWAS2099:MRG:4:250063044,301
SEEDGWAS210:MRG:4:250056163,374
SEEDGWAS2104:MRG:4:250063046,230
SEEDGWAS2105:MRG:4:250063047,255
SEEDGWAS2106:MRG:4:250063048,311
SEEDGWAS2107:MRG:4:250063049,192
SEEDGWAS2108:MRG:4:250063050,230
SEEDGWAS2109:MRG:4:250063051,225
SEEDGWAS211:MRG:4:250056164,392
SEEDGWAS2110:MRG:4:250063052,227
SEEDGWAS2111:MRG:4:250063053,185
SEEDGWAS2113:MRG:4:250062858,NA
SEEDGWAS2114:MRG:4:250063054,240
SEEDGWAS2115:MRG:4:250063055,224
SEEDGWAS2117:MRG:4:250062178,208
SEEDGWAS2118:MRG:4:250062179,148
SEEDGWAS2120:MRG:4:250062180,154
SEEDGWAS2124:MRG:4:250062182,258
SEEDGWAS213:MRG:4:250056165,NA
SEEDGWAS214:MRG:4:250056166,289
SEEDGWAS2147:MRG:4:250062199,145
SEEDGWAS2148:MRG:4:250062200,145
SEEDGWAS215:MRG:4:250056167,NA
SEEDGWAS2150:MRG:4:250062202,181
SEEDGWAS2151:MRG:4:250068679,NA
SEEDGWAS2152:MRG:4:250062203,289
SEEDGWAS2154:MRG:4:250068681,NA
SEEDGWAS2155:MRG:4:250062204,190
SEEDGWAS2156:MRG:4:250062205,175
SEEDGWAS2158:MRG:4:250062207,110
SEEDGWAS2159:MRG:4:250062208,187
SEEDGWAS216:MRG:4:250056168,285
SEEDGWAS2160:MRG:4:250062209,93
SEEDGWAS2161:MRG:4:250062210,93
SEEDGWAS2162:MRG:4:250062211,163
SEEDGWAS2163:MRG:4:250062212,188
SEEDGWAS2164:MRG:4:250062213,132
SEEDGWAS2165:MRG:4:250062214,110
SEEDGWAS2166:MRG:4:250062215,262
SEEDGWAS2167:MRG:4:250062216,206
SEEDGWAS2168:MRG:4:250062217,NA
SEEDGWAS2169:MRG:4:250062218,NA
SEEDGWAS2170:MRG:4:250062219,198
SEEDGWAS2171:MRG:4:250068682,209
SEEDGWAS2172:MRG:4:250068684,161
SEEDGWAS2173:MRG:4:250068685,258
SEEDGWAS2174:MRG:4:250062220,250
SEEDGWAS2175:MRG:4:250062221,218
SEEDGWAS2177:MRG:4:250062222,181
SEEDGWAS2178:MRG:4:250062223,278
SEEDGWAS2179:MRG:4:250062255,154
SEEDGWAS218:MRG:4:250056169,220
SEEDGWAS2180:MRG:4:250062256,154
SEEDGWAS2181:MRG:4:250062257,174
SEEDGWAS2182:MRG:4:250068687,297
SEEDGWAS2184:MRG:4:250062258,220
SEEDGWAS2185:MRG:4:250062259,NA
SEEDGWAS2186:MRG:4:250062261,190
SEEDGWAS2187:MRG:4:250062262,151
SEEDGWAS219:MRG:4:250056170,220
SEEDGWAS2192:MRG:4:250062264,174
SEEDGWAS2193:MRG:4:250062265,202
SEEDGWAS2194:MRG:4:250062266,183
SEEDGWAS2195:MRG:4:250062267,162
SEEDGWAS2196:MRG:4:250062268,182
SEEDGWAS2197:MRG:4:250062269,176
SEEDGWAS2198:MRG:4:250068689,166
SEEDGWAS2199:MRG:4:250068690,221
SEEDGWAS220:MRG:4:250056171,227
SEEDGWAS2200:MRG:4:250062270,NA
SEEDGWAS2202:MRG:4:250068691,267
SEEDGWAS2204:MRG:4:250062271,151
SEEDGWAS2206:MRG:4:250062272,181
SEEDGWAS2207:MRG:4:250062273,230
SEEDGWAS2208:MRG:4:250062274,193
SEEDGWAS2210:MRG:4:250062275,217
SEEDGWAS2211:MRG:4:250062276,166
SEEDGWAS2214:MRG:4:250062277,168
SEEDGWAS2215:MRG:4:250062278,206
SEEDGWAS2216:MRG:4:250062279,203
SEEDGWAS2217:MRG:4:250062280,93
SEEDGWAS2218:MRG:4:250062281,93
SEEDGWAS2219:MRG:4:250062282,93
SEEDGWAS222:MRG:4:250056173,227
SEEDGWAS2220:MRG:4:250062283,100
SEEDGWAS2221:MRG:4:250062284,135
SEEDGWAS2222:MRG:4:250062285,204
SEEDGWAS2223:MRG:4:250062286,162
SEEDGWAS2224:MRG:4:250062287,163
SEEDGWAS2225:MRG:4:250062288,163
SEEDGWAS2226:MRG:4:250062289,163
SEEDGWAS2227:MRG:4:250062290,163
SEEDGWAS2228:MRG:4:250062291,NA
SEEDGWAS2229:MRG:4:250062292,157
SEEDGWAS223:MRG:4:250056174,NA
SEEDGWAS2231:MRG:4:250062293,199
SEEDGWAS2232:MRG:4:250062294,157
SEEDGWAS2233:MRG:4:250062295,157
SEEDGWAS2234:MRG:4:250062296,141
SEEDGWAS2235:MRG:4:250062297,190
SEEDGWAS2236:MRG:4:250062298,190
SEEDGWAS2237:MRG:4:250062299,124
SEEDGWAS2238:MRG:4:250062300,171
SEEDGWAS2239:MRG:4:250062301,171
SEEDGWAS2240:MRG:4:250062302,162
SEEDGWAS2241:MRG:4:250062303,NA
SEEDGWAS2244:MRG:4:250062304,257
SEEDGWAS2250:MRG:4:250062310,216
SEEDGWAS2251:MRG:4:250062311,NA
SEEDGWAS2252:MRG:4:250062312,225
SEEDGWAS2253:MRG:4:250062313,207
SEEDGWAS2254:MRG:4:250062314,207
SEEDGWAS2255:MRG:4:250062315,197
SEEDGWAS2256:MRG:4:250062316,266
SEEDGWAS2257:MRG:4:250062317,212
SEEDGWAS2258:MRG:4:250062318,227
SEEDGWAS2259:MRG:4:250062319,194
SEEDGWAS2260:MRG:4:250068692,215
SEEDGWAS2261:MRG:4:250068693,215
SEEDGWAS2262:MRG:4:250062320,180
SEEDGWAS2263:MRG:4:250068694,209
SEEDGWAS2264:MRG:4:250062321,180
SEEDGWAS2265:MRG:4:250062322,166
SEEDGWAS2266:MRG:4:250062323,158
SEEDGWAS2267:MRG:4:250062324,181
SEEDGWAS2268:MRG:4:250062325,181
SEEDGWAS2269:MRG:4:250068695,178
SEEDGWAS227:MRG:4:250056176,241
SEEDGWAS2270:MRG:4:250062326,176
SEEDGWAS2271:MRG:4:250068696,161
SEEDGWAS2272:MRG:4:250062327,216
SEEDGWAS2273:MRG:4:250062328,233
SEEDGWAS2274:MRG:4:250062329,220
SEEDGWAS2275:MRG:4:250062330,174
SEEDGWAS2276:MRG:4:250062331,142
SEEDGWAS228:MRG:4:250056177,209
SEEDGWAS229:MRG:4:250056178,162
SEEDGWAS230:MRG:4:250056179,196
SEEDGWAS2311:MRG:4:250070007,264
SEEDGWAS2312:MRG:4:250062386,219
SEEDGWAS2313:MRG:4:250070008,264
SEEDGWAS2314:MRG:4:250062388,NA
SEEDGWAS2317:MRG:4:250070009,NA
SEEDGWAS2322:MRG:4:250062391,239
SEEDGWAS2323:MRG:4:250070010,238
SEEDGWAS2327:MRG:4:250070011,243
SEEDGWAS233:MRG:4:250056181,190
SEEDGWAS2331:MRG:4:250062398,NA
SEEDGWAS2333:MRG:4:250070012,184
SEEDGWAS2334:MRG:4:250062401,227
SEEDGWAS2335:MRG:4:250062402,261
SEEDGWAS2336:MRG:4:250062403,279
SEEDGWAS2337:MRG:4:250062404,234
SEEDGWAS2339:MRG:4:250062405,193
SEEDGWAS234:MRG:4:250056182,125
SEEDGWAS2342:MRG:4:250062406,219
SEEDGWAS2343:MRG:4:250070015,179
SEEDGWAS2350:MRG:4:250062413,257
SEEDGWAS2351:MRG:4:250070016,290
SEEDGWAS2352:MRG:4:250070017,266
SEEDGWAS2353:MRG:4:250062414,NA
SEEDGWAS2354:MRG:4:250062415,238
SEEDGWAS2355:MRG:4:250070018,226
SEEDGWAS2355:MRG:4:250070035,226
SEEDGWAS2355:MRG:4:250070131,226
SEEDGWAS2355:MRG:4:250070281,226
SEEDGWAS2355:MRG:4:250070411,226
SEEDGWAS2355:MRG:4:250070511,226
SEEDGWAS236:MRG:4:250056184,276
SEEDGWAS2360:MRG:4:250062418,270
SEEDGWAS2361:MRG:4:250070020,285
SEEDGWAS2363:MRG:4:250062420,222
SEEDGWAS2365:MRG:4:250062421,NA
SEEDGWAS2366:MRG:4:250062422,279
SEEDGWAS2367:MRG:4:250062423,269
SEEDGWAS2368:MRG:4:250070021,221
SEEDGWAS2370:MRG:4:250070022,246
SEEDGWAS2371:MRG:4:250062425,NA
SEEDGWAS2373:MRG:4:250070023,255
SEEDGWAS2374:MRG:4:250062426,298
SEEDGWAS2377:MRG:4:250062427,251
SEEDGWAS2378:MRG:4:250070024,277
SEEDGWAS2379:MRG:4:250062428,277
SEEDGWAS2380:MRG:4:250062429,NA
SEEDGWAS2381:MRG:4:250070025,NA
SEEDGWAS2383:MRG:4:250062430,259
SEEDGWAS2384:MRG:4:250070026,197
SEEDGWAS2385:MRG:4:250070027,NA
SEEDGWAS2386:MRG:4:250070028,252
SEEDGWAS2387:MRG:4:250070029,216
SEEDGWAS2388:MRG:4:250070030,NA
SEEDGWAS2389:MRG:4:250062431,220
SEEDGWAS2401:MRG:4:250062438,193
SEEDGWAS2403:MRG:4:250062439,175
SEEDGWAS2407:MRG:4:250062443,178
SEEDGWAS242:MRG:4:250056191,223
SEEDGWAS2423:MRG:4:250062451,127
SEEDGWAS2424:MRG:4:250070042,256
SEEDGWAS2425:MRG:4:250070043,274
SEEDGWAS2426:MRG:4:250062452,NA
SEEDGWAS2429:MRG:4:250070046,217
SEEDGWAS243:MRG:4:250059017,264
SEEDGWAS2433:MRG:4:250062453,205
SEEDGWAS2434:MRG:4:250070050,217
SEEDGWAS2435:MRG:4:250062454,251
SEEDGWAS2436:MRG:4:250070051,199
SEEDGWAS2437:MRG:4:250062455,251
SEEDGWAS2438:MRG:4:250070052,205
SEEDGWAS2439:MRG:4:250070053,217
SEEDGWAS2440:MRG:4:250062456,217
SEEDGWAS2441:MRG:4:250062457,205
SEEDGWAS2442:MRG:4:250062458,209
SEEDGWAS2443:MRG:4:250062459,205
SEEDGWAS246:MRG:4:250059018,90
SEEDGWAS2462:MRG:4:250070069,199
SEEDGWAS2464:MRG:4:250070070,214
SEEDGWAS2466:MRG:4:250070071,264
SEEDGWAS2467:MRG:4:250070072,249
SEEDGWAS2468:MRG:4:250070073,239
SEEDGWAS2469:MRG:4:250070074,269
SEEDGWAS247:MRG:4:250059019,90
SEEDGWAS2470:MRG:4:250070075,261
SEEDGWAS2472:MRG:4:250070076,237
SEEDGWAS2473:MRG:4:250062462,237
SEEDGWAS2474:MRG:4:250062463,221
SEEDGWAS2475:MRG:4:250062464,205
SEEDGWAS2476:MRG:4:250062465,199
SEEDGWAS2479:MRG:4:250062467,269
SEEDGWAS2480:MRG:4:250062468,264
SEEDGWAS2481:MRG:4:250062469,265
SEEDGWAS2482:MRG:4:250070078,NA
SEEDGWAS249:MRG:4:250059020,114
SEEDGWAS2490:MRG:4:250062473,219
SEEDGWAS2491:MRG:4:250070082,184
SEEDGWAS2494:MRG:4:250062474,215
SEEDGWAS2495:MRG:4:250062475,NA
SEEDGWAS2496:MRG:4:250062476,NA
SEEDGWAS2497:MRG:4:250070086,309
SEEDGWAS2498:MRG:4:250062477,277
SEEDGWAS2499:MRG:4:250070087,290
SEEDGWAS250:MRG:4:250059021,113
SEEDGWAS2501:MRG:4:250062509,249
SEEDGWAS2502:MRG:4:250062510,295
SEEDGWAS2504:MRG:4:250062511,260
SEEDGWAS2507:MRG:4:250062512,NA
SEEDGWAS2508:MRG:4:250062513,213
SEEDGWAS251:MRG:4:250059022,141
SEEDGWAS2511:MRG:4:250062514,264
SEEDGWAS2513:MRG:4:250062516,90
SEEDGWAS2518:MRG:4:250062520,230
SEEDGWAS2521:MRG:4:250062522,181
SEEDGWAS2522:MRG:4:250062523,194
SEEDGWAS2527:MRG:4:250062527,166
SEEDGWAS2528:MRG:4:250062528,NA
SEEDGWAS2530:MRG:4:250062529,200
SEEDGWAS2531:MRG:4:250062530,214
SEEDGWAS2533:MRG:4:250062531,233
SEEDGWAS2535:MRG:4:250062532,188
SEEDGWAS254:MRG:4:250059023,147
SEEDGWAS2558:MRG:4:250062536,165
SEEDGWAS256:MRG:4:250059024,124
SEEDGWAS2560:MRG:4:250062537,199
SEEDGWAS2561:MRG:4:250062538,NA
SEEDGWAS2562:MRG:4:250062539,NA
SEEDGWAS2563:MRG:4:250062540,208
SEEDGWAS2564:MRG:4:250062541,201
SEEDGWAS2566:MRG:4:250062542,201
SEEDGWAS257:MRG:4:250059025,NA
SEEDGWAS2572:MRG:4:250062543,243
SEEDGWAS2577:MRG:4:250062544,NA
SEEDGWAS2578:MRG:4:250062545,258
SEEDGWAS2579:MRG:4:250070088,208
SEEDGWAS258:MRG:4:250059026,NA
SEEDGWAS2580:MRG:4:250070089,208
SEEDGWAS2581:MRG:4:250070090,218
SEEDGWAS2582:MRG:4:250070091,234
SEEDGWAS2585:MRG:4:250070092,208
SEEDGWAS2589:MRG:4:250070094,231
SEEDGWAS259:MRG:4:250059027,120
SEEDGWAS2590:MRG:4:250070095,220
SEEDGWAS2593:MRG:4:250070096,225
SEEDGWAS2594:MRG:4:250070097,192
SEEDGWAS2595:MRG:4:250062546,240
SEEDGWAS2596:MRG:4:250068732,249
SEEDGWAS2597:MRG:4:250062547,258
SEEDGWAS2598:MRG:4:250068733,NA
SEEDGWAS2599:MRG:4:250068734,231
SEEDGWAS260:MRG:4:250059028,110
SEEDGWAS2600:MRG:4:250062548,216
SEEDGWAS2601:MRG:4:250062549,211
SEEDGWAS2602:MRG:4:250068735,268
SEEDGWAS2603:MRG:4:250068736,272
SEEDGWAS2605:MRG:4:250062550,245
SEEDGWAS2607:MRG:4:250068737,217
SEEDGWAS2608:MRG:4:250068738,270
SEEDGWAS2609:MRG:4:250062551,124
SEEDGWAS2610:MRG:4:250062552,147
SEEDGWAS2611:MRG:4:250062553,172
SEEDGWAS2613:MRG:4:250062554,172
SEEDGWAS2614:MRG:4:250062555,253
SEEDGWAS2615:MRG:4:250062556,239
SEEDGWAS2616:MRG:4:250062557,219
SEEDGWAS2617:MRG:4:250062558,210
SEEDGWAS2618:MRG:4:250062559,210
SEEDGWAS2619:MRG:4:250062560,210
SEEDGWAS2620:MRG:4:250062561,198
SEEDGWAS2621:MRG:4:250068739,251
SEEDGWAS2622:MRG:4:250068740,187
SEEDGWAS2623:MRG:4:250068741,NA
SEEDGWAS2625:MRG:4:250062562,213
SEEDGWAS2626:MRG:4:250068742,241
SEEDGWAS2627:MRG:4:250062563,213
SEEDGWAS2628:MRG:4:250062564,196
SEEDGWAS263:MRG:4:250059029,109
SEEDGWAS2630:MRG:4:250062566,216
SEEDGWAS2631:MRG:4:250068743,174
SEEDGWAS2632:MRG:4:250068745,169
SEEDGWAS2633:MRG:4:250068746,174
SEEDGWAS2634:MRG:4:250068747,242
SEEDGWAS2635:MRG:4:250068748,223
SEEDGWAS2636:MRG:4:250068749,218
SEEDGWAS2637:MRG:4:250062567,218
SEEDGWAS2638:MRG:4:250062568,218
SEEDGWAS2639:MRG:4:250068750,137
SEEDGWAS264:MRG:4:250059030,106
SEEDGWAS2640:MRG:4:250068751,191
SEEDGWAS2641:MRG:4:250062569,215
SEEDGWAS2647:MRG:4:250062575,85
SEEDGWAS2656:MRG:4:250068753,183
SEEDGWAS266:MRG:4:250059031,203
SEEDGWAS267:MRG:4:250059032,241
SEEDGWAS2670:MRG:4:250068754,210
SEEDGWAS2671:MRG:4:250068755,224
SEEDGWAS2672:MRG:4:250068756,252
SEEDGWAS2673:MRG:4:250062593,264
SEEDGWAS2674:MRG:4:250062595,NA
SEEDGWAS2677:MRG:4:250062597,347
SEEDGWAS2678:MRG:4:250062598,NA
SEEDGWAS2679:MRG:4:250068757,234
SEEDGWAS2680:MRG:4:250068758,258
SEEDGWAS2682:MRG:4:250068760,235
SEEDGWAS2686:MRG:4:250062601,208
SEEDGWAS2689:MRG:4:250068763,234
SEEDGWAS269:MRG:4:250059033,228
SEEDGWAS2691:MRG:4:250068764,NA
SEEDGWAS2692:MRG:4:250068766,337
SEEDGWAS2696:MRG:4:250068767,251
SEEDGWAS2697:MRG:4:250068768,299
SEEDGWAS2699:MRG:4:250068769,268
SEEDGWAS270:MRG:4:250059034,232
SEEDGWAS2700:MRG:4:250062602,229
SEEDGWAS2701:MRG:4:250062603,NA
SEEDGWAS2702:MRG:4:250062604,285
SEEDGWAS2703:MRG:4:250063906,261
SEEDGWAS2704:MRG:4:250068770,292
SEEDGWAS2706:MRG:4:250068772,259
SEEDGWAS2707:MRG:4:250068773,238
SEEDGWAS2709:MRG:4:250068774,273
SEEDGWAS2710:MRG:4:250068775,305
SEEDGWAS2711:MRG:4:250063907,273
SEEDGWAS2712:MRG:4:250063908,264
SEEDGWAS2715:MRG:4:250068778,240
SEEDGWAS272:MRG:4:250059035,237
SEEDGWAS2721:MRG:4:250063912,273
SEEDGWAS2722:MRG:4:250068780,206
SEEDGWAS2723:MRG:4:250068781,258
SEEDGWAS2726:MRG:4:250068784,200
SEEDGWAS2729:MRG:4:250068785,280
SEEDGWAS273:MRG:4:250059036,274
SEEDGWAS2732:MRG:4:250063915,262
SEEDGWAS2734:MRG:4:250063916,265
SEEDGWAS2735:MRG:4:250068787,240
SEEDGWAS2737:MRG:4:250068788,212
SEEDGWAS2741:MRG:4:250063919,285
SEEDGWAS2746:MRG:4:250063923,231
SEEDGWAS2747:MRG:4:250068789,306
SEEDGWAS2748:MRG:4:250063924,306
SEEDGWAS2749:MRG:4:250068790,295
SEEDGWAS275:MRG:4:250059037,NA
SEEDGWAS2750:MRG:4:250068791,281
SEEDGWAS2751:MRG:4:250063925,273
SEEDGWAS2752:MRG:4:250068792,298
SEEDGWAS2754:MRG:4:250063927,163
SEEDGWAS2755:MRG:4:250063928,283
SEEDGWAS2756:MRG:4:250063929,283
SEEDGWAS2757:MRG:4:250063930,295
SEEDGWAS276:MRG:4:250059038,NA
SEEDGWAS2760:MRG:4:250063931,238
SEEDGWAS2761:MRG:4:250063932,238
SEEDGWAS2764:MRG:4:250063933,195
SEEDGWAS2765:MRG:4:250063934,209
SEEDGWAS2766:MRG:4:250063935,239
SEEDGWAS2767:MRG:4:250063936,239
SEEDGWAS2768:MRG:4:250063937,239
SEEDGWAS2769:MRG:4:250068795,187
SEEDGWAS277:MRG:4:250059039,407
SEEDGWAS2770:MRG:4:250063938,195
SEEDGWAS2771:MRG:4:250063939,193
SEEDGWAS2772:MRG:4:250063941,209
SEEDGWAS2773:MRG:4:250063942,208
SEEDGWAS2774:MRG:4:250063943,239
SEEDGWAS2775:MRG:4:250063944,239
SEEDGWAS2776:MRG:4:250063945,239
SEEDGWAS2777:MRG:4:250063946,239
SEEDGWAS2778:MRG:4:250068796,195
SEEDGWAS2779:MRG:4:250063947,193
SEEDGWAS278:MRG:4:250059041,328
SEEDGWAS2781:MRG:4:250063948,223
SEEDGWAS2782:MRG:4:250068797,223
SEEDGWAS2783:MRG:4:250063949,209
SEEDGWAS2784:MRG:4:250068798,201
SEEDGWAS2787:MRG:4:250063950,246
SEEDGWAS2788:MRG:4:250068800,246
SEEDGWAS2789:MRG:4:250068801,246
SEEDGWAS279:MRG:4:250059042,319
SEEDGWAS2790:MRG:4:250068802,251
SEEDGWAS2791:MRG:4:250068803,236
SEEDGWAS2793:MRG:4:250068804,236
SEEDGWAS2794:MRG:4:250063951,212
SEEDGWAS2795:MRG:4:250068805,230
SEEDGWAS2796:MRG:4:250068806,261
SEEDGWAS2797:MRG:4:250068807,245
SEEDGWAS2798:MRG:4:250068808,259
SEEDGWAS2799:MRG:4:250063952,252
SEEDGWAS2800:MRG:4:250063953,251
SEEDGWAS2801:MRG:4:250068809,230
SEEDGWAS2802:MRG:4:250068810,230
SEEDGWAS2804:MRG:4:250063954,265
SEEDGWAS2806:MRG:4:250063955,272
