,rice_cec
IRIS_313-8594,215
IRIS_313-8948,228
IRIS_313-9389,NA
IRIS_313-9423,270
IRIS_313-9505,210
IRIS_313-9616,262
IRIS_313-9897,NA
IRIS_313-9928,276
IRIS_313-9929,200
IRGC_117276,158
IRIS_313-10065,158
IRIS_313-10067,158
IRIS_313-10092,178
IRIS_313-10093,216
IRIS_313-10094,187
IRIS_313-10096,167
IRIS_313-10097,216
IRIS_313-10124,NA
IRIS_313-10837,158
IRIS_313-10838,158
IRIS_313-10839,158
IRIS_313-10840,158
IRIS_313-11973,170
IRIS_313-12217,158
IRIS_313-9379,158
IRIS_313-9886,158
IRIS_313-9887,158
IRIS_313-9890,158
IRIS_313-9891,158
IRIS_313-9974,158
IRIS_313-9976,158
IRGC_47383,NA
IRGC_51064,180
IRGC_8952,NA
IRIS_313-10020,203
IRIS_313-10298,185
IRIS_313-10609,NA
IRIS_313-10610,155
IRIS_313-10661,159
IRIS_313-10662,NA
IRIS_313-10715,NA
IRIS_313-10716,NA
IRIS_313-10717,269
IRIS_313-10718,NA
IRIS_313-10719,NA
IRIS_313-10720,198
IRIS_313-10721,198
IRIS_313-10722,300
IRIS_313-11110,NA
IRIS_313-11191,NA
IRIS_313-11382,NA
IRIS_313-11741,246
IRIS_313-11916,263
IRIS_313-8244,155
IRIS_313-8342,214
IRIS_313-8699,169
IRIS_313-8783,NA
IRIS_313-8925,300
IRIS_313-8968,NA
IRIS_313-9039,NA
IRIS_313-9256,NA
IRIS_313-9636,NA
IRIS_313-9809,269
IRIS_313-9831,NA
IRIS_313-9832,NA
IRIS_313-9861,269
IRIS_313-9862,269
IRIS_313-9867,NA
IRIS_313-9917,185
IRIS_313-9949,139
IRIS_313-9968,221
IRIS_313-9969,NA
IRIS_313-9970,NA
IRGC_10430,216
IRGC_117279,216
IRGC_42576,216
IRGC_5508,216
IRGC_65293,216
IRGC_8196,216
IRGC_8238,216
IRGC_8242,216
IRGC_8267,216
IRGC_8268,216
IRGC_8269,216
IRIS_313-10429,216
IRIS_313-10515,216
IRIS_313-10631,216
IRIS_313-11692,216
IRIS_313-11693,216
IRIS_313-11694,216
IRIS_313-11695,216
IRIS_313-11698,216
IRIS_313-11981,216
IRIS_313-8743,216
IRIS_313-9701,216
IRIS_313-9702,216
IRIS_313-9758,216
IRGC_24224,190
IRGC_27716,NA
IRGC_27748,248
IRGC_27762,190
IRGC_30238,190
IRGC_40673,206
IRGC_78253,226
IRGC_78257,181
IRGC_78267,166
IRIS_313-10134,190
IRIS_313-10176,175
IRIS_313-10650,144
IRIS_313-10757,190
IRIS_313-10923,190
IRIS_313-10928,190
IRIS_313-11248,190
IRIS_313-11327,149
IRIS_313-11386,190
IRIS_313-11387,190
IRIS_313-11388,174
IRIS_313-11389,NA
IRIS_313-11390,NA
IRIS_313-11391,NA
IRIS_313-11392,NA
IRIS_313-11393,NA
IRIS_313-11508,254
IRIS_313-11509,190
IRIS_313-11530,190
IRIS_313-11534,194
IRIS_313-11535,160
IRIS_313-11608,192
IRIS_313-11609,190
IRIS_313-11610,192
IRIS_313-11611,128
IRIS_313-11635,157
IRIS_313-11674,NA
IRIS_313-11676,117
IRIS_313-11677,196
IRIS_313-11678,186
IRIS_313-11679,206
IRIS_313-11680,NA
IRIS_313-11681,206
IRIS_313-11682,186
IRIS_313-11683,NA
IRIS_313-11684,NA
IRIS_313-11685,196
IRIS_313-11686,190
IRIS_313-11687,160
IRIS_313-11688,197
IRIS_313-11700,NA
IRIS_313-11704,NA
IRIS_313-11705,NA
IRIS_313-11706,220
IRIS_313-11707,NA
IRIS_313-11708,NA
IRIS_313-11709,112
IRIS_313-11710,NA
IRIS_313-11711,132
IRIS_313-11719,190
IRIS_313-11720,190
IRIS_313-11721,190
IRIS_313-11831,190
IRIS_313-11832,NA
IRIS_313-11833,170
IRIS_313-11834,NA
IRIS_313-11835,NA
IRIS_313-11836,194
IRIS_313-11837,150
IRIS_313-11838,NA
IRIS_313-11839,NA
IRIS_313-11840,170
IRIS_313-11841,194
IRIS_313-11842,NA
IRIS_313-11843,181
IRIS_313-11844,NA
IRIS_313-11845,209
IRIS_313-11846,NA
IRIS_313-11897,190
IRIS_313-11920,150
IRIS_313-11921,197
IRIS_313-11922,NA
IRIS_313-11923,253
IRIS_313-11924,NA
IRIS_313-11925,195
IRIS_313-11926,NA
IRIS_313-11927,194
IRIS_313-11957,190
IRIS_313-11958,190
IRIS_313-11961,138
IRIS_313-11962,220
IRIS_313-8466,179
IRIS_313-8474,158
IRIS_313-8485,149
IRIS_313-8565,189
IRIS_313-8580,190
IRIS_313-8586,NA
IRIS_313-8599,190
IRIS_313-8674,NA
IRIS_313-8679,NA
IRIS_313-8702,197
IRIS_313-8722,82
IRIS_313-8732,190
IRIS_313-8785,NA
IRIS_313-8870,112
IRIS_313-8872,184
IRIS_313-8884,NA
IRIS_313-8911,190
IRIS_313-8980,82
IRIS_313-9006,NA
IRIS_313-9019,130
IRIS_313-9020,260
IRIS_313-9032,190
IRIS_313-9062,NA
IRIS_313-9112,190
IRIS_313-9115,190
IRIS_313-9116,190
IRIS_313-9119,190
IRIS_313-9121,NA
IRIS_313-9123,NA
IRIS_313-9209,152
IRIS_313-9281,166
IRIS_313-9288,NA
IRIS_313-9302,190
IRIS_313-9357,190
IRIS_313-9406,181
IRIS_313-9415,197
IRIS_313-9451,190
IRIS_313-9567,190
IRIS_313-9575,NA
IRIS_313-9600,194
IRIS_313-9669,160
IRIS_313-9697,166
IRGC_16800,223
IRGC_16872,223
IRGC_40748,209
IRGC_56036,NA
IRGC_8227,223
IRGC_8228,223
IRGC_8231,223
IRGC_8234,223
IRIS_313-10554,223
IRIS_313-10555,223
IRIS_313-10556,223
IRIS_313-10748,223
IRIS_313-10749,223
IRIS_313-10750,223
IRIS_313-10751,223
IRIS_313-10755,223
IRIS_313-10970,223
IRIS_313-11118,223
IRIS_313-11119,223
IRIS_313-11383,223
IRIS_313-11384,223
IRIS_313-11521,223
IRIS_313-11594,223
IRIS_313-11893,163
IRIS_313-11894,176
IRIS_313-11895,223
IRIS_313-11896,223
IRIS_313-11984,199
IRIS_313-12078,223
IRIS_313-12210,203
IRIS_313-8341,223
IRIS_313-8409,223
IRIS_313-8578,231
IRIS_313-8735,191
IRIS_313-9131,223
IRIS_313-9317,199
IRIS_313-9429,223
IRIS_313-9637,223
