,barley_PC1,barley_PC2,barley_PC3,barley_ph,barley_cec,barley_ph,barley_am_rel_abundance_colonization,barley_am_roots_colonized,barley_soilN
BRIDGE_HOR_8849,-2.026240297,-1.64279494,-0.44612975,60,229,60,NA,NA,307
BRIDGE_HOR_8850,-2.026240297,-1.64279494,-0.44612975,60,229,60,NA,NA,307
BRIDGE_BCC_152,-2.673580883,-1.970010497,0.913359481,72,283,72,NA,NA,263
BRIDGE_HOR_8851,-1.982249015,-0.382468523,-1.166889711,55,254,55,0.516496301,0.205455795,612
BRIDGE_HOR_13443,-2.26170633,-2.322954884,0.811153322,74,254,74,NA,NA,230
BRIDGE_HOR_8848,-1.219772237,-2.213975471,-0.218663561,60,251,60,NA,NA,433
BRIDGE_HOR_8846,-1.121802895,-2.038758499,-0.304776762,63,202,63,NA,NA,225
BRIDGE_HOR_13442,-2.046896737,-2.81479239,0.636280223,76,237,76,NA,NA,247
BRIDGE_HOR_13446,-2.794348565,-2.583107155,0.452545109,71,246,71,NA,NA,312
BRIDGE_HOR_13444,-2.794348565,-2.583107155,0.452545109,67,252,67,NA,NA,331
BRIDGE_HOR_13445,-2.794348565,-2.583107155,0.452545109,67,252,67,NA,NA,331
BRIDGE_BCC_141,0.653502913,-2.606365763,0.170593836,78,156,78,0.368687928,0.337968111,242
BRIDGE_HOR_13441,-0.82765265,-2.425133379,0.387501859,76,196,76,NA,NA,226
BRIDGE_HOR_8852,-0.368892289,0.029846313,-1.436767454,59,254,59,0.484887421,0.256222099,502
BRIDGE_HOR_13439,0.354718917,-2.387721254,0.066471301,77,162,77,NA,NA,120
BRIDGE_HOR_13440,-1.430645545,-2.967274909,0.55484781,81,248,81,NA,NA,208
BRIDGE_HOR_12522,-0.661291616,-4.6965998,0.306674136,82,122,82,0.300560981,0.157141194,51
BRIDGE_HOR_12821,-0.661291616,-4.6965998,0.306674136,82,122,82,0.300560981,0.157141194,51
BRIDGE_BCC_162,-2.259680986,-2.392378024,0.149380394,75,208,75,NA,NA,328
BRIDGE_HOR_11644,-2.132376412,1.886687668,-2.924631553,NA,NA,NA,0.714606822,0.217733696,NA
BRIDGE_HOR_13460,-1.049956224,-2.503059174,0.232233395,76,202,76,NA,NA,260
BRIDGE_HOR_13461,-1.049956224,-2.503059174,0.232233395,76,202,76,NA,NA,260
BRIDGE_HOR_11646,-1.719268965,1.682638967,-2.99024377,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_11665,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12019,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12045,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12047,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12048,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12073,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12316,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12317,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12318,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12319,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12320,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12322,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12323,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12324,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12325,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12326,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12331,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12332,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_12334,-1.387844376,2.201530434,-3.137752802,NA,NA,NA,NA,NA,NA
BRIDGE_BCC_134,-0.519914125,-4.426702944,0.301945025,82,129,82,NA,NA,48
BRIDGE_HOR_11645,-0.680771542,0.873819007,-2.127454379,69,291,69,NA,NA,684
BTR_FT521,-1.710029456,-1.047781385,-1.402727945,72,254,72,NA,NA,364
BRIDGE_BCC_37,-0.198703971,-2.798778528,-0.258003615,76,162,76,0.300560981,0.157141194,144
BRIDGE_HOR_13515,-0.915990066,0.864443465,-1.97389545,71,271,71,NA,NA,462
BRIDGE_HOR_13516,-0.837973313,0.754353407,-2.12057462,74,272,74,NA,NA,466
BRIDGE_BCC_49,-0.146695049,-1.913729679,-0.622284389,75,176,75,NA,NA,290
BRIDGE_HOR_13519,-0.628599221,2.348264205,-3.187806023,66,267,66,0.61393708,0.259354115,566
BRIDGE_HOR_13520,-0.628599221,2.348264205,-3.187806023,NA,NA,NA,0.61393708,0.259354115,NA
BRIDGE_HOR_13518,-0.628599221,2.348264205,-3.187806023,65,327,65,0.61393708,0.259354115,672
BRIDGE_BCC_46,-0.085764109,-1.699455063,-0.770349876,75,178,75,NA,0.04460378,188
BRIDGE_HOR_13521,-0.181790518,2.183430002,-3.013994435,73,262,73,0.646012485,0.201674193,374
BRIDGE_BCC_33,-1.054727969,-2.452567405,-0.255607095,72,224,72,NA,NA,237
BRIDGE_HOR_13522,-0.158397565,2.566923125,-3.343341223,72,263,72,0.61393708,0.259354115,442
BRIDGE_HOR_13517,-1.046542444,0.654374601,-2.100348615,72,225,72,0.61393708,0.259354115,357
BRIDGE_HOR_11116,-0.535461351,2.057106788,-2.93778136,68,267,68,0.600958705,0.115457103,441
BRIDGE_HOR_11117,-0.535461351,2.057106788,-2.93778136,68,267,68,0.600958705,0.115457103,441
BRIDGE_HOR_11118,-0.535461351,2.057106788,-2.93778136,68,267,68,0.600958705,0.115457103,441
BRIDGE_HOR_11119,-0.739829383,0.14214445,-1.753881162,68,237,68,NA,NA,535
BRIDGE_HOR_11125,-0.739829383,0.14214445,-1.753881162,68,237,68,NA,NA,535
BRIDGE_HOR_12412,-0.739829383,0.14214445,-1.753881162,68,237,68,NA,NA,535
BTR_FT411,0.779378218,3.028389322,-3.350813996,62,302,62,0.646012485,0.201674193,633
BRIDGE_HOR_11503,-2.391103629,-1.413259098,-0.55242056,65,200,65,NA,NA,332
BRIDGE_HOR_11495,-2.391103629,-1.413259098,-0.55242056,68,207,68,NA,NA,295
