Taxa,GEO3,ISO3,lon,lat
IS14446.70MUKAAXX.2.250006019,North Africa,SDN,35.22000122,14.03999996
IS14567.MRG.4.250047680,North Africa,SDN,35.43000031,13.82999992
IS21519.628NVAAXX.5.250006979,Southern Africa,MWI,33.63000107,-11.71000004
IS25522.MRG.4.250047691,Eastern Africa,BDI,29.39999962,-3.339999914
IS25523.MRG.4.250047692,Eastern Africa,BDI,29.39999962,-3.339999914
IS25524.MRG.4.250047693,Eastern Africa,BDI,29.34000015,-3.49000001
IS30898.B064FABXX.1.250009989,Eastern Africa,UGA,33.75,1.860000014
IS31123.B064FABXX.1.250010001,Eastern Africa,UGA,30.92000008,3.160000086
IS9168.70MUKAAXX.2.250006009,Eastern Africa,KEN,34.7451266,-0.6054147
IS10068.C1AB3ACXX.7.250137465,Western Africa,BFA,-4.76666,10.6333
IS10189.C1AB3ACXX.7.250137466,Western Africa,BFA,-4.300000191,11.19999981
IS10191.C1AB3ACXX.7.250138387,Western Africa,BFA,-0.100000001,12.01000023
IS1033.C1AB3ACXX.7.250137245,South Asia,IND,72.83000183,21.17000008
IS1036.C1AB3ACXX.7.250137246,South Asia,IND,72.87000275,18.64999962
IS1052.C1AB3ACXX.7.250137247,South Asia,IND,80.44999695,16.29999924
IS10876.628P7AAXX.7.250007049,Western Africa,NGA,8.380000114,9.75
IS10882.628P7AAXX.7.250007073,Western Africa,NGA,8.380000114,9.75
IS1106.C1AB3ACXX.7.250137248,South Asia,IND,77.58000183,12.97000027
IS1107.C1AB3ACXX.7.250137249,South Asia,IND,75.54000092,22.42000008
IS11119.628NVAAXX.5.250006899,Eastern Africa,ETH,38.22999954,9.5
IS1127.70MUKAAXX.1.250006394,South Asia,IND,87.80000305,26.01000023
IS11374.70MUKAAXX.2.250006018,Eastern Africa,ETH,36.52999878,9.079999924
IS11424.C1AB3ACXX.7.250138388,Eastern Africa,ETH,38.08000183,4.880000114
IS11431.C1AB3ACXX.7.250138389,Eastern Africa,ETH,35.56000137,6.179999828
IS11473.D0D0HACXX.5.250046338,Eastern Africa,ERI,36.65000153,15.10000038
IS1151.C1AB3ACXX.7.250137250,South Asia,IND,77.02999878,18.29000092
IS11619.D0D0HACXX.5.250046339,Eastern Africa,ETH,38.70000076,9.029999733
IS11758.B064FABXX.1.250009960,Eastern Africa,ETH,42.00999832,9.399999619
