Taxa,GEO3,ISO3,lon,lat
SEEDGWAS10:MRG:4:250054453,Meso-America,MEX,-96.87067,19.938631
SEEDGWAS1000:MRG:4:250067677,Meso-America,MEX,-99.634229,21.83299
SEEDGWAS1001:MRG:4:250067678,Meso-America,MEX,-99.653771,22.023366
SEEDGWAS1003:MRG:4:250067679,Meso-America,MEX,-89.732539,20.485433
SEEDGWAS1004:MRG:4:250067680,Meso-America,MEX,-97.382255,20.969048
SEEDGWAS1006:MRG:4:250067682,South America,PRY,-57.309104,-23.267981
SEEDGWAS1007:MRG:4:250067684,South America,VEN,-62.46666667,8.433333333
SEEDGWAS1008:MRG:4:250067716,South America,COL,-74.91666667,3.85
SEEDGWAS1009:MRG:4:250067717,Meso-America,MEX,-88.05,19.58333333
SEEDGWAS101:MRG:4:250054517,Meso-America,MEX,-97.382222,20.43027778
SEEDGWAS1011:MRG:4:250067718,Meso-America,MEX,-92.564373,16.332904
SEEDGWAS1012:MRG:4:250067719,Meso-America,MEX,-92.564373,16.332904
SEEDGWAS1014:MRG:4:250067720,Meso-America,MEX,-98.38333333,21.51666667
SEEDGWAS1015:MRG:4:250067721,Meso-America,MEX,-99.537659,17.167363
SEEDGWAS1019:MRG:4:250067723,Meso-America,MEX,-98.746577,21.296297
SEEDGWAS1020:MRG:4:250067724,Meso-America,MEX,-92.81666667,16.56666667
SEEDGWAS1022:MRG:4:250067725,Meso-America,MEX,-93,16.71666667
SEEDGWAS1023:MRG:4:250067726,Meso-America,MEX,-93.26666667,16.25
SEEDGWAS1024:MRG:4:250067727,Meso-America,MEX,-93.26666667,16.2
SEEDGWAS1025:MRG:4:250067728,Meso-America,MEX,-92.81666667,16.56666667
SEEDGWAS1026:MRG:4:250067729,South America,ARG,-62.7,-35.96666667
SEEDGWAS1027:MRG:4:250067730,South America,ARG,-59.85,-27.01666667
SEEDGWAS1029:MRG:4:250067732,Meso-America,MEX,-93.71666667,16.7
